COD_EMP;FIXO1;COD_CONTRATO;DATA_INICIO;COD_CLH;COD_FUN_CARGO;COD_MOTIVO
8;1;365190;23/08/2004;204;;100
8;1;365882;15/09/2004;68;;100
8;1;369845;01/12/2004;204;;100
8;1;374679;19/07/2005;68;;100
8;1;331880;22/11/2004;88;;100
8;1;331880;01/10/2002;206;;100
8;1;331880;01/09/2000;210;;100
8;1;366595;03/11/2004;206;;100
8;1;366609;03/11/2004;206;;43
8;1;366617;03/11/2004;206;;100
8;1;366773;22/11/2004;204;;100
8;1;366943;22/11/2004;204;;100
8;1;372579;02/03/2005;68;;100
8;1;341274;20/07/2004;88;;100
8;1;341274;01/10/2002;206;;100
8;1;341274;17/10/2001;210;;100
8;1;366625;03/11/2004;206;;100
8;1;366633;03/11/2004;206;;100
8;1;366781;22/11/2004;204;;100
8;1;370800;01/12/2004;204;;100
8;1;374482;01/07/2005;206;;100
8;1;374636;13/07/2005;206;;100
8;1;80313;03/11/2004;212;;100
8;1;324019;01/06/2005;206;;24
8;1;324019;01/01/2000;122;;22
8;1;324019;18/10/1999;74;;43
8;1;328960;01/03/2005;88;;100
8;1;328960;01/03/2000;122;;100
8;1;372021;09/02/2005;206;;100
8;1;372030;09/02/2005;206;;100
8;1;372048;09/02/2005;206;;100
8;1;372463;01/06/2005;206;;100
8;1;372463;02/03/2005;204;;100
8;1;372528;11/03/2005;204;;100
8;1;372749;24/03/2005;68;;100
8;1;361526;11/03/2005;88;;100
8;1;361526;02/02/2004;206;;100
8;1;372137;21/02/2005;206;;100
8;1;372145;21/02/2005;206;;100
8;1;372153;21/02/2005;206;;100
8;1;372455;15/03/2005;204;;100
8;1;373389;26/04/2005;68;;100
8;1;341100;01/08/2005;79;;100
8;1;341100;10/01/2004;197;;100
8;1;341100;08/10/2001;122;;100
8;1;374490;04/07/2005;122;;100
8;1;374504;04/07/2005;122;;100
8;1;374512;04/07/2005;122;;100
8;1;374520;22/09/2005;197;;100
8;1;374520;04/07/2005;122;;100
8;1;374539;04/07/2005;122;;100
8;1;374547;04/07/2005;122;;43
8;1;374555;04/07/2005;122;;100
8;1;374563;04/07/2005;122;;100
8;1;374571;04/07/2005;123;;100
8;1;374580;04/07/2005;122;;43
8;1;374598;04/07/2005;122;;100
8;1;374628;11/07/2005;204;;100
8;1;375128;01/09/2005;68;;100
8;1;375136;01/09/2005;204;;100
8;1;375144;01/09/2005;204;;100
8;1;375152;01/09/2005;204;;100
8;1;375160;01/09/2005;204;;100
8;1;335681;01/07/2005;89;;100
8;1;335681;01/10/2002;206;;100
8;1;335681;04/12/2000;210;;100
8;1;345296;05/03/2004;89;;100
8;1;345296;01/10/2002;206;;100
