ESTCAR;CODCAR;TITRED;TITCAR;CODCB2;DATCRI;DATEXT;CNHOBR;OCLOBR;CODSIG
1;276;GOVERNANTA;GOVERNANTA;5131-05;2025-12-22;;;;
1;277;CHEFE DE SEÇÃO IV;CHEFE DE SEÇÃO IV;4101-05;2025-12-22;;;;
1;280;SUPERVISOR DE LOGISTICA;SUPERVISOR DE LOGISTICA;1416-15;2025-12-22;;;;
1;281;ANALISTA PROGRAMADOR;ANALISTA PROGRAMADOR;2124-05;2025-12-22;;;;
1;282;AUXILIAR DE SUPORTE;AUXILIAR DE SUPORTE;3172-05;2025-12-22;;;;
1;283;GERENTE ANALISTA DE SISTEMAS;GERENTE ANALISTA DE SISTEMAS;1425-10;2025-12-22;;;;
1;295;AUXILIAR DE PESSOAL V;AUXILIAR DE PESSOAL V;4110-30;2025-12-22;;;;
1;299;GERENTE DE MARKETING;GERENTE DE MARKETING;1423-15;2025-12-22;;;;
1;304;GERENTE DE LOJA POR MENOS E;GERENTE DE LOJA POR MENOS E;1414-15;2025-12-22;;;;
1;305;ORIENTADOR DE VENDAS (GZT);ORIENTADOR DE VENDAS (GZT);3541-25;2025-12-22;;;;
1;306;TRABALHADOR DE EXTRAÇÃO FLORES;TRABALHADOR DE EXTRAÇÃO FLORESTAL;6321-25;2025-12-22;;;;
1;307;GERENTE JURÍDICA - ÁREA TRABAL;GERENTE JURÍDICA - ÁREA TRABALHISTA;1421-05;2025-12-22;;;;
1;308;DIRETOR DE TECNOLOGIA;DIRETOR DE TECNOLOGIA;1236-05;2025-12-22;;;;
1;310;APRENDIZ LOGISTICA;APRENDIZ LOGISTICA;4110-10;2025-12-22;;;;
1;322;LIDER TECH JÚNIOR;LIDER TECH JÚNIOR;2124-05;2025-12-22;;;;
1;154;INSTRUTOR;INSTRUTOR;2332-15;2025-12-22;;;;
1;155;INSTRUTOR VOLANTE;INSTRUTOR VOLANTE;2332-15;2025-12-22;;;;
1;156;INSTRUTOR II;INSTRUTOR II;2332-15;2025-12-22;;;;
1;157;INSTRUTOR III;INSTRUTOR III;2332-15;2025-12-22;;;;
1;158;ANALISTA DE PERDAS DE ESTOQU;ANALISTA DE PERDAS DE ESTOQU;2522-05;2025-12-22;;;;
1;159;AUDITOR II;AUDITOR II;2522-05;2025-12-22;;;;
1;160;ANAL.PERDAS EM CREDITO/COBRA;ANAL.PERDAS EM CREDITO/COBRA;2522-05;2025-12-22;;;;
1;161;AUXILIAR DE CONTABILIDADE II;AUXILIAR DE CONTABILIDADE II;4131-10;2025-12-22;;;;
1;163;MEDICO DO TRABALHO;MEDICO DO TRABALHO;2251-40;2025-12-22;;;;
1;164;ASSISTENTE VICE PRESIDENCIA.;ASSISTENTE VICE PRESIDENCIA.;4110-10;2025-12-22;;;;
1;165;AUX.ESCRITORIO DIRETORES I;AUX.ESCRITORIO DIRETORES I;4110-05;2025-12-22;;;;
1;166;AUX.DE ESCRITORIO DIRETORES;AUX.DE ESCRITORIO DIRETORES;4110-05;2025-12-22;;;;
1;167;AUX.ESCRITORIO DIRETORES III;AUX.ESCRITORIO DIRETORES III;4110-05;2025-12-22;;;;
1;169;ENCARREGADO DE ICMS;ENCARREGADO DE ICMS;3511-10;2025-12-22;;;;
1;170;AUXILIAR ESCRITORIO III;AUXILIAR ESCRITORIO III;4110-05;2025-12-22;;;;
1;171;AUXILIAR DE ESCRITORIO IV;AUXILIAR DE ESCRITORIO IV;4110-05;2025-12-22;;;;
1;172;AUXILIAR DE ESCRITORIO V;AUXILIAR DE ESCRITORIO V;4110-05;2025-12-22;;;;
1;174;OPERADOR DE EMPILHADEIRA II;OPERADOR DE EMPILHADEIRA II;7822-20;2025-12-22;;;;
1;175;AUX. DISTRIBUICAO TEMPORARIO;AUX. DISTRIBUICAO TEMPORARIO;7832-10;2025-12-22;;;;
1;177;AUXILIAR DE PESSOAL IV;AUXILIAR DE PESSOAL IV;4110-30;2025-12-22;;;;
1;178;AUXILIAR DE ESCRITORIO;AUXILIAR DE ESCRITORIO;4110-05;2025-12-22;;;;
1;179;CIEE AUX. DISTRIBUICAO;CIEE AUX. DISTRIBUICAO;7832-10;2025-12-22;;;;
1;180;AUXILIAR DE ALMOXARIFADO II;AUXILIAR DE ALMOXARIFADO II;4141-05;2025-12-22;;;;
1;183;CIE-E AUXILIAR DE ESCRITORIO;CIE-E AUXILIAR DE ESCRITORIO;4110-05;2025-12-22;;;;
1;185;GERENTE LOJA FRANCO B;GERENTE LOJA FRANCO B;1414-15;2025-12-22;;;;
1;186;GERENTE LOJA FRANCO C;GERENTE LOJA FRANCO C;1414-15;2025-12-22;;;;
1;188;GERENTE LOJA TOTTAL A;GERENTE LOJA TOTTAL A;1414-15;2025-12-22;;;;
1;189;GERENTE LOJA TOTTAL B;GERENTE LOJA TOTTAL B;1414-15;2025-12-22;;;;
1;190;GERENTE LOJA TOTTAL C;GERENTE LOJA TOTTAL C;1414-15;2025-12-22;;;;
1;191;GERENTE LOJA TOTTAL D;GERENTE LOJA TOTTAL D;1414-15;2025-12-22;;;;
1;192;GERENTE LOJA TOTTAL E;GERENTE LOJA TOTTAL E;1414-15;2025-12-22;;;;
1;195;GERENTE VIA RAQUELE C;GERENTE VIA RAQUELE C;1414-15;2025-12-22;;;;
1;196;GERENTE DE LOJA TECH BOX;GERENTE DE LOJA TECH BOX;1414-15;2025-12-22;;;;
1;197;SUB-GERENTE LOJA;SUB-GERENTE LOJA;4101-05;2025-12-22;;;;
1;198;CAIXA  (POR MENOS);CAIXA  (POR MENOS);4211-25;2025-12-22;;;;
1;199;APRENDIZ DE CAIXA TOTTAL;APRENDIZ DE CAIXA TOTTAL;4211-25;2025-12-22;;;;
1;200;AUX.LOJA TEMP. CAIXA TOT;AUX.LOJA TEMP. CAIXA TOT;4211-25;2025-12-22;;;;
1;201;CAIXA(VIA RAQUELE);CAIXA(VIA RAQUELE);4211-25;2025-12-22;;;;
1;202;APRENDIZ DE AUX.VENDAS TOTTA;APRENDIZ DE AUX.VENDAS TOTTA;5211-10;2025-12-22;;;;
1;203;CIE-E DE AUX.VENDAS TOTTAL;CIE-E DE AUX.VENDAS TOTTAL;5211-10;2025-12-22;;;;
1;204;AUX. DE LOJA TEMPORARIO;AUX. DE LOJA TEMPORARIO;3541-25;2025-12-22;;;;
1;205;AUX.DE LOJA TEMPORARIO  CIE-;AUX.DE LOJA TEMPORARIO  CIE-;3541-25;2025-12-22;;;;
1;206;AUXILIAR DE LOJA (POR MENOS);AUXILIAR DE LOJA (POR MENOS);3541-25;2025-12-22;;;;
1;208;AUX.ESCRITORIO (FRG);AUX.ESCRITORIO (FRG);4110-05;2025-12-22;;;;
1;209;APRENDIZ DE AUX.ESCRIT. FRANCO;APRENDIZ DE AUX.ESCRIT. FRANCO;4110-05;2025-12-22;;;;
1;210;AUXILIAR DE LOJA I;AUXILIAR DE LOJA I;3541-25;2025-12-22;;;;
1;211;AUX.LOJA TEMP.AUX.LOJA PM;AUX.LOJA TEMP.AUX.LOJA PM;3541-25;2025-12-22;;;;
1;212;CIE-E AUX.LOJA P.M;CIE-E AUX.LOJA P.M;3541-25;2025-12-22;;;;
1;213;APRENDIZ *AUXILIAR DE LOJA*;APRENDIZ *AUXILIAR DE LOJA*;3541-25;2025-12-22;;;;
1;214;EMPACOTADORA;EMPACOTADORA;3541-25;2025-12-22;;;;
1;215;VENDEDOR     (TOTTAL);VENDEDOR     (TOTTAL);5211-10;2025-12-22;;;;
1;216;APRENDIZ - VENDAS;APRENDIZ - VENDAS;5211-10;2025-12-22;;;;
1;217;CIE-E VENDEDOR TOTTAL;CIE-E VENDEDOR TOTTAL;5211-10;2025-12-22;;;;
1;218;*AUX.LOJA TEMP.VENDEDOR TOTT;*AUX.LOJA TEMP.VENDEDOR TOTT;5211-10;2025-12-22;;;;
1;219;VENDEDOR MODA FEMININA;VENDEDOR MODA FEMININA;5211-10;2025-12-22;;;;
1;221;APRENDIZ DE VENDEDOR FRANCO;APRENDIZ DE VENDEDOR FRANCO;5211-10;2025-12-22;;;;
