CODIGO_CIDADE;NOME_CIDADE;COD_UF;CODIGO_BAIRRO;NOME_BAIRRO;CEP_BAIRRO
4209300;LAGES;SC;31;PASSO FUNDO;88523000
4209300;LAGES;SC;31;PASSO FUNDO;88520140
4209300;LAGES;SC;31;PASSO FUNDO;88520110
4209300;LAGES;SC;76;SAO CRISTOVAO;88509200
4209300;LAGES;SC;76;SAO CRISTOVAO;88509180
4209300;LAGES;SC;76;SAO CRISTOVAO;88509220
4209300;LAGES;SC;76;SAO CRISTOVAO;88509371
4209300;LAGES;SC;76;SAO CRISTOVAO;88509120
4209300;LAGES;SC;76;SAO CRISTOVAO;88509060
4209300;LAGES;SC;76;SAO CRISTOVAO;65665235
4209300;LAGES;SC;76;SAO CRISTOVAO;88509230
4209300;LAGES;SC;76;SAO CRISTOVAO;88509150
4209300;LAGES;SC;76;SAO CRISTOVAO;88500000
4209300;LAGES;SC;76;SAO CRISTOVAO;88509112
4209300;LAGES;SC;76;SAO CRISTOVAO;88509210
4209300;LAGES;SC;203;DA PENHA;88525760
4209300;LAGES;SC;251;PETROPOLIS;88505570
4209300;LAGES;SC;251;PETROPOLIS;88505211
4209300;LAGES;SC;251;PETROPOLIS;88505258
4209300;LAGES;SC;251;PETROPOLIS;88505520
4209300;LAGES;SC;251;PETROPOLIS;88516060
4209300;LAGES;SC;251;PETROPOLIS;88505310
4209300;LAGES;SC;251;PETROPOLIS;88505232
4209300;LAGES;SC;251;PETROPOLIS;88505400
4209300;LAGES;SC;251;PETROPOLIS;88505200
4209300;LAGES;SC;251;PETROPOLIS;88505490
4209300;LAGES;SC;251;PETROPOLIS;89563200
4209300;LAGES;SC;251;PETROPOLIS;88505370
4209300;LAGES;SC;251;PETROPOLIS;88505700
4209300;LAGES;SC;251;PETROPOLIS;89560320
4209300;LAGES;SC;251;PETROPOLIS;88505360
4209300;LAGES;SC;251;PETROPOLIS;88505362
4209300;LAGES;SC;251;PETROPOLIS;88500000
4209300;LAGES;SC;251;PETROPOLIS;88505340
4209300;LAGES;SC;251;PETROPOLIS;88505210
4209300;LAGES;SC;280;STA CATARINA;88512440
4209300;LAGES;SC;280;STA CATARINA;88500000
4209300;LAGES;SC;286;COPACABANA;88500000
4209300;LAGES;SC;286;COPACABANA;88504204
4209300;LAGES;SC;286;COPACABANA;88504240
4209300;LAGES;SC;286;COPACABANA;88504340
4209300;LAGES;SC;286;COPACABANA;88504215
4209300;LAGES;SC;286;COPACABANA;88504130
4209300;LAGES;SC;286;COPACABANA;88504301
4209300;LAGES;SC;286;COPACABANA;88504030
4209300;LAGES;SC;286;COPACABANA;88504311
4209300;LAGES;SC;286;COPACABANA;88504110
4209300;LAGES;SC;286;COPACABANA;88504120
4209300;LAGES;SC;286;COPACABANA;88504250
4209300;LAGES;SC;286;COPACABANA;88504020
4209300;LAGES;SC;286;COPACABANA;88212250
4209300;LAGES;SC;286;COPACABANA;88504000
4209300;LAGES;SC;286;COPACABANA;88504300
4209300;LAGES;SC;286;COPACABANA;98560320
4209300;LAGES;SC;286;COPACABANA;88504225
4209300;LAGES;SC;286;COPACABANA;88504350
4209300;LAGES;SC;295;SANTA MARIA;88523245
4209300;LAGES;SC;295;SANTA MARIA;88508370
4209300;LAGES;SC;295;SANTA MARIA;88501100
4209300;LAGES;SC;295;SANTA MARIA;88523190
4209300;LAGES;SC;295;SANTA MARIA;88523210
4209300;LAGES;SC;295;SANTA MARIA;88523170
4209300;LAGES;SC;295;SANTA MARIA;88523230
4209300;LAGES;SC;295;SANTA MARIA;88523200
4209300;LAGES;SC;295;SANTA MARIA;88523160
4209300;LAGES;SC;295;SANTA MARIA;88523162
4209300;LAGES;SC;295;SANTA MARIA;88523100
4209300;LAGES;SC;324;M.DO POSTO;88506000
4209300;LAGES;SC;338;CORAL;88509680
4209300;LAGES;SC;338;CORAL;88523150
4209300;LAGES;SC;338;CORAL;88509501
4209300;LAGES;SC;338;CORAL;88509510
4209300;LAGES;SC;338;CORAL;88509720
4209300;LAGES;SC;338;CORAL;88523340
4209300;LAGES;SC;338;CORAL;88523110
4209300;LAGES;SC;338;CORAL;88523066
4209300;LAGES;SC;338;CORAL;88509480
4209300;LAGES;SC;338;CORAL;88523280
4209300;LAGES;SC;338;CORAL;88525150
