CODIGO_CIDADE;NOME_CIDADE;COD_UF;CODIGO_BAIRRO;NOME_BAIRRO;CEP_BAIRRO
3304557;RIO DE JANEIRO;RJ;7565;JACAREPAGUA;22775024
3509502;CAMPINAS;SP;4757;NOVO CHAPADAO;13077017
4103156;BOM JESUS DO SUL;PR;5050;INTERIOR;85708000
4103156;BOM JESUS DO SUL;PR;7841;CENTRO;86708000
4104501;CAPANEMA;PR;4472;CENTRO;85760000
4104501;CAPANEMA;PR;4472;CENTRO;97670000
4104501;CAPANEMA;PR;4501;SAO CRISTOVAO;85750000
4104501;CAPANEMA;PR;4501;SAO CRISTOVAO;85760000
4104501;CAPANEMA;PR;4525;INTERIOR;85760000
4104501;CAPANEMA;PR;4852;SAO JOSE OPERARIO;85760000
4104501;CAPANEMA;PR;4861;ZONA RURAL;85760000
4104501;CAPANEMA;PR;5650;COHABE;85760000
4104501;CAPANEMA;PR;5745;COHAB;85760000
4104501;CAPANEMA;PR;6564;SANTO EXPEDITO;85760000
4104501;CAPANEMA;PR;7022;SAO JOSE;85760000
4104501;CAPANEMA;PR;7031;SANTA CRUZ;85760128
4104501;CAPANEMA;PR;7052;VILA CRISTO REI;85760000
4104501;CAPANEMA;PR;7344;SANTA BARBARA;85760000
4104501;CAPANEMA;PR;8227;ALTO FARADAY;85760000
4104808;CASCAVEL;PR;289;CENTRO;85801150
4104808;CASCAVEL;PR;289;CENTRO;85806040
4104808;CASCAVEL;PR;289;CENTRO;85820971
4104808;CASCAVEL;PR;289;CENTRO;85816580
4104808;CASCAVEL;PR;289;CENTRO;85806030
4104808;CASCAVEL;PR;289;CENTRO;85806130
4104808;CASCAVEL;PR;289;CENTRO;85810170
4104808;CASCAVEL;PR;289;CENTRO;85811020
4104808;CASCAVEL;PR;289;CENTRO;85801290
4104808;CASCAVEL;PR;289;CENTRO;85800000
4104808;CASCAVEL;PR;289;CENTRO;85810110
4104808;CASCAVEL;PR;289;CENTRO;96800000
4104808;CASCAVEL;PR;289;CENTRO;85812040
4104808;CASCAVEL;PR;289;CENTRO;86530000
4104808;CASCAVEL;PR;289;CENTRO;85801460
4104808;CASCAVEL;PR;289;CENTRO;85801140
4104808;CASCAVEL;PR;411;P. SAO PAULO;85807240
4104808;CASCAVEL;PR;816;COQUEIRAL;85802100
4104808;CASCAVEL;PR;816;COQUEIRAL;85807450
4104808;CASCAVEL;PR;816;COQUEIRAL;88500000
4104808;CASCAVEL;PR;816;COQUEIRAL;85807060
4104808;CASCAVEL;PR;816;COQUEIRAL;85817000
4104808;CASCAVEL;PR;816;COQUEIRAL;85817020
4104808;CASCAVEL;PR;825;STA. FELICIDADE;85800000
4104808;CASCAVEL;PR;825;STA. FELICIDADE;85803337
4104808;CASCAVEL;PR;825;STA. FELICIDADE;95806000
4104808;CASCAVEL;PR;879;PETROPOLIS;85815410
4104808;CASCAVEL;PR;898;NOVA CIDADE;85815030
4104808;CASCAVEL;PR;939;STA.FELICIDADE;85803350
4104808;CASCAVEL;PR;939;STA.FELICIDADE;85815310
4104808;CASCAVEL;PR;993;SAO CRISTOVAO;85808630
4104808;CASCAVEL;PR;993;SAO CRISTOVAO;85800000
4104808;CASCAVEL;PR;993;SAO CRISTOVAO;85808650
4104808;CASCAVEL;PR;993;SAO CRISTOVAO;85802570
4104808;CASCAVEL;PR;1082;JARDIM ACACIA;85806220
4104808;CASCAVEL;PR;1595;JARDIM UNIAO;85800000
4104808;CASCAVEL;PR;1595;JARDIM UNIAO;89560000
4104808;CASCAVEL;PR;1661;CANCELLI;98652000
4104808;CASCAVEL;PR;1841;XIV DE NOVEMBRO;87600000
4104808;CASCAVEL;PR;1948;SOCIAL;85807660
4104808;CASCAVEL;PR;1968;PARQUE VERDE;85817440
4104808;CASCAVEL;PR;1968;PARQUE VERDE;85817090
4104808;CASCAVEL;PR;1997;14 DE NOVEMBRO;89450000
4104808;CASCAVEL;PR;2087;GUARUJA;85803320
4104808;CASCAVEL;PR;2087;GUARUJA;85803340
4104808;CASCAVEL;PR;2122;PACAEMBU;85800290
4104808;CASCAVEL;PR;2140;MORUMBI;85811690
4104808;CASCAVEL;PR;2256;PAULO GODOY;85806746
4104808;CASCAVEL;PR;2256;PAULO GODOY;85806970
4104808;CASCAVEL;PR;2291;ALTO ALEGRE;85805070
4104808;CASCAVEL;PR;2291;ALTO ALEGRE;85805080
4104808;CASCAVEL;PR;2329;JARDIM CRISTAL;85817250
4104808;CASCAVEL;PR;2341;CANCELI;85801410
4104808;CASCAVEL;PR;2395;PAULO GOODY;85806970
4104808;CASCAVEL;PR;2409;CATARATAS;85812580
4104808;CASCAVEL;PR;2410;FLORESTA;85810300
4104808;CASCAVEL;PR;2415;UNIAO;85815050
4104808;CASCAVEL;PR;2714;JARDIM PANORAMICO;85814140
4104808;CASCAVEL;PR;2747;CAUTRY;85802440
4104808;CASCAVEL;PR;2894;PARQUE SAO PAULO;85803195
4104808;CASCAVEL;PR;2919;XV DE NOVEMBRO;85804110
4104808;CASCAVEL;PR;2940;VILA TOLENTINO;85806130
4104808;CASCAVEL;PR;3123;NEVA;85801180
4104808;CASCAVEL;PR;3123;NEVA;85804130
4104808;CASCAVEL;PR;3304;CARAVELLI;85812290
4104808;CASCAVEL;PR;3338;VERDE;85807670
4104808;CASCAVEL;PR;3535;MARIA LUIZA;85819730
4104808;CASCAVEL;PR;3535;MARIA LUIZA;85819540
4104808;CASCAVEL;PR;3630;PAULO GODOI;85800000
4104808;CASCAVEL;PR;3957;SANTOS DUMONT;85800000
4104808;CASCAVEL;PR;4286;BRASILIA;85815380
4104808;CASCAVEL;PR;4473;CANADA;85811270
4104808;CASCAVEL;PR;4866;JARDIM UNIVERSITÁRIO;85819230
4104808;CASCAVEL;PR;4928;CIRO NARDI;85819740
4104808;CASCAVEL;PR;4928;CIRO NARDI;85802100
4104808;CASCAVEL;PR;4928;CIRO NARDI;85802030
4104808;CASCAVEL;PR;5389;JARDIM PRESIDENTE;85818180
4104808;CASCAVEL;PR;5666;JARDIM VENEZA;85818157
4104808;CASCAVEL;PR;5666;JARDIM VENEZA;85818158
4104808;CASCAVEL;PR;5835;FACULDADE;85803010
4104808;CASCAVEL;PR;7076;PARDIM PINHEIROS;85811700
4104808;CASCAVEL;PR;8236;ESMERALDA;85806768
4104808;CASCAVEL;PR;8237;MONTREAL;86801616
4104808;CASCAVEL;PR;8238;PADOVANI;85803126
4104808;CASCAVEL;PR;8269;VISTA LINDA;85811627
4105805;COLOMBO;PR;732;ATUBA;83413270
4105805;COLOMBO;PR;732;ATUBA;83400000
4105805;COLOMBO;PR;982;GUARANI;83409170
4105805;COLOMBO;PR;982;GUARANI;89560120
4106506;CORONEL VIVIDA;PR;4552;CENTRO;85550970
4106506;CORONEL VIVIDA;PR;4552;CENTRO;85550000
4106506;CORONEL VIVIDA;PR;4584;SCHIARINI;85550000
4106506;CORONEL VIVIDA;PR;4585;FRIZON;85550000
4106506;CORONEL VIVIDA;PR;4630;MADALOZO;85550000
4106506;CORONEL VIVIDA;PR;4734;ANDRADE;85550000
4106506;CORONEL VIVIDA;PR;4744;CANDIDO INACIO DE LIMA;85550000
4106506;CORONEL VIVIDA;PR;4769;INDUSTRIAL;85550000
4106506;CORONEL VIVIDA;PR;4820;PRIMAVERA 2;85550000
4106506;CORONEL VIVIDA;PR;5318;BURGUER;85550000
4106506;CORONEL VIVIDA;PR;5419;SAO CRISTOVAO;85550000
4106506;CORONEL VIVIDA;PR;5531;IMARIBO;85550000
4106506;CORONEL VIVIDA;PR;5705;LIDER;85550000
4106506;CORONEL VIVIDA;PR;5759;SCHIAVINI;85550000
4106506;CORONEL VIVIDA;PR;5889;FLEK;85550000
4106506;CORONEL VIVIDA;PR;6160;II IRMÃOS;85550970
4106506;CORONEL VIVIDA;PR;6399;CAMILOTTI;85550000
4106506;CORONEL VIVIDA;PR;7297;BERGER;85550000
4106506;CORONEL VIVIDA;PR;7365;JARDIM MARIA DA LUZ;85550000
4106506;CORONEL VIVIDA;PR;7721;JARDIM PRIMAVERA;85550000
4106506;CORONEL VIVIDA;PR;7816;JARDIM PRIMAVERA I;85550000
4106506;CORONEL VIVIDA;PR;7817;INTERIOR;85550000
4106506;CORONEL VIVIDA;PR;7869;BELA VISTA;85550000
4106506;CORONEL VIVIDA;PR;8220;LISBOA;85550000
4106902;CURITIBA;PR;314;UBERABA;80215090
4106902;CURITIBA;PR;314;UBERABA;89500000
4106902;CURITIBA;PR;508;ALTO;82820260
4106902;CURITIBA;PR;508;ALTO;82840340
4106902;CURITIBA;PR;508;ALTO;82820080
4106902;CURITIBA;PR;536;COJURU;82940160
4106902;CURITIBA;PR;575;SANTA CANDIDA;82620460
4106902;CURITIBA;PR;575;SANTA CANDIDA;82640460
4106902;CURITIBA;PR;592;JARDIM JALISCO;83410310
4106902;CURITIBA;PR;688;ABRANCHES;82130000
4106902;CURITIBA;PR;688;ABRANCHES;82130290
4106902;CURITIBA;PR;689;PINHAIS;83326140
4106902;CURITIBA;PR;735;PORTAO;80320330
4106902;CURITIBA;PR;735;PORTAO;85632000
4106902;CURITIBA;PR;737;ITATUQUARA;85140080
4106902;CURITIBA;PR;766;CAPAO RASO;80001000
4106902;CURITIBA;PR;818;ALTO BOQUEIRAO;81770140
4106902;CURITIBA;PR;818;ALTO BOQUEIRAO;81770020
4106902;CURITIBA;PR;818;ALTO BOQUEIRAO;81700000
4106902;CURITIBA;PR;818;ALTO BOQUEIRAO;80010000
4106902;CURITIBA;PR;891;CAJURU;82960690
4106902;CURITIBA;PR;925;SITIO CERCADO;81910000
