codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_centro_custos
1417;1;382116;02/07/12;127
1417;1;385548;23/07/15;127
1417;1;386217;01/08/16;127
1417;1;386595;02/03/17;127
1417;1;387784;14/05/18;127
1417;1;388801;09/05/19;127
1629;1;383056;02/02/17;002
1629;1;386417;02/02/17;002
1629;1;387054;16/08/17;002
1629;1;387055;16/08/17;002
1629;1;387575;07/03/18;002
1629;1;387576;07/03/18;002
1629;1;388042;13/08/18;002
1629;1;388117;13/09/18;002
1629;1;388588;06/03/19;002
1629;1;388592;06/03/19;002
1629;1;389354;20/11/19;002
1629;1;389708;04/06/20;002
1629;1;390293;18/12/20;002
1629;1;393179;12/12/22;002
1629;1;393445;08/02/23;002
1629;1;393798;04/05/23;002
1629;1;394571;16/11/23;002
1629;1;395110;20/03/24;002
2;1;27;06/04/93;500
2;1;35;01/06/01;500
2;1;373478;14/04/05;500
2;1;374159;15/04/66;500
2;1;380847;15/04/11;500
2;1;43;04/06/82;500
276;1;116131;24/07/06;002
276;1;261564;01/08/04;002
276;1;287351;01/07/24;002
276;1;287351;02/05/19;002
276;1;364797;11/08/04;002
276;1;364797;15/07/04;121
276;1;364800;11/08/04;002
276;1;364800;20/07/04;121
276;1;364819;11/08/04;002
276;1;364819;13/07/04;121
276;1;364827;11/08/04;002
276;1;364827;20/07/04;121
276;1;364835;11/08/04;002
276;1;364835;20/07/04;121
276;1;364843;11/08/04;002
276;1;364843;15/07/04;121
276;1;364851;11/08/04;002
276;1;364851;15/07/04;121
276;1;364860;11/08/04;002
276;1;364860;13/07/04;121
276;1;364878;11/08/04;002
276;1;364878;20/07/04;121
276;1;364886;11/08/04;002
276;1;364886;15/07/04;121
276;1;364894;11/08/04;002
276;1;364894;15/07/04;121
276;1;364908;01/07/04;121
276;1;364908;11/08/04;002
276;1;364908;26/10/04;001
276;1;364916;01/07/04;121
276;1;364916;01/10/04;001
276;1;364916;11/08/04;002
276;1;364924;01/07/04;121
276;1;364924;01/10/04;001
276;1;364924;11/08/04;002
276;1;364932;01/07/04;121
276;1;364932;01/10/04;001
276;1;364932;11/08/04;002
276;1;364940;02/08/04;002
276;1;364959;02/08/04;002
276;1;366072;14/10/04;002
276;1;366439;01/10/04;002
276;1;370010;01/12/04;002
276;1;371734;01/01/05;002
276;1;372200;01/02/05;002
276;1;372218;01/02/05;002
276;1;372226;01/02/05;002
276;1;372234;01/02/05;002
276;1;372250;01/02/05;002
276;1;372269;03/02/05;002
276;1;372277;03/02/05;002
276;1;372285;03/02/05;002
276;1;372595;01/03/05;002
276;1;372676;09/03/05;002
276;1;372730;01/03/05;002
276;1;372757;07/03/05;002
276;1;373303;01/04/05;002
276;1;373869;10/05/05;002
276;1;373877;17/05/05;002
276;1;374022;01/02/05;002
276;1;374067;02/06/05;002
276;1;374717;13/07/05;002
276;1;375055;22/08/05;002
276;1;375390;20/09/05;002
276;1;375993;07/11/05;002
276;1;376306;15/12/05;002
276;1;376346;16/01/06;002
276;1;376384;09/02/06;002
276;1;376543;02/05/06;002
276;1;376544;02/05/06;002
276;1;376545;02/05/06;002
276;1;376623;01/06/06;002
276;1;376747;07/08/06;002
276;1;376748;07/08/06;002
276;1;376781;21/08/06;002
276;1;376791;22/08/06;002
276;1;376835;08/09/06;002
276;1;376955;06/11/06;002
276;1;376995;01/12/06;002
276;1;377074;19/12/06;002
276;1;377213;02/03/07;002
276;1;377266;02/04/07;002
276;1;377363;10/05/07;002
276;1;377371;21/05/07;002
276;1;377394;01/06/07;002
276;1;377491;03/07/07;002
276;1;377513;13/07/07;002
276;1;377516;20/07/07;002
276;1;377563;02/08/07;002
276;1;377564;02/08/07;002
276;1;377642;03/09/07;002
276;1;377754;09/10/07;002
276;1;378207;16/04/08;002
276;1;378339;04/06/08;002
276;1;378566;05/09/08;002
276;1;378825;12/12/08;002
276;1;378881;04/02/09;002
276;1;379164;13/07/09;002
276;1;379230;11/08/09;002
276;1;379370;16/10/09;002
276;1;379465;20/11/09;002
276;1;379648;05/02/10;002
276;1;379762;02/06/18;002
276;1;379848;09/04/10;002
276;1;379950;20/05/10;002
276;1;379993;11/06/10;002
276;1;380216;22/09/10;002
276;1;381023;01/07/11;002
276;1;381172;19/08/11;002
276;1;381850;10/04/12;002
276;1;381879;20/04/12;002
276;1;382204;20/08/12;002
276;1;382334;05/10/12;002
276;1;382485;13/11/12;002
276;1;382789;04/03/13;002
276;1;383037;17/05/13;002
276;1;383293;08/08/13;002
276;1;383358;03/09/13;002
276;1;383617;18/11/13;002
276;1;384013;10/03/14;002
276;1;384031;13/03/14;002
276;1;384331;23/05/14;002
276;1;384373;09/06/14;002
276;1;384499;14/07/14;002
276;1;384500;11/07/14;002
276;1;384630;18/08/14;002
276;1;384747;19/09/14;002
276;1;384967;24/11/14;002
276;1;385172;06/02/15;002
276;1;385648;01/10/15;002
276;1;386263;01/09/16;002
276;1;386508;13/01/17;002
276;1;386631;20/03/17;002
276;1;386931;10/07/17;002
276;1;387761;08/05/18;002
276;1;387795;17/05/18;002
276;1;387879;19/06/18;002
276;1;387904;25/06/18;002
276;1;388045;14/08/18;002
276;1;388198;08/10/18;002
276;1;389018;01/08/19;002
276;1;389187;01/10/19;002
276;1;389488;15/01/20;002
276;1;390016;22/08/23;002
276;1;391160;24/08/21;002
276;1;391517;16/11/21;002
276;1;391517;22/02/22;002
276;1;391517;23/02/22;002
276;1;392031;02/03/22;002
276;1;392232;02/05/22;002
276;1;392628;19/07/22;002
276;1;392649;22/07/22;002
276;1;67563;02/08/08;002
276;1;80352;16/12/04;002
280;1;365467;01/07/04;001
280;1;365475;01/07/04;001
280;1;373460;01/04/05;001
280;1;390371;18/01/21;001
282;1;233005;01/12/05;001
282;1;244309;01/06/21;001
282;1;271951;01/11/04;001
282;1;318124;01/08/06;001
282;1;361488;01/01/10;001
282;1;365246;10/07/17;001
282;1;366951;01/07/04;001
282;1;366960;01/07/04;001
282;1;373486;01/04/05;001
282;1;376560;27/07/20;001
282;1;377248;02/01/13;001
282;1;377540;01/07/07;001
282;1;379038;04/09/13;001
282;1;379244;17/08/09;001
282;1;381541;02/12/12;001
282;1;383895;18/02/14;001
282;1;385066;03/10/22;015
282;1;385883;07/06/21;001
282;1;385960;13/05/19;001
282;1;386493;02/01/17;001
282;1;386731;27/03/17;001
282;1;389215;03/10/22;580
282;1;389572;12/02/20;001
282;1;389664;07/05/20;001
282;1;390051;02/10/23;001
282;1;390597;03/10/22;7044
282;1;390729;01/06/21;001
282;1;391459;03/10/22;467
282;1;391797;03/10/22;025
282;1;392154;07/04/22;001
282;1;392212;01/02/25;128
282;1;392783;01/09/22;001
282;1;393411;01/02/23;001
282;1;393598;15/03/23;001
282;1;393642;01/07/25;001
282;1;396163;18/11/24;001
4;1;139106;01/01/09;002
4;1;139106;01/02/99;004
4;1;139106;01/04/16;001
4;1;139106;10/02/04;003
4;1;145459;09/08/04;001
4;1;251453;01/11/99;003
4;1;251453;15/10/98;001
4;1;288969;22/08/07;004
4;1;296333;16/04/01;003
4;1;299618;01/01/09;001
4;1;299618;02/01/92;001
4;1;299626;01/01/09;001
4;1;299626;01/11/04;003
4;1;299626;05/02/92;001
4;1;299634;02/01/92;001
4;1;299642;02/01/92;001
