codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_vinculo
;1;100871;1985-08-01;10
;1;106712;1985-11-01;10
;1;107255;1985-11-04;10
;1;107573;1985-11-04;10
;1;109266;1985-12-02;10
;1;112577;1986-02-04;10
;1;113239;1986-02-18;10
;1;113964;1986-03-01;10
;1;115703;1986-05-15;10
;1;116017;1986-05-22;10
;1;116165;1986-05-19;10
;1;116203;1986-05-19;10
;1;118206;1986-07-10;10
;1;118699;1986-07-08;10
;1;119784;1986-08-13;10
;1;120219;1986-08-22;10
;1;120367;1986-08-07;10
;1;120766;1986-09-04;10
;1;121355;1986-09-01;10
;1;123978;1986-10-24;10
;1;124982;1986-11-04;10
;1;125024;1986-11-05;10
;1;125504;1986-11-03;10
;1;128112;1986-11-13;10
;1;128228;1986-11-12;10
;1;131555;1986-12-09;10
;1;132420;1986-12-15;10
;1;133388;1987-01-16;10
;1;134783;1987-04-15;10
;1;137031;1987-06-08;10
;1;138631;1987-07-22;10
;1;139424;1987-08-18;10
;1;141;1967-11-01;10
;1;142018;1987-11-23;10
;1;142166;1987-10-01;10
;1;14290;1977-06-01;10
;1;144916;1987-12-01;10
;1;146609;1988-01-22;10
;1;147915;1987-09-24;10
;1;147940;1987-09-28;10
;1;149021;1987-11-23;10
;1;149179;1987-10-07;10
;1;150304;1987-11-03;10
;1;152323;1988-02-24;10
;1;152633;1988-03-02;10
;1;153168;1988-03-14;10
;1;153443;1988-03-16;10
;1;154237;1988-04-02;10
;1;154491;1988-04-04;10
;1;154938;1988-04-04;10
;1;155039;1988-04-19;10
;1;155161;1988-04-05;10
;1;155632;1988-04-21;10
;1;156230;1988-05-12;10
;1;156370;1988-05-16;10
;1;156515;1988-05-16;10
;1;157228;1988-06-14;10
;1;157554;1988-07-01;10
;1;157759;1988-07-15;10
;1;157783;1988-07-01;10
;1;159239;1988-09-01;10
;1;160989;1988-11-06;10
;1;161489;1988-11-21;10
;1;165174;1988-12-07;10
;1;166863;1989-01-01;10
;1;166898;1989-01-02;10
;1;168459;1989-03-09;10
;1;168602;1989-03-01;10
;1;168815;1989-03-01;10
;1;169749;1989-03-20;10
;1;170208;1989-04-01;10
;1;171115;1985-11-01;10
;1;172260;1989-05-01;10
;1;172502;1989-05-02;10
;1;173363;1989-05-05;10
;1;173720;1989-05-18;10
;1;173789;1989-05-15;10
;1;173819;1989-05-26;10
;1;173843;1989-05-01;10
;1;173967;1989-05-05;10
;1;173983;1989-05-22;10
;1;174289;1989-05-01;10
;1;174327;1989-06-01;10
;1;174335;1989-07-01;10
;1;174467;1989-06-01;10
;1;175170;1989-06-16;10
;1;175366;1989-06-16;10
;1;175498;1989-06-08;10
;1;175668;1989-06-11;10
;1;175803;1989-06-20;10
;1;175935;1989-06-15;10
;1;176125;1989-07-01;10
;1;176427;1989-07-04;10
;1;176699;1989-07-03;10
;1;176737;1989-07-11;10
;1;176796;1981-10-09;10
;1;176842;1987-04-03;10
;1;177229;1989-07-02;10
;1;177407;1989-07-20;10
;1;177636;1989-08-01;10
;1;177806;1989-08-01;10
;1;178454;1989-08-01;10
;1;178853;1989-08-01;10
;1;178900;1989-08-10;10
;1;179477;1989-08-22;10
;1;180106;1989-09-01;10
;1;180157;1989-09-01;10
;1;180360;1989-09-01;10
;1;180564;1989-09-04;10
;1;180777;1989-09-01;10
;1;181129;1989-09-09;10
;1;181242;1989-09-18;10
;1;181650;1989-09-20;10
;1;181731;1989-10-01;10
;1;182061;1989-10-01;10
;1;184608;1989-12-01;10
;1;189600;1989-12-18;10
;1;189715;1989-12-16;10
;1;189944;1990-01-02;10
;1;190250;1990-01-02;10
;1;191736;1990-03-06;10
;1;191931;1990-01-02;10
;1;19;1950-07-01;80
;1;192767;1990-04-01;10
;1;193208;1990-02-01;10
;1;193224;1990-04-11;10
;1;194697;1990-02-14;10
;1;195022;1990-02-15;10
;1;195413;1990-03-19;10
;1;195855;1990-03-05;10
;1;196410;1990-05-02;10
;1;196738;1990-05-02;10
;1;196746;1990-05-11;10
;1;196797;1990-05-03;10
;1;196878;1990-05-14;10
;1;197505;1990-05-23;10
;1;197866;1990-06-01;10
;1;198153;1990-06-08;10
;1;198455;1990-06-08;10
;1;198749;1990-06-11;10
;1;199125;1990-08-01;10
;1;199133;1990-07-21;10
;1;199320;1990-08-01;10
;1;19940;1978-03-06;10
;1;199672;1990-08-01;10
;1;200034;1990-07-11;10
;1;200310;1990-07-12;10
;1;200387;1990-07-19;10
;1;200484;1990-07-03;10
;1;201103;1988-10-19;10
;1;201472;1990-09-01;10
;1;201723;1990-09-01;10
;1;201766;1990-09-14;10
;1;201898;1990-09-03;10
;1;202282;1990-09-17;10
;1;202592;1990-09-03;10
;1;203033;1990-09-16;10
;1;203343;1990-10-01;10
;1;203432;1990-10-12;10
;1;203556;1990-10-01;10
;1;204048;1990-10-10;10
;1;205109;1990-10-15;10
;1;205320;1990-10-05;10
;1;205338;1990-10-19;10
;1;205419;1990-10-16;10
;1;205541;1990-10-17;10
;1;205702;1990-10-17;10
;1;205842;1990-11-01;10
;1;206041;1990-10-19;10
;1;206156;1990-10-20;10
;1;206202;1990-10-01;10
;1;206211;1990-10-16;10
;1;206661;1990-11-05;10
;1;206814;1990-11-01;10
;1;207128;1990-11-09;10
;1;207501;1990-11-13;10
;1;207608;1990-11-13;10
;1;207624;1990-11-17;10
;1;207659;1990-11-19;10
;1;207756;1990-11-16;10
;1;207985;1990-11-22;10
;1;210552;1990-12-05;10
;1;212466;1990-12-01;10
;1;212831;1990-12-01;10
;1;212989;1990-12-01;10
;1;213187;1991-01-01;10
;1;213641;1991-01-13;10
;1;214167;1991-01-26;10
;1;214337;1991-02-01;10
;1;214591;1991-03-01;10
;1;214752;1991-03-06;10
;1;214949;1991-03-01;10
;1;214973;1991-03-06;10
;1;215261;1991-04-03;10
;1;215457;1991-04-01;10
;1;215503;1991-02-06;10
;1;215520;1991-02-01;10
;1;215627;1991-03-04;10
;1;21563;1978-05-22;10
;1;215759;1991-04-01;10
;1;216101;1991-04-15;10
;1;216160;1991-04-10;10
;1;216364;1991-04-15;10
;1;216569;1991-04-02;10
;1;216739;1991-04-01;10
;1;216836;1991-05-01;10
;1;217085;1991-05-01;10
;1;217671;1991-05-03;10
;1;217794;1991-05-01;10
;1;217841;1991-05-16;10
;1;218189;1991-06-01;10
;1;21831;1978-06-19;10
;1;218375;1991-06-04;10
;1;218413;1991-06-03;10
;1;218677;1991-06-03;10
;1;218791;1991-06-03;10
;1;218936;1991-06-11;10
;1;219134;1991-06-10;10
