CODIGO;NOME;SIGLA;NUMERO_CNPJ;MES_DATA_BASE;CODIGO_ENTIDADE;ENDERECO;NUMERO_ENDERECO;COMPLEMENTO_ENDERECO;CODIGO_CIDADE;CODIGO_CEP;ENTIDADE_SINDICAL_ALFA
1;SIND. EMP. COM. PASSO FUNDO ( CASCA,SERTAO);AJUSTAR;92046820000132;4;5179875818;MORON;1731;4 andar;4314100;99010033;
2;SIND. EMP. COM. STO ANGELO/CERRO LARGO/GUARANI D/ENTRE IJUIS;AJUSTAR;88508700000132;2;5179495110;FLORENCIO DE ABREU;1261;;4317509;98804560;
3;SIND. EMP. COM. CACHOEIRA DO SUL (RESTINGA SECA);AJUSTAR;87775235000133;5;5179875680;RUA ANIBAL LOUREIRO;155;;4303004;96506770;
4;SIND. EMP. COM. CAXIAS DO SUL/FLORES DA CUNHA;AJUSTAR;88661699000181;7;5179875702;RUA GARIBALDI;370;;4305108;95080190;
5;SIND. EMP. COM. SAO LEOPOLDO;AJUSTAR;96757612000100;4;5179875915;RUA SAO DOMINGOS;1097;;4318705;93010290;
6;SIND. EMP. COM. SANTA MARIA;AJUSTAR;95627485000154;4;5179875870;RUA VENANCIO AIRES;1621;;4316907;97010003;
7;SIND. EMP. COM. SAO BORJA;AJUSTAR;88703384000150;3;5179019660;DOS ANDRADAS;1831;;4318002;97670000;
8;SIND. EMP. COM. IJUI (STO AUGUS., COR. BICACO,CAT);AJUSTAR;90740788000165;3;5179875761;RUA VENANCIO AIRES;293;;4310207;98700000;
9;SIND. EMP. COM. PORTO ALEGRE;AJUSTAR;92832880000180;11;915005814875837;GENERAL VITORINO;113;;4314902;90020171;
10;SIND. EMP. COM. SEV. CONT. CONCORDIA;AJUSTAR;82811456000104;11;565164130710;RUA MARECHAL DEODORO;1217;;4204301;89700000;
11;SIND. EMP. COM. CHAPECO (nao);AJUSTAR;83017830000159;9;5164130722;RUA LEOBERTO LEAL;58;D;4204202;89802140;
12;SIND. EMP. COM. PALMEIRA DAS MISSOES;AJUSTAR;90223454000114;3;5179019695;SETE DE SETEMBRO;444;;4313706;98300000;
13;SIND.EMP.COM.PATO BRANCO(PALMAS,COR. VIVIDA,CLEVE);AJUSTAR;78676665000107;6;565158884308;DOUTOR SILVIO VIDAL;235;;4118501;85505010;
14;SIND. EMP. COM. CRUZ ALTA;AJUSTAR;89707434000130;8;5179875729;RUA VENANCIO AIRES;1330;;4306106;98005020;
15;SIND. EMP. COM. CARAZINHO;AJUSTAR;87447413000105;5;5179014227;ALEXANDRE DA MOTTA;540;3 ANDAR;4304705;99500000;
16;SIND. EMP. COM. ROSARIO DO SUL;AJUSTAR;91992081000109;4;5179046188;GENERAL CANABARRO;423;;4316402;97590000;
17;SIND. EMP. COM. BAGE;AJUSTAR;87415345000194;8;5179875672;JUVENCIO LEMOS;424;casa;4301602;96400550;
18;SIND. EMP. COM. LIVRAMENTO;AJUSTAR;92913730000100;2;5179875885;HUGOLINO ANDRADE;1517;;4317103;97573581;
19;SIND. EMP. COM. VACARIA;AJUSTAR;90544073000137;3;5179875940;PINHEIRO MACHADO;226;;4322509;95200000;
20;FED. TRAB. COM. EST. SC;AJUSTAR;83929588000190;9;5164000004;AVENIDA MAURO RAMOS;1624;;4205407;88000000;
21;SIND. EMP. COM. FRANCISCO BELTRAO;AJUSTAR;78123999000153;6;565158884228;RUA PERNAMBUCO;111;;4108403;85601300;
22;SIND.EMP.COM.LAGES(SAO JOAQUIM);AJUSTAR;82790312000100;5;;RUA MARECHAL DEODORO;773;;4209300;88501001;
23;SIND. EMP. COM. ALEGRETE;AJUSTAR;90866856000137;6;5179875664;NOSSA SENHORA DO CARMO;130;03;4300406;97541410;
24;SIND. EMP. COM. SAO JOSE;AJUSTAR;03392229000107;9;5164902083;RUA IRMAOS VIEIRA;39;;4216602;88101290;
25;SIND. EMP. COM. SANTA ROSA;AJUSTAR;90863663000122;6;5179015932;ANTONIO CARLOS BORGES;90;;4317202;98900000;
26;SIND. EMP. COM. BENTO GONCALVES(GARIBALDI,CARLOS BARBOSA);AJUSTAR;89341093000121;3;5179012224;AVENIDA OSVALDO ARANHA;1075;SALA 305;4302105;95700000;
27;SIND. EMP. COM. ERECHIM;AJUSTAR;90868662000170;6;5179875737;SANTO DAL BOSCO;146;;4307005;99700460;
28;SIND. EMP. COM. TOLEDO/ NOVA SANTA ROSA PR;AJUSTAR;78115524000115;6;5158013906;RUA SOUZA NEVES;209;;4127700;85900160;
29;SIND. EMP. COM. XANXERE;AJUSTAR;78480316000115;11;914565164019834;RUA VICTOR KONDER;899;SALA 203;4219507;89820000;
30;SIND. EMP. COM. SANTIAGO;AJUSTAR;89706444000150;11;5179875893;GERONIMO DE OLIVEIRA;1653;;4317400;97700000;
31;SIND. EMP. COM. NOVO HAMBURGO;AJUSTAR;91695288000111;10;5179875800;RUA EMANCIPACAO;115;;4313409;93300000;
32;SIND. EMP. COM. JOINVILLE;AJUSTAR;84714237000124;5;5164130641;RUA SETE DE SETEMBRO;74;;4209102;89200000;
33;SIND.EMP.COM.UNIAO DA VITORIA (SAO MATEUS DO SUL);AJUSTAR;75214064000194;11;5158015690;RUA MARECHAL FLORIANO PEIXOTO;373;;4128203;84600000;
34;SIND. EMP. COM. TRES PASSOS(CRISSIUMAL-TENENTE PO);AJUSTAR;91998047000141;3;5179042417;GASPAR SILVEIRA MARTINS;715;;4321907;98600000;
35;SIND. EMP. COM. PELOTAS;AJUSTAR;92236793000160;9;5179875826;RUA VOLUNTARIOS DA PATRIA;1074;;4314407;96015730;
36;SIND. TRAB. COM. VALE ARARANGUA;AJUSTAR;80990021000130;5;5164893793;RUA GETULIO VARGAS;352;;4201406;88900000;
