codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_nova_empresa;codigo_novo_cadastro;codigo_nova_filial;tipo_admissao;numero_ficha_registro;tipo_admissao_colaborador
8;1;19;01/01/1990;8;19;001;2;0;1
8;1;19;01/11/2003;8;19;001;2;0;1
2;1;27;06/04/1993;2;27;001;2;0;1
2;1;35;01/06/2001;2;35;001;2;0;1
2;1;43;04/06/1982;2;43;001;2;0;1
8;1;78;01/03/1990;8;78;001;2;40;1
8;1;78;01/11/2003;8;78;001;2;40;1
8;1;78;10/04/2007;8;78;001;2;40;1
8;1;141;01/01/1990;8;141;013;2;92;1
8;1;141;02/08/1999;8;141;013;2;92;1
8;1;2968;04/12/1974;8;2968;001;2;296;1
8;1;6947;01/01/2003;8;6947;001;2;1250;1
8;1;6947;01/05/1994;8;6947;001;2;1250;1
8;1;6970;01/01/2003;8;6970;001;2;44;1
8;1;6970;01/05/2017;8;6970;001;2;44;1
8;1;6970;01/06/1985;8;6970;001;2;44;1
8;1;6970;01/11/2003;8;6970;001;2;44;1
8;1;6970;02/01/2018;8;6970;001;2;44;1
8;1;8150;01/01/1990;8;8150;001;2;38;1
8;1;14290;01/03/1987;8;14290;001;2;1510;1
8;1;19940;24/09/1996;8;19940;015;2;1994;1
8;1;21563;01/07/1986;8;21563;059;2;41;1
8;1;21831;01/07/2008;8;21831;001;2;4058;1
8;1;21831;01/11/1989;8;21831;001;2;4058;1
8;1;21831;01/11/2003;8;21831;001;2;4058;1
8;1;21831;24/09/1996;8;21831;001;2;4058;1
8;1;22501;24/09/1996;8;22501;215;2;0;1
8;1;24554;01/04/1988;8;24554;001;2;0;1
8;1;24775;01/06/1992;8;24775;001;2;0;1
8;1;24775;01/11/2003;8;24775;001;2;0;1
8;1;24775;01/12/2015;8;24775;001;2;0;1
8;1;33588;24/09/1996;8;33588;041;2;3358;1
8;1;36200;24/09/1996;8;36200;025;2;3620;1
8;1;44105;24/09/1996;8;44105;037;2;4410;1
8;1;48127;16/07/1981;8;48127;039;2;29;1
8;1;53970;01/01/1990;8;53970;071;2;5397;1
8;1;57240;03/04/1982;8;57240;001;2;5724;1
8;1;57941;24/09/1996;8;57941;013;2;5794;1
8;1;58416;04/06/1982;8;58416;001;2;5841;1
8;1;59323;01/01/1986;8;59323;013;2;2167;1
8;1;59986;01/09/1987;8;59986;029;2;69;1
8;1;60160;01/09/1986;8;60160;066;2;10;1
8;1;61905;24/09/1996;8;61905;068;2;6190;1
8;1;62227;01/11/1982;8;62227;052;2;92;1
8;1;65950;24/09/1996;8;65950;007;2;6595;1
8;1;67563;01/01/1990;276;67563;002;2;74;1
