codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;dias_aviso_indenizado;dias_aviso_reavido;dias_saldo_salarios;dias_fim_contrato_antecipado;salario_final_aviso;saldo_anterior_fgts;homologacao_dissidio_coletivo;motivo_complementar;salario_base;integrar_rescisao;aviso_previo;dias_aviso_indenizado_acrescimo;dias_aviso_reavido_acrescimo;termo_quitacao_trct
8;1;14290;13/11/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;57941;26/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;60160;31/08/2000;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;65950;26/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;69965;24/03/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;79952;24/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;80012;20/07/2001;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;84069;19/05/2016;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;87564;31/07/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;112194;02/09/2004;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;113239;04/05/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;115274;01/01/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;116360;22/01/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;121827;08/05/2025;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;132331;30/08/2004;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;133388;20/11/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;133388;31/10/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;134783;14/04/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;135062;29/12/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;138550;31/03/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
