codigo_empresa;tipo_colaborador;cadastro_colaborador;data_demissao;causa_demissao;data_aviso_previo;data_pagamento_rescisao;dias_aviso_indenizado;dias_aviso_reavido;dias_saldo_salarios;dias_fim_contrato_antecipado;salario_final_aviso;saldo_anterior_fgts;comentario_rescisao;reposicao_vaga;salario_base;aviso_previo;cumpriu_jornada_semana;sabado_compensado;dias_aviso_indenizado_acrescimo;dias_aviso_reavido_acrescimo;termo_quitacao_trct;atestado_obito;processo_trabalhista
8;1;19;07/10/2006;8;;;N;;;;;;;N;;3;;;;;0;;
2;1;27;13/04/2005;2;13/04/2005;;N;;;;;;;N;;3;;;;;0;;
2;1;35;11/04/2006;2;11/04/2006;;N;;;;;;;N;;3;;;;;0;;
2;1;43;11/04/2006;2;11/04/2006;;N;;;;;;;N;;3;;;;;0;;
8;1;78;08/03/2011;8;;;N;;;;;;;N;;3;;;;;0;;
8;1;141;01/03/2000;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;2968;10/05/1996;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;6947;01/06/2007;4;01/06/2007;;N;;;;;;;N;;3;;;;;0;;
8;1;6970;01/02/2023;8;;;C;;;;;;;N;;3;;;;;0;;
8;1;8150;01/01/2001;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;14290;07/11/1997;2;;13/11/1997;N;;;;;;;N;;3;;;;;0;;
8;1;19940;01/01/1995;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;21563;02/04/2009;2;02/04/2009;;S;30;;;;;;N;;3;;;;;0;;
8;1;21831;10/08/2018;8;;;N;;;;;;;N;;3;;;;;0;09814501552018400102147002614410;
8;1;22501;27/06/1996;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;24554;01/05/1997;8;;;N;;;;;;;N;;3;;;;;0;;
8;1;24775;21/07/2020;2;21/07/2020;;C;90;;;;;;N;;1;;;;;0;;
8;1;33588;01/02/1996;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;36200;03/05/1995;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;44105;15/02/1996;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;48127;03/07/2001;2;03/07/2001;;N;;;;;;;N;;3;;;;;0;;
8;1;53970;02/12/1996;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;57240;10/06/1996;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;57941;06/08/1996;2;;26/09/1996;N;;;;;;;N;;3;;;;;0;;
8;1;58416;06/01/1995;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;59323;02/04/2001;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;59986;25/12/1999;8;;;N;;;;;;;N;;3;;;;;0;;
8;1;60160;09/08/2000;2;;31/08/2000;N;;;;;;;N;;3;;;;;0;;
8;1;61905;01/07/1995;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;62227;22/10/1997;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;65950;02/09/1996;2;;26/09/1996;N;;;;;;;N;;3;;;;;0;;
276;1;67563;20/08/2019;2;20/08/2019;;S;90;;;;;;N;;1;;;;;0;;
8;1;69965;05/03/1997;2;;24/03/1997;N;;;;;;;N;;3;;;;;0;;
8;1;70734;11/05/1995;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;71617;27/09/2012;2;27/09/2012;;S;90;;;;;;N;;3;;;;;0;;
8;1;71749;01/10/1995;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;77630;09/08/2000;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;79952;18/09/1996;2;;24/09/1996;N;;;;;;;N;;3;;;;;0;;
8;1;80000;21/05/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80001;25/03/1999;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;80002;03/04/1999;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;80003;17/09/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80004;21/07/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80005;10/09/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80006;17/09/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80007;01/02/1999;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;80008;28/09/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80009;04/03/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80010;31/12/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80011;31/12/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80012;09/07/2001;4;18/07/2001;20/07/2001;N;;;;;;;N;;3;;;;;0;;
8;1;80013;03/10/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80014;11/09/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80015;29/06/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80016;30/04/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80017;23/03/1999;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;80018;01/03/1999;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;80019;09/08/2001;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80020;31/03/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80021;04/11/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80022;30/11/1999;2;;;N;;;;;;;N;;3;;;;;0;;
4;1;80023;05/04/1999;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;80024;08/09/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80025;15/10/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80026;17/06/1999;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;80027;12/09/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80028;08/03/1999;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;80029;24/04/1999;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;80030;20/12/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80031;23/11/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80032;15/05/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80033;21/07/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80034;30/07/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80035;04/11/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80036;31/03/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80037;17/09/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80038;17/09/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80039;14/10/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80040;30/11/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80041;30/11/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80042;30/11/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80043;31/10/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80044;28/02/1999;4;;;N;;;;;;;N;;3;;;;;0;;
8;1;80045;30/11/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80046;21/05/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80047;22/07/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80048;31/12/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80049;02/02/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80050;30/04/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80051;14/05/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80052;06/11/1999;2;;;N;;;;;;;N;;3;;;;;0;;
8;1;80053;30/05/1999;12;;;N;;;;;;;N;;3;;;;;0;;
8;1;80054;31/01/1999;12;;;N;;;;;;;N;;3;;;;;0;;
