codigo_empresa;codigo_centro_custo;nome_centro_custo;data_criacao;data_extincao;texto_centro_custo
8;002;FILIAL  002 - CACHOEIRINHA;01/01/1980;31/07/2024;002
8;003;FILIAL  003 - SAO GABRIEL;01/01/1980;31/07/2024;003
8;004;FILIAL  004 - ERECHIM;01/01/1980;;004
8;005;FILIAL  005 - CARAZINHO;01/01/1980;;005
8;006;FILIAL  006 - IJUI;01/01/1980;31/07/2024;006
8;007;FILIAL  007 - CRUZ ALTA;01/01/1980;31/07/2024;007
8;008;FILIAL  008 - PALMEIRA DAS MISSOES;01/01/1980;31/07/2024;008
8;009;FILIAL  009 - IJUI;01/01/1980;31/07/2024;009
8;010;FILIAL  010 - SANTO ANGELO;01/01/1980;;010
8;011;FILIAL  011 - TUPANCIRETA;01/01/1980;31/07/2024;011
8;012;FILIAL  012 - SANTA MARIA;01/01/1980;31/07/2024;012
8;014;FILIAL  014 - SANTA ROSA;01/01/1980;;014
8;015;FILIAL  015 - SANTO ANGELO;01/01/1980;31/07/2024;015
8;016;FILIAL  016 - ARROIO GRANDE;01/01/1980;;016
8;018;FILIAL  018 - ERECHIM;01/01/1980;31/07/2024;018
8;019;FILIAL  019 - CACHOEIRA DO SUL;01/01/1980;;019
8;020;FILIAL  020 - FREDERICO WESTPHALEN;01/01/1980;31/07/2024;020
8;021;FILIAL  021 - SAO GABRIEL;01/01/1980;31/07/2024;021
8;022;FILIAL  022 - CANOAS;01/01/1980;;022
8;023;FILIAL  023 - SAO FRANCISCO DE ASSIS;01/01/1980;;023
8;024;FILIAL  024 - TRES PASSOS;01/01/1980;31/07/2024;024
8;025;FILIAL  025 - SANTA MARIA;01/01/1980;;025
8;027;FILIAL  027 - PASSO FUNDO;01/01/1980;31/07/2024;027
8;028;FILIAL  028 - NOVA PRATA;01/01/1980;;028
8;029;FILIAL  029 - CHAPECO;01/01/1980;31/07/2024;029
8;032;FILIAL  032 - GUAPORE;01/01/1980;31/07/2024;032
8;033;FILIAL  033 - SANTO ANGELO;01/01/1980;;033
8;034;FILIAL  034 - BAGE;01/01/1980;;034
8;037;FILIAL  037 - SAO BORJA;01/01/1980;31/07/2024;037
8;038;FILIAL  038 - BAGE;01/01/1980;31/07/2024;038
8;039;FILIAL  039 - SANTA MARIA;01/01/1980;31/07/2024;039
8;040;FILIAL  040 - PELOTAS;01/01/1980;;040
8;041;FILIAL  041 - ESTEIO;01/01/1980;31/07/2024;041
8;042;FILIAL  042 - SANTANA DO LIVRAMENTO;01/01/1980;;042
8;043;FILIAL  043 - SANTO AUGUSTO;01/01/1980;;043
8;044;FILIAL  044 - PASSO FUNDO;01/01/1980;31/07/2024;044
8;045;FILIAL  045 - TAQUARA;01/01/1980;31/07/2024;045
8;046;FILIAL  046 - RIO GRANDE;01/01/1980;31/07/2024;046
8;047;FILIAL  047 - LAGES;01/01/1980;;047
8;048;FILIAL  048 - IJUI;01/01/1980;31/07/2024;048
8;049;FILIAL  049 - CAMPO MOURAO;01/01/1980;31/07/2024;049
8;050;FILIAL  050 - SANTA ROSA;01/01/1980;;050
8;051;FILIAL  051 - GIRUA;01/01/1980;31/07/2024;051
8;052;FILIAL  052 - PATO BRANCO;01/01/1980;;052
8;053;FILIAL  053 - PASSO FUNDO;01/01/1980;;053
8;054;FILIAL  054 - IBIRUBA;01/01/1980;;054
8;055;FILIAL  055 - CRUZ ALTA;01/01/1980;;055
8;056;FILIAL  056 - LAJEADO;01/01/1980;31/07/2024;056
8;057;FILIAL  057 - CARAZINHO;01/01/1980;;057
8;058;FILIAL  058 - LAGES;01/01/1980;31/07/2024;058
8;059;FILIAL  059 - CACHOEIRA DO SUL;01/01/1980;;059
