codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;nome_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial
280;001;;PASSO FUNDO;PRESIDENTE VARGAS;;3232;10;RS;4314100;0;0;;F;1;05342961000106;;;;6462000;6462;;0;6462000;;AV;99064000
002;001;;PASSO FUNDO;VALENTIN GRAZZIOTIN;;77;10;RS;4314100;0;0;;F;1;87607263000141;;;;6462000;6462;;0;6462000;;R;99060030
282;001;;PASSO FUNDO;VALENTIN GRAZZIOTIN;;77;10;RS;4314100;0;0;;F;1;06339468000191;;;;6436100;6436;;0;6436100;;R;99060030
276;001;;PASSO FUNDO;VALENTIN GRAZZIOTIN;;77;10;RS;4314100;0;0;;F;1;06018086000166;;;;6810202;7020;;0;6810202;;R;99060030
006;001;;PASSO FUNDO;VALENTIN GRAZZIOTIN;;77;10;RS;4314100;0;0;;F;1;92007459000135;;;;0115600;5249;;0;0115600;;R;99060030
004;001;;PASSO FUNDO;PRESIDENTE VARGAS;;3232;10;RS;4314100;0;0;;F;1;87793089000179;;;;4642701;4642;;0;4642701;;AV;99064000
008;001;;PASSO FUNDO;VALENTIN GRAZZIOTIN;Matriz;77;10;RS;4314100;0;0;;F;1;92012467000170;;;;4781400;5232;;0;4781400;;R;99060030
004;002;;GRZ ITAJAI;RUA SAMUEL HEUSI;SALA 411;463;1864;SC;4208203;0;0;;F;1;87793089000250;;;;4642701;4642;;0;4642701;;R;88301320
128;002;;GRZ PIRATINI;CERRO ALEGRE;;01;6541;RS;4314605;0;0;;F;1;24644903000254;;;;0210103;210;;0;0210103;;EST;96490000
276;002;;GRZ PORTO ALEGRE;RUA VOLUNTARIOS DA PATRIA;;294;52;RS;4314902;0;0;;F;1;06018086000247;;;;6810202;7020;;0;6810202;;R;90030001
008;002;;GRZ CACHOEIRINHA;FLORES DA CUNHA;;984;390;RS;4303103;0;0;;F;1;92012467000250;;;;4781400;5232;;0;4781400;;AV;94910001
008;003;;FRG SAO GABRIEL;RUA DUQUE DE CAXIAS;;442;160;RS;4318309;0;0;;F;1;92012467000331;;;;4781400;5232;;0;4781400;;R;97300000
008;004;;GRZ ERECHIM;MAURICIO CARDOSO;;105;181;RS;4307005;0;0;;F;1;92012467000412;;;;4781400;5232;;0;4781400;;AV;99700426
008;005;;GRZ CARAZINHO;FLORES DA CUNHA;;2299;63;RS;4304705;0;0;;F;1;92012467000501;;;;4781400;5232;;0;4781400;;AV;99500000
008;006;;IJUI;ERNESTO ALVES;SALA 01;138;250;RS;4310207;0;0;;F;1;92012467000684;;;;4781400;5232;;0;4781400;;R;98700000
008;007;;GRZ CRUZ ALTA;VENANCIO AIRES;;1301;135;RS;4306106;0;0;;F;1;92012467000765;;;;4781400;5232;;0;4781400;;R;98005096
008;008;;TOT PALMEIRA DAS MISSOES;INDEPENDENCIA;SALA 02;1040;130;RS;4313706;0;0;;F;1;92012467000846;;;;4759899;4781;;0;4759899;;AV;98300000
008;009;;GRZ IJUI;ERNESTO ALVES;;173;250;RS;4310207;0;0;;F;1;92012467000927;;;;4781400;5232;;0;4781400;;R;98700000
008;010;;SANTO ANGELO;MARECHAL FLORIANO;;1494;176;RS;4317509;0;0;;F;1;92012467001060;;;;4781400;5232;;0;4781400;;R;98804340
008;011;;PRM TUPANCIRETA;RUA VAZ FERREIRA;;776;3347;RS;4322202;0;0;;F;1;92012467001141;;;;4781400;5232;;0;4781400;;R;98170000
008;012;;SANTA MARIA;AVENIDA FERNANDO FERRARI;;1483;18;RS;4316907;0;0;;F;1;92012467001222;;;;4781400;5232;;0;4781400;;R;97050801
008;013;;PASSO FUNDO;VALENTIN GRAZZIOTIN;;177;10;RS;4314100;0;0;;F;1;92012467001303;;;;4781400;5232;;0;4781400;;R;99060030
008;014;;GRZ SANTA ROSA;RIO BRANCO;;420;192;RS;4317202;0;0;;F;1;92012467001494;;;;4781400;5232;;0;4781400;;AV;98780100
008;015;;GRZ SANTO ANGELO;MARECHAL FLORIANO N;;1387;176;RS;4317509;0;0;;F;1;92012467001575;;;;4781400;5232;;0;4781400;;R;98801650
008;016;;PRM ARROIO GRANDE;VISCONDE DE MAUA;;180;2819;RS;4301305;0;0;;F;1;92012467001656;;;;4781400;5232;;0;4781400;;R;96330000
008;018;;TOT ERECHIM;RUA BAHIA;;58;181;RS;4307005;0;0;;F;1;92012467001818;;;;4781400;5232;;0;4781400;;R;99700000
008;019;;GRZ CACHOEIRA DO SUL;JULIO DE CASTILHOS;;527;89;RS;4303004;0;0;;F;1;92012467001907;;;;4781400;5232;;0;4781400;;R;96501001
008;020;;PRM FREDERICO WESTPHALEN;PIRACICABA;;;4219;RS;4308508;0;0;;F;1;92012467002032;;;;4781400;5232;;0;4781400;;R;98400000
008;021;;SAO GABRIEL;CORONEL SEZEFREDO;;801;160;RS;4318309;0;0;;F;1;92012467002113;;;;4781400;5232;;0;4781400;;R;97300000
008;022;;GRZ CANOAS;QUINZE DE JANEIRO;loja 111;481;294;RS;4304606;0;0;;F;1;92012467002202;;;;4781400;5232;;0;4781400;;R;92010300
008;023;;PRM SAO FRANCISCO DE ASSIS;SILVA JARDIM;;1499;3083;RS;4318101;0;0;;F;1;92012467002385;;;;4781400;5232;;0;4781400;;R;97610000
008;024;;PRM TRES PASSOS;BENTO GONCALVES;;411;237;RS;4321907;0;0;;F;1;92012467002466;;;;4781400;5232;;0;4781400;;R;98600000
008;025;;GRZ SANTA MARIA;DO ACAMPAMENTO;;224;18;RS;4316907;0;0;;F;1;92012467002547;;;;4781400;5232;;0;4781400;;R;97050000
008;027;;PASSO FUNDO;RUA BENTO GONCALVES;;708;2;RS;4314100;0;0;;F;1;92012467002709;;;;4781400;5232;;0;4781400;;R;99010012
008;028;;PRM NOVA PRATA;BORGES DE MEDEIROS;;1100;2233;RS;4313300;0;0;;F;1;92012467002890;;;;4781400;5232;;0;4781400;;AV;95320000
008;029;;CHAPECO;RUA JOAO MARTINS;-D;681;4064;SC;4204202;0;0;;F;1;92012467002970;;;;4781400;5232;;0;4781400;;R;89803040
008;032;;PRM GUAPORE;JULIO CAMPOS;;01;3336;RS;4309407;0;0;;F;1;92012467003276;;;;4781400;5232;;0;4781400;;R;99200000
008;033;;TOT SANTO ANGELO;MARECHAL FLORIANO;SALA 01;1387;176;RS;4317509;0;0;;F;1;92012467003357;;;;4759899;5232;;0;4759899;;R;98801650
008;034;;GRZ BAGE;SETE DE SETEMBRO;;879;256;RS;4301602;0;0;;F;1;92012467003438;;;;4781400;5232;;0;4781400;;AV;96400006
