codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;codigo_tabela_eventos;codigo_evento;referencia_evento;valor_evento
8;1;19;07/10/2006;1;850;0;0
8;1;19;07/10/2006;1;1600;0;3196,666669
8;1;19;07/10/2006;1;2000;0;308,2
8;1;19;07/10/2006;1;2004;0;257
8;1;19;07/10/2006;1;2505;0;0
2;1;35;11/04/2006;1;650;0;0
2;1;35;11/04/2006;1;651;0;0
2;1;35;11/04/2006;1;659;0;0
2;1;35;11/04/2006;1;850;0;0
2;1;35;11/04/2006;1;1600;0;47,666663
2;1;35;11/04/2006;1;2000;0;5,24
2;1;35;11/04/2006;1;2505;0;0
2;1;43;11/04/2006;1;650;0;0
2;1;43;11/04/2006;1;651;0;0
2;1;43;11/04/2006;1;659;0;0
2;1;43;11/04/2006;1;850;0;0
2;1;43;11/04/2006;1;1600;0;47,666663
2;1;43;11/04/2006;1;2000;0;5,24
2;1;43;11/04/2006;1;2505;0;0
8;1;78;08/03/2011;1;850;0;0
8;1;78;08/03/2011;1;1600;0;8000
8;1;78;08/03/2011;1;2000;0;405,86
8;1;78;08/03/2011;1;2004;0;1321,13
8;1;78;08/03/2011;1;2467;0;10,9
8;1;6947;08/06/2007;1;850;0;0
8;1;6947;08/06/2007;1;1600;0;0
8;1;6970;09/02/2023;1;200;0;77,06
8;1;6970;09/02/2023;1;222;0;20,8053
8;1;6970;09/02/2023;1;305;0;2,666667
8;1;6970;09/02/2023;1;650;0;2935,86
8;1;6970;09/02/2023;1;651;0;244,66
8;1;6970;09/02/2023;1;659;0;1060,173333
8;1;6970;09/02/2023;1;850;0;244,655
8;1;6970;09/02/2023;1;2000;0;7,34
8;1;6970;09/02/2023;1;2003;0;18,34
8;1;6970;09/02/2023;1;2500;0;7,82
8;1;6970;09/02/2023;1;2505;0;244,66
8;1;6970;09/02/2023;1;9030;0;19,57
8;1;21563;09/04/2009;1;200;0;47,21
8;1;21563;09/04/2009;1;222;0;14,1626
8;1;21563;09/04/2009;1;368;0;0
8;1;21563;09/04/2009;1;651;0;843,86
8;1;21563;09/04/2009;1;659;0;281,286667
8;1;21563;09/04/2009;1;850;0;230,1425
8;1;21563;09/04/2009;1;900;0;76,714167
8;1;21563;09/04/2009;1;950;0;920,57
8;1;21563;09/04/2009;1;1650;0;5,132
8;1;21563;09/04/2009;1;2000;0;4,9
