codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;19;01/07/1950;2;1;;;01/07/1950;19;;11;N;1
2;1;27;01/06/2001;2;1;;;01/06/2001;27;;11;N;1
2;1;35;01/06/2001;2;1;;;01/06/2001;35;;11;N;1
2;1;43;01/06/2001;2;1;;;01/06/2001;43;;11;N;1
8;1;78;15/04/1966;2;1;;;15/04/1966;78;;11;N;1
8;1;141;01/11/1967;2;1;;;01/11/1967;141;;1;N;1
8;1;2968;04/12/1974;2;1;;;04/12/1974;2968;;1;N;1
8;1;6947;20/01/1976;2;1;;;20/01/1976;6947;;11;N;1
8;1;6970;06/01/1976;2;1;;;06/01/1976;6970;;1;N;1
8;1;8150;04/03/1976;2;1;;;04/03/1976;8150;;11;N;1
8;1;14290;01/06/1977;2;1;;;01/06/1977;14290;;1;N;1
8;1;19940;06/03/1978;2;1;;;06/03/1978;19940;;1;N;1
8;1;21563;22/05/1978;2;1;;;22/05/1978;21563;;1;N;1
8;1;21831;19/06/1978;2;1;;;19/06/1978;21831;;1;N;1
8;1;22501;07/08/1978;2;1;;;07/08/1978;22501;;1;N;1
8;1;24554;03/10/1978;2;1;;;03/10/1978;24554;;1;N;1
8;1;24775;01/10/1978;2;1;;;01/08/1950;24775;;11;N;1
8;1;33588;18/12/1979;2;1;;;18/12/1979;33588;;1;N;1
8;1;36200;16/02/1980;2;1;;;16/02/1980;36200;;1;N;1
8;1;44105;18/11/1980;2;1;;;18/11/1980;44105;;1;N;1
8;1;48127;16/07/1981;2;1;;;16/07/1981;48127;;1;N;1
8;1;53970;18/01/1982;2;1;;;18/01/1982;53970;;1;N;1
8;1;57240;03/04/1982;2;1;;;03/04/1982;57240;;1;N;1
8;1;57941;18/05/1982;2;1;;;18/05/1982;57941;;1;N;1
8;1;58416;04/06/1982;2;1;;;04/06/1982;58416;;1;N;1
