codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;sequencia_alteracao;motivo_alteracao;valor_salario_atual;tipo_reajuste;percentual_reajuste_concedido
8;1;19;01/01/1995;0;100;4799,95;1;0
8;1;19;01/01/1996;0;100;7752,31;1;0
8;1;19;01/02/1995;0;100;4865,23;1;0
8;1;19;01/03/1995;0;100;4969,91;1;0
8;1;19;01/04/1995;0;100;7023,9;1;0
8;1;19;01/04/2001;0;103;11000;1;22,22
8;1;19;01/04/2002;0;105;11550;1;5
8;1;19;01/04/2004;0;105;12800;1;10,82
8;1;19;01/04/2005;0;105;13700;1;7,03
8;1;19;01/05/1995;0;100;7199,56;1;0
8;1;19;01/05/1996;0;100;7750;1;0
8;1;19;01/05/1997;0;105;8525;1;10
8;1;19;01/05/2000;0;103;9000;1;5,57
8;1;19;01/06/1995;0;100;7157,5;1;0
8;1;19;01/07/1995;0;100;7417,75;1;0
8;1;19;01/08/1995;0;100;7569,03;1;0
8;1;19;01/09/1995;0;100;7568,77;1;0
8;1;19;01/10/1995;0;100;7612,45;1;0
8;1;19;01/11/1995;0;100;7729,15;1;0
8;1;19;01/12/1995;0;100;7831,95;1;0
2;1;27;01/04/2002;0;105;105;1;5
2;1;27;01/04/2004;0;105;120;1;14,28
2;1;27;01/04/2005;0;105;130;1;8,33
2;1;27;01/06/2001;0;105;70;1;0
2;1;27;01/08/2001;0;105;100;1;42,85
2;1;35;01/04/2002;0;105;105;1;5
2;1;35;01/04/2004;0;105;120;1;14,28
2;1;35;01/04/2005;0;105;130;1;8,33
2;1;35;01/06/2001;0;100;70;1;0
2;1;35;01/08/2001;0;105;100;1;42,85
2;1;43;01/04/2002;0;105;105;1;5
2;1;43;01/04/2004;0;105;120;1;14,28
2;1;43;01/04/2005;0;105;130;1;8,33
2;1;43;01/06/2001;0;105;70;1;0
2;1;43;01/08/2001;0;105;100;1;42,85
8;1;78;01/01/1995;0;100;5999,94;1;0
8;1;78;01/01/1996;0;100;11570,65;1;0
8;1;78;01/01/2006;0;105;22500;1;0
8;1;78;01/01/2007;0;105;24000;1;0
8;1;78;01/01/2008;0;105;25000;1;0
8;1;78;01/01/2009;0;105;27000;1;0
8;1;78;01/01/2010;0;105;30000;1;0
8;1;78;01/02/1995;0;100;6081,54;1;0
8;1;78;01/03/1995;0;100;6212,39;1;0
8;1;78;01/04/1995;0;100;10483,44;1;0
8;1;78;01/04/2001;0;103;17000;1;21,42
8;1;78;01/04/2002;0;105;17850;1;5
8;1;78;01/04/2004;0;105;19800;1;10,92
8;1;78;01/04/2005;0;105;21200;1;7,07
8;1;78;01/05/1995;0;100;10745,62;1;0
8;1;78;01/05/1996;0;100;11570;1;0
8;1;78;01/05/1997;0;105;12727;1;10
8;1;78;01/05/1998;0;105;13200;1;3,71
8;1;78;01/05/2000;0;103;14000;1;6,06
8;1;78;01/06/1995;0;100;10682,84;1;0
8;1;78;01/07/1995;0;100;11071,28;1;0
8;1;78;01/08/1995;0;100;11297,07;1;0
8;1;78;01/09/1995;0;100;11296,68;1;0
8;1;78;01/10/1995;0;100;11361,88;1;0
8;1;78;01/11/1995;0;100;11536,07;1;0
8;1;78;01/12/1995;0;100;11689,51;1;0
8;1;141;01/01/1995;0;100;130;1;0
8;1;141;01/01/1996;0;100;185;1;0
8;1;141;01/01/1999;0;103;235;1;2,17
8;1;141;01/02/1997;0;143;211,2;1;2
8;1;141;01/04/1995;0;100;154,45;1;0
8;1;141;01/05/1996;0;100;203,5;1;0
8;1;141;01/05/1997;0;103;222,88;1;5,53
8;1;141;01/06/1997;0;103;227,92;1;2,26
8;1;141;01/10/1995;0;100;170;1;0
8;1;141;01/10/1998;0;103;230;1;0
8;1;141;01/10/1999;0;107;240;1;2,12
8;1;141;01/11/1996;0;103;207,06;1;2
8;1;2968;01/04/1996;0;100;297,91;1;0
8;1;2968;01/05/1996;0;100;302,58;1;0
8;1;6947;01/01/1995;0;100;3234,74;1;0
8;1;6947;01/01/1996;0;100;5206,78;1;0
8;1;6947;01/01/2006;0;105;10550;1;0
8;1;6947;01/01/2007;0;105;11100;1;0
8;1;6947;01/02/1995;0;100;3278,74;1;0
8;1;6947;01/03/1995;0;100;3349,28;1;0
8;1;6947;01/04/1995;0;100;4717,54;1;0
8;1;6947;01/04/2001;0;103;8000;1;21,21
8;1;6947;01/04/2002;0;105;8400;1;5
8;1;6947;01/04/2004;0;105;9300;1;10,71
8;1;6947;01/04/2005;0;105;9950;1;6,98
8;1;6947;01/05/1995;0;100;4835,52;1;0
8;1;6947;01/05/1996;0;100;5210;1;0
8;1;6947;01/05/1997;0;105;5731;1;10
8;1;6947;01/05/1998;0;105;6000;1;4,69
8;1;6947;01/05/2000;0;103;6600;1;10
8;1;6947;01/06/1995;0;100;4807,27;1;0
8;1;6947;01/07/1995;0;100;4982,07;1;0
8;1;6947;01/08/1995;0;100;5083,68;1;0
8;1;6947;01/09/1995;0;100;5083,5;1;0
8;1;6947;01/10/1995;0;100;5112,84;1;0
8;1;6947;01/11/1995;0;100;5191,22;1;0
8;1;6947;01/12/1995;0;100;5260,27;1;0
8;1;6970;01/01/1995;0;100;138,16;1;0
8;1;6970;01/01/1998;0;103;262,93;1;0
8;1;6970;01/01/1999;0;103;274,9;1;2,17
8;1;6970;01/02/1997;0;143;238,7;1;2
8;1;6970;01/03/2009;0;31;846,66;1;0
8;1;6970;01/04/1995;0;100;177,77;1;0
