codigo_empresa;tipo_colaborador;cadastro_colaborador;data_inicio_periodo;data_fim_periodo;dias_direito;dias_falta;dias_licenca_remunerada;dias_afastamento;dias_debito;dias_servico_militar;dias_abono_pecuario;dias_saldo;avos_ferias;situacao_periodo
2;1;35;01/06/2001;31/05/2002;30;0;145;145;0;0;0;0;0;2
2;1;35;01/06/2002;31/05/2003;30;0;145;145;0;0;0;0;0;2
2;1;35;01/06/2003;31/05/2004;30;0;145;145;0;0;0;0;0;2
2;1;35;01/06/2004;31/05/2005;30;0;145;145;0;0;0;0;0;2
2;1;35;01/06/2005;31/05/2006;30;0;145;145;0;0;0;0;0;2
2;1;43;04/06/2001;03/06/2002;30;0;145;145;0;0;0;0;0;2
2;1;43;04/06/2002;03/06/2003;30;0;145;145;0;0;0;0;0;2
2;1;43;04/06/2003;03/06/2004;30;0;145;145;0;0;0;0;0;2
2;1;43;04/06/2004;03/06/2005;30;0;145;145;0;0;0;0;0;2
2;1;43;04/06/2005;03/06/2006;30;0;145;145;0;0;0;0;0;2
8;1;6970;06/01/1996;05/01/1997;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/1997;05/01/1998;30;0;20;20;0;0;10;0;0;1
8;1;6970;06/01/1998;05/01/1999;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/1999;05/01/2000;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2000;05/01/2001;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2001;05/01/2002;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2002;05/01/2003;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2003;05/01/2004;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2004;05/01/2005;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2005;05/01/2006;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2006;05/01/2007;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2007;05/01/2008;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2008;05/01/2009;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2009;05/01/2010;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2010;05/01/2011;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2011;05/01/2012;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2012;05/01/2013;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2013;05/01/2014;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2014;05/01/2015;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2015;05/01/2016;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2016;05/01/2017;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2017;05/01/2018;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2018;05/01/2019;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2019;05/01/2020;30;0;10;10;0;0;0;0;0;1
8;1;6970;06/01/2019;05/01/2020;30;0;20;20;0;0;0;0;0;1
8;1;6970;06/01/2020;05/01/2021;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2021;05/01/2022;30;0;30;30;0;0;0;0;0;1
8;1;6970;06/01/2022;05/01/2023;30;0;32,5;32,5;0;0;0;0;0;2
8;1;6970;06/01/2023;05/01/2024;30;0;32,5;32,5;0;0;0;0;0;2
8;1;14290;01/06/1995;31/05/1996;30;0;30;30;0;0;0;0;0;1
8;1;21563;22/05/1995;21/05/1996;30;0;30;30;0;0;0;0;0;1
8;1;21563;22/05/1996;21/05/1997;30;0;20;20;0;0;10;0;0;1
8;1;21563;22/05/1997;21/05/1998;30;0;20;20;0;0;10;0;0;1
8;1;21563;22/05/1998;21/05/1999;30;0;20;20;0;0;10;0;0;1
8;1;21563;22/05/1999;21/05/2000;30;0;20;20;0;0;10;0;0;1
8;1;21563;22/05/2000;21/05/2001;30;0;30;30;0;0;0;0;0;1
8;1;21563;22/05/2001;21/05/2002;30;0;20;20;0;0;10;0;0;1
8;1;21563;22/05/2002;21/05/2003;30;0;20;20;0;0;10;0;0;1
8;1;21563;22/05/2003;21/05/2004;30;0;20;20;0;0;10;0;0;1
8;1;21563;22/05/2004;21/05/2005;30;0;30;30;0;0;0;0;0;1
8;1;21563;22/05/2005;21/05/2006;30;0;30;30;0;0;0;0;0;1
8;1;21563;22/05/2006;21/05/2007;30;0;30;30;0;0;0;0;0;1
8;1;21563;22/05/2007;21/05/2008;30;0;30;30;0;0;0;0;0;1
8;1;21563;22/05/2008;21/05/2009;30;0;27,5;27,5;0;0;0;0;0;2
8;1;21831;19/06/1995;18/06/1996;30;0;30;30;0;0;0;0;0;1
8;1;21831;19/06/1996;18/06/1997;30;0;10;10;0;0;0;0;0;1
8;1;21831;19/06/1996;18/06/1997;30;0;20;20;0;0;0;0;0;1
8;1;21831;19/06/1997;18/06/1998;30;0;15;15;0;0;0;0;0;1
8;1;21831;19/06/1998;18/06/1999;30;0;30;30;0;0;0;0;0;1
8;1;21831;19/06/1999;18/06/2000;30;0;30;30;0;0;0;0;0;1
8;1;21831;19/06/2000;18/06/2001;30;0;30;30;0;0;0;0;0;1
8;1;21831;19/06/2001;18/06/2002;30;0;30;30;0;0;0;0;0;1
8;1;21831;19/06/2002;18/06/2003;30;0;30;30;0;0;0;0;0;1
8;1;21831;19/06/2003;18/06/2004;30;0;30;30;0;0;0;0;0;1
8;1;21831;19/06/2004;18/06/2005;30;0;30;30;0;0;0;0;0;1
8;1;21831;19/06/2005;18/06/2006;30;0;30;30;0;0;0;0;0;1
8;1;21831;19/06/2006;18/06/2007;30;0;30;30;0;0;0;0;0;2
8;1;48127;16/07/1995;15/07/1996;30;0;30;30;0;0;0;0;0;1
8;1;48127;16/07/1996;15/07/1997;30;0;30;30;0;0;0;0;0;1
8;1;48127;16/07/1997;15/07/1998;30;0;30;30;0;0;0;0;0;1
8;1;48127;16/07/1998;15/07/1999;30;0;30;30;0;0;0;0;0;1
8;1;48127;16/07/1999;15/07/2000;30;0;30;30;0;0;0;0;0;1
8;1;59323;13/07/1995;12/07/1996;30;0;30;30;0;0;0;0;0;1
8;1;59323;13/07/1996;12/07/1997;30;0;30;30;0;0;0;0;0;1
8;1;59323;13/07/1997;12/07/1998;30;0;30;30;0;0;0;0;0;1
8;1;59323;13/07/1998;12/07/1999;30;0;30;30;0;0;0;0;0;1
8;1;59323;13/07/1999;12/07/2000;30;0;30;30;0;0;0;0;0;1
8;1;59986;05/08/1995;04/08/1996;30;0;30;30;0;0;0;0;0;1
8;1;59986;05/08/1996;04/08/1997;30;0;20;20;0;0;10;0;0;1
8;1;59986;05/08/1997;04/08/1998;30;0;20;20;0;0;10;0;0;1
8;1;60160;02/08/1995;01/08/1996;30;0;30;30;0;0;0;0;0;1
8;1;60160;02/08/1996;01/08/1997;30;0;30;30;0;0;0;0;0;1
8;1;60160;02/08/1997;01/08/1998;30;0;30;30;0;0;0;0;0;1
8;1;60160;02/08/1998;01/08/1999;30;0;30;30;0;0;0;0;0;1
8;1;67563;16/03/2004;15/03/2005;30;0;30;30;0;0;0;0;0;1
8;1;67563;16/03/2005;15/03/2006;30;0;30;30;0;0;0;0;0;1
8;1;67563;16/03/2006;15/03/2007;30;0;30;30;0;0;0;0;0;1
8;1;67563;16/03/2007;15/03/2008;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2008;15/03/2009;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2009;15/03/2010;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2010;15/03/2011;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2011;15/03/2012;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2012;15/03/2013;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2013;15/03/2014;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2014;15/03/2015;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2015;15/03/2016;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2016;15/03/2017;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2017;15/03/2018;30;0;30;30;0;0;0;0;0;1
276;1;67563;16/03/2018;15/03/2019;30;0;50;50;0;0;0;0;0;2
276;1;67563;16/03/2019;15/03/2020;30;0;50;50;0;0;0;0;0;2
8;1;67563;24/06/1995;23/06/1996;30;0;30;30;0;0;0;0;0;1
8;1;67563;24/06/1996;23/06/1997;30;0;30;30;0;0;0;0;0;1
8;1;67563;24/06/1997;23/06/1998;30;0;30;30;0;0;0;0;0;1
8;1;67563;24/06/1998;23/06/1999;30;0;30;30;0;0;0;0;0;1
8;1;67563;24/06/1999;23/06/2000;30;0;30;30;0;0;0;0;0;1
8;1;67563;24/06/2000;23/06/2001;30;0;30;30;0;0;0;0;0;1
8;1;67563;24/06/2001;23/06/2002;30;0;30;30;0;0;0;0;0;1
8;1;67563;24/06/2002;23/06/2003;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/1995;30/09/1996;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/1996;30/09/1997;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/1997;30/09/1998;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/1998;30/09/1999;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/1999;30/09/2000;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/2000;30/09/2001;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/2001;30/09/2002;30;0;20;20;0;0;10;0;0;1
8;1;71617;01/10/2002;30/09/2003;30;0;20;20;0;0;10;0;0;1
8;1;71617;01/10/2003;30/09/2004;30;0;20;20;0;0;10;0;0;1
8;1;71617;01/10/2004;30/09/2005;30;0;20;20;0;0;10;0;0;1
8;1;71617;01/10/2005;30/09/2006;30;0;20;20;0;0;10;0;0;1
8;1;71617;01/10/2006;30/09/2007;30;0;20;20;0;0;10;0;0;1
8;1;71617;01/10/2007;30/09/2008;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/2008;30/09/2009;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/2009;30/09/2010;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/2010;30/09/2011;30;0;30;30;0;0;0;0;0;1
8;1;71617;01/10/2011;30/09/2012;30;0;37,5;37,5;0;0;0;0;0;2
8;1;71617;01/10/2012;30/09/2013;30;0;37,5;37,5;0;0;0;0;0;2
8;1;71838;10/10/1995;09/10/1996;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/1996;09/10/1997;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/1997;09/10/1998;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/1998;09/10/1999;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/1999;09/10/2000;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/2000;09/10/2001;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/2001;09/10/2002;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/2002;09/10/2003;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/2003;09/10/2004;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/2004;09/10/2005;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/2005;09/10/2006;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/2006;09/10/2007;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/2007;09/10/2008;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/2008;09/10/2009;30;0;20;20;0;0;10;0;0;1
8;1;71838;10/10/2009;09/10/2010;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2010;09/10/2011;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2011;09/10/2012;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2012;09/10/2013;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2013;09/10/2014;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2014;09/10/2015;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2015;09/10/2016;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2016;09/10/2017;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2017;09/10/2018;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2018;09/10/2019;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2019;09/10/2020;30;0;15;15;0;0;0;0;0;1
8;1;71838;10/10/2020;09/10/2021;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2021;09/10/2022;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2022;09/10/2023;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2023;09/10/2024;30;0;30;30;0;0;0;0;0;1
8;1;71838;10/10/2024;09/10/2025;30;0;30;30;0;0;0;0;0;1
8;1;77630;26/12/1995;25/12/1996;30;0;30;30;0;0;0;0;0;1
8;1;77630;26/12/1996;25/12/1997;30;0;30;30;0;0;0;0;0;1
8;1;77630;26/12/1997;25/12/1998;30;0;20;20;0;0;10;0;0;1
8;1;77630;26/12/1998;25/12/1999;30;0;20;20;0;0;10;0;0;1
8;1;80012;01/03/1995;29/02/1996;30;0;30;30;0;0;0;0;0;1
8;1;80012;01/03/1996;28/02/1997;30;0;30;30;0;0;0;0;0;1
8;1;80012;01/03/1997;28/02/1998;30;0;30;30;0;0;0;0;0;1
8;1;80012;01/03/1998;28/02/1999;30;0;20;20;0;0;10;0;0;1
8;1;80012;01/03/1999;29/02/2000;30;0;30;30;0;0;0;0;0;1
8;1;80286;17/03/2004;16/03/2005;30;0;52,5;52,5;0;0;0;0;0;2
8;1;80286;17/03/2005;16/03/2006;30;0;52,5;52,5;0;0;0;0;0;2
8;1;80300;21/09/2004;20/09/2005;30;0;45;45;0;0;0;0;0;2
8;1;80300;21/09/2005;20/09/2006;30;0;45;45;0;0;0;0;0;2
8;1;80302;01/10/2004;30/09/2005;30;0;42,5;42,5;0;0;0;0;0;2
8;1;80302;01/10/2005;30/09/2006;30;0;42,5;42,5;0;0;0;0;0;2
8;1;80304;06/10/2004;05/10/2005;30;0;35;35;0;0;0;0;0;2
8;1;80304;06/10/2005;05/10/2006;30;0;35;35;0;0;0;0;0;2
8;1;80310;01/11/2004;31/10/2005;30;0;30;30;0;0;0;0;0;2
8;1;80317;22/11/2004;21/11/2005;30;0;30;30;0;0;0;0;0;2
8;1;80334;01/12/2004;30/11/2005;30;0;32,5;32,5;0;0;0;0;0;2
8;1;80334;01/12/2005;30/11/2006;30;0;32,5;32,5;0;0;0;0;0;2
8;1;80338;03/12/2004;02/12/2005;30;0;57,5;57,5;0;0;0;0;0;2
8;1;80338;03/12/2005;02/12/2006;30;0;57,5;57,5;0;0;0;0;0;2
8;1;80348;10/10/2005;09/10/2006;30;0;20;20;0;0;0;0;0;2
