codigo_empresa;tipo_colaborador;cadastro_colaborador;data_inicio_periodo_ferias;data_inicio_ferias;tipo_ferias;opcao_13_salario;data_pagamento_recibo;dias_ferias;dias_abono;salario_base
8;1;6970;06/01/1996;05/03/1997;N;S;01/03/1997;30;0;0
8;1;6970;06/01/1997;04/03/1998;N;S;01/03/1998;20;10;0
8;1;6970;06/01/1998;24/02/1999;N;S;01/02/1999;30;0;0
8;1;6970;06/01/1999;28/02/2000;N;S;01/02/2000;30;0;0
8;1;6970;06/01/2000;26/02/2001;N;S;01/02/2001;30;0;0
8;1;6970;06/01/2001;08/03/2002;N;S;01/03/2002;30;0;0
8;1;6970;06/01/2002;03/03/2003;N;S;01/03/2003;30;0;0
8;1;6970;06/01/2003;03/03/2004;N;S;01/03/2004;30;0;0
8;1;6970;06/01/2004;28/02/2005;N;S;01/02/2005;30;0;0
8;1;6970;06/01/2005;09/02/2006;N;S;07/02/2006;30;0;0
8;1;6970;06/01/2006;08/01/2007;N;S;04/01/2007;30;0;0
8;1;6970;06/01/2007;15/02/2008;N;S;13/02/2008;30;0;0
8;1;6970;06/01/2008;02/02/2009;N;S;29/01/2009;30;0;0
8;1;6970;06/01/2009;01/02/2010;N;S;28/01/2010;30;0;0
8;1;6970;06/01/2010;04/03/2011;N;S;02/03/2011;30;0;0
8;1;6970;06/01/2011;06/02/2012;N;S;03/02/2012;30;0;0
8;1;6970;06/01/2012;11/02/2013;N;S;08/02/2013;30;0;0
8;1;6970;06/01/2013;27/01/2014;N;S;24/01/2014;30;0;0
8;1;6970;06/01/2014;26/01/2015;N;S;23/01/2015;30;0;0
8;1;6970;06/01/2015;10/02/2016;N;S;08/02/2016;30;0;0
8;1;6970;06/01/2016;06/02/2017;N;S;03/02/2017;30;0;0
8;1;6970;06/01/2017;22/01/2018;N;S;19/01/2018;30;0;0
8;1;6970;06/01/2018;07/01/2019;N;S;04/01/2019;30;0;0
8;1;6970;06/01/2019;17/02/2020;N;S;14/02/2020;20;0;0
8;1;6970;06/01/2019;06/04/2020;N;S;05/05/2020;10;0;0
8;1;6970;06/01/2020;11/01/2021;N;S;08/01/2021;30;0;0
8;1;6970;06/01/2021;05/12/2022;N;S;02/12/2022;30;0;0
8;1;14290;01/06/1995;02/01/1997;N;S;01/01/1997;30;0;0
8;1;21563;22/05/1995;02/01/1997;N;S;01/01/1997;30;0;0
8;1;21563;22/05/1996;01/04/1998;N;S;01/04/1998;20;10;0
8;1;21563;22/05/1997;02/01/1999;N;S;01/01/1999;20;10;0
8;1;21563;22/05/1998;10/01/2000;N;S;01/01/2000;20;10;0
8;1;21563;22/05/1999;10/10/2000;N;S;01/10/2000;20;10;0
8;1;21563;22/05/2000;01/03/2002;N;S;01/03/2002;30;0;0
8;1;21563;22/05/2001;11/11/2002;N;S;01/11/2002;20;10;0
8;1;21563;22/05/2002;10/01/2004;N;S;01/01/2004;20;10;0
8;1;21563;22/05/2003;10/09/2004;N;S;01/09/2004;20;10;0
8;1;21563;22/05/2004;01/03/2006;N;S;24/02/2006;30;0;0
8;1;21563;22/05/2005;02/01/2007;N;S;28/12/2006;30;0;0
8;1;21563;22/05/2006;01/11/2007;N;S;30/10/2007;30;0;0
8;1;21563;22/05/2007;02/10/2008;N;S;30/09/2008;30;0;0
8;1;21831;19/06/1995;03/02/1997;N;S;01/02/1997;30;0;0
8;1;21831;19/06/1996;22/12/1997;N;S;01/01/1997;20;0;0
8;1;21831;19/06/1996;16/02/1998;N;S;01/03/1998;10;0;0
8;1;21831;19/06/1997;28/12/1998;N;S;01/12/1998;15;0;0
8;1;21831;19/06/1997;15/02/1999;N;S;01/02/1999;15;0;0
8;1;21831;19/06/1998;03/01/2000;N;S;01/01/2000;30;0;0
8;1;21831;19/06/1999;02/01/2001;N;S;01/01/2001;30;0;0
8;1;21831;19/06/2000;02/01/2002;N;S;01/01/2002;30;0;0
8;1;21831;19/06/2001;02/01/2003;N;S;01/01/2003;30;0;0
8;1;21831;19/06/2002;05/01/2004;N;S;01/01/2004;30;0;0
8;1;21831;19/06/2003;03/01/2005;N;S;01/01/2005;30;0;0
8;1;21831;19/06/2004;02/01/2006;N;S;29/12/2005;30;0;0
8;1;21831;19/06/2005;02/01/2007;N;S;28/12/2006;30;0;0
8;1;48127;16/07/1995;01/10/1996;N;S;01/10/1996;30;0;0
8;1;48127;16/07/1996;02/01/1998;N;S;01/01/1998;30;0;0
8;1;48127;16/07/1997;01/03/1999;N;S;01/03/1999;30;0;0
8;1;48127;16/07/1998;04/02/2000;N;S;01/02/2000;30;0;0
8;1;48127;16/07/1999;01/11/2000;N;S;01/11/2000;30;0;0
8;1;59323;13/07/1995;03/02/1997;N;S;01/02/1997;30;0;0
8;1;59323;13/07/1996;02/02/1998;N;S;01/02/1998;30;0;0
8;1;59323;13/07/1997;03/11/1998;N;S;01/11/1998;30;0;0
8;1;59323;13/07/1998;13/03/2000;N;S;01/03/2000;30;0;0
8;1;59323;13/07/1999;01/03/2001;N;S;01/03/2001;30;0;0
8;1;59986;05/08/1995;16/04/1997;N;S;01/04/1997;30;0;0
8;1;59986;05/08/1996;06/04/1998;N;S;01/04/1998;20;10;0
8;1;59986;05/08/1997;11/01/1999;N;S;01/01/1999;20;10;0
8;1;60160;02/08/1995;02/01/1997;N;S;01/01/1997;30;0;0
8;1;60160;02/08/1996;02/01/1998;N;S;01/01/1998;30;0;0
8;1;60160;02/08/1997;02/01/1999;N;S;01/01/1999;30;0;0
8;1;60160;02/08/1998;01/02/2000;N;S;01/02/2000;30;0;0
8;1;67563;24/06/1995;01/04/1997;N;S;01/04/1997;30;0;0
8;1;67563;24/06/1996;15/05/1998;N;S;01/05/1998;30;0;0
8;1;67563;24/06/1997;01/02/1999;N;S;01/02/1999;30;0;0
8;1;67563;24/06/1998;02/03/2000;N;S;01/03/2000;30;0;0
8;1;67563;24/06/1999;19/03/2001;N;S;01/03/2001;30;0;0
8;1;67563;24/06/2000;01/03/2002;N;S;01/03/2002;30;0;0
8;1;67563;24/06/2001;01/06/2004;N;S;01/06/2004;30;0;0
8;1;67563;24/06/2002;02/07/2004;N;S;01/07/2004;30;0;0
8;1;67563;16/03/2004;01/08/2005;N;S;01/08/2005;30;0;0
8;1;67563;16/03/2005;20/03/2006;N;S;16/03/2006;30;0;0
