codigo_empresa;tipo_colaborador;cadastro_colaborador;data_inicio_periodo_ferias;data_inicio_ferias;codigo_tabela_eventos;codigo_evento;referencia_evento;valor_evento
8;1;6970;06/01/1996;05/03/1997;1;204;0;252,74
8;1;6970;06/01/1996;05/03/1997;1;558;0;84,25
8;1;6970;06/01/1996;05/03/1997;1;2000;0;30,33
8;1;6970;06/01/1997;04/03/1998;1;204;0;189,31
8;1;6970;06/01/1997;04/03/1998;1;558;0;63,1
8;1;6970;06/01/1997;04/03/1998;1;600;0;94,66
8;1;6970;06/01/1997;04/03/1998;1;609;0;31,55
8;1;6970;06/01/1997;04/03/1998;1;2000;0;34,08
8;1;6970;06/01/1998;24/02/1999;1;204;0;296,89
8;1;6970;06/01/1998;24/02/1999;1;558;0;98,96
8;1;6970;06/01/1998;24/02/1999;1;2000;0;35,63
8;1;6970;06/01/1999;28/02/2000;1;204;0;311,63
8;1;6970;06/01/1999;28/02/2000;1;558;0;103,88
8;1;6970;06/01/1999;28/02/2000;1;2000;0;37,4
8;1;6970;06/01/2000;26/02/2001;1;204;0;349,14
8;1;6970;06/01/2000;26/02/2001;1;558;0;116,38
8;1;6970;06/01/2000;26/02/2001;1;2000;0;41,9
8;1;6970;06/01/2001;08/03/2002;1;204;0;445,85
8;1;6970;06/01/2001;08/03/2002;1;558;0;148,62
8;1;6970;06/01/2001;08/03/2002;1;2000;0;53,5
8;1;6970;06/01/2002;03/03/2003;1;204;0;541,77
8;1;6970;06/01/2002;03/03/2003;1;558;0;180,59
8;1;6970;06/01/2002;03/03/2003;1;2000;0;65,01
8;1;6970;06/01/2003;03/03/2004;1;204;0;566,5
8;1;6970;06/01/2003;03/03/2004;1;558;0;188,83
8;1;6970;06/01/2003;03/03/2004;1;2000;0;67,98
8;1;6970;06/01/2004;28/02/2005;1;204;0;700,7
8;1;6970;06/01/2004;28/02/2005;1;558;0;233,57
8;1;6970;06/01/2004;28/02/2005;1;2000;0;84,08
8;1;6970;06/01/2005;09/02/2006;1;204;0;763,84
8;1;6970;06/01/2005;09/02/2006;1;558;0;254,61
8;1;6970;06/01/2005;09/02/2006;1;2000;0;91,66
8;1;6970;06/01/2006;08/01/2007;1;204;0;809,76
8;1;6970;06/01/2006;08/01/2007;1;558;0;269,92
8;1;6970;06/01/2006;08/01/2007;1;2000;0;97,17
8;1;6970;06/01/2007;15/02/2008;1;204;0;892,24
8;1;6970;06/01/2007;15/02/2008;1;558;0;297,41
8;1;6970;06/01/2007;15/02/2008;1;2000;0;107,06
8;1;6970;06/01/2008;02/02/2009;1;204;0;948,26
8;1;6970;06/01/2008;02/02/2009;1;558;0;316,09
8;1;6970;06/01/2008;02/02/2009;1;2000;0;113,79
8;1;6970;06/01/2009;01/02/2010;1;204;0;1005,16
8;1;6970;06/01/2009;01/02/2010;1;558;0;335,05
8;1;6970;06/01/2009;01/02/2010;1;2000;0;120,61
8;1;6970;06/01/2010;04/03/2011;1;204;0;1051,84
8;1;6970;06/01/2010;04/03/2011;1;558;0;350,61
8;1;6970;06/01/2010;04/03/2011;1;2000;0;126,22
8;1;6970;06/01/2011;06/02/2012;1;204;0;1208,64
8;1;6970;06/01/2011;06/02/2012;1;558;0;402,88
8;1;6970;06/01/2011;06/02/2012;1;2000;0;145,03
8;1;6970;06/01/2012;11/02/2013;1;204;0;1316,59
8;1;6970;06/01/2012;11/02/2013;1;558;0;438,86
8;1;6970;06/01/2012;11/02/2013;1;2000;0;157,99
8;1;6970;06/01/2013;27/01/2014;1;204;0;1455,32
8;1;6970;06/01/2013;27/01/2014;1;558;0;485,11
8;1;6970;06/01/2013;27/01/2014;1;2000;0;174,63
8;1;6970;06/01/2014;26/01/2015;1;204;0;1693,59
8;1;6970;06/01/2014;26/01/2015;1;558;0;564,53
8;1;6970;06/01/2014;26/01/2015;1;2000;0;203,23
8;1;6970;06/01/2014;26/01/2015;1;2014;0;20,04
8;1;6970;06/01/2015;10/02/2016;1;204;0;1812,84
8;1;6970;06/01/2015;10/02/2016;1;558;0;604,28
8;1;6970;06/01/2015;10/02/2016;1;2000;0;217,54
8;1;6970;06/01/2015;10/02/2016;1;2014;0;22,17
8;1;6970;06/01/2016;06/02/2017;1;204;0;2087,51
8;1;6970;06/01/2016;06/02/2017;1;558;0;695,84
8;1;6970;06/01/2016;06/02/2017;1;2000;0;306,16
8;1;6970;06/01/2016;06/02/2017;1;2014;0;42,99
8;1;6970;06/01/2017;22/01/2018;1;204;0;2211,53
8;1;6970;06/01/2017;22/01/2018;1;558;0;737,18
8;1;6970;06/01/2017;22/01/2018;1;2000;0;324,35
8;1;6970;06/01/2017;22/01/2018;1;2014;0;54,03
8;1;6970;06/01/2018;07/01/2019;1;204;0;2184,99
8;1;6970;06/01/2018;07/01/2019;1;558;0;728,33
