codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;codigo_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial;nome_empresarial_completo
8;002;GRAZZIOTIN S/A;GRZ - CACHOEIRINHA 002;FLORES DA CUNHA;;984;390;RS;4303103;55;0;;F;1;092012467000250;;;;4781400;5232;;;4781400;1;AV;94910001;GRAZZIOTIN S A CACHOEIRINHA       
8;003;GRAZZIOTIN S/A;FRG - SAO GABRIEL 003;RUA DUQUE DE CAXIAS;;442;160;RS;4318309;55;0;;F;1;092012467000331;;;;4781400;5232;;;4781400;1;R;97300000;GRAZZIOTIN S A SAO GABRIEL        
8;004;GRAZZIOTIN S/A;GRZ - ERECHIM 004;MAURICIO CARDOSO;;105;181;RS;4307005;55;0;;F;1;092012467000412;;;;4781400;5232;;;4781400;1;AV;99700426;GRAZZIOTIN S A ERECHIM I          
8;005;GRAZZIOTIN S/A;GRZ - CARAZINHO 005;FLORES DA CUNHA;;2299;63;RS;4304705;55;0;;F;1;092012467000501;;;;4781400;5232;;;4781400;1;AV;99500000;GRAZZIOTIN S A CARAZINHO          
8;006;GRAZZIOTIN S/A;VIA - IJUI 006;ERNESTO ALVES;SALA 01;138;250;RS;4310207;55;0;;F;1;092012467000684;;;;4781400;5232;;;4781400;1;R;98700000;GRAZZIOTIN S A IJUI               
8;007;GRAZZIOTIN S/A;GRZ - CRUZ ALTA 007;VENANCIO AIRES;;1301;135;RS;4306106;55;0;;F;1;092012467000765;;;;4781400;5232;;;4781400;1;R;98005096;GRAZZIOTIN S A CRUZ ALTA          
8;008;GRAZZIOTIN S/A;TOT - PALMEIRA DAS MISSOES 008;INDEPENDENCIA;SALA 02;1040;130;RS;4313706;55;0;;F;1;092012467000846;;;;4759899;4781;;;4759899;1;AV;98300000;GRAZZIOTIN S A PAL.DAS MISSOES    
8;009;GRAZZIOTIN S/A;GRZ - IJUI 009;ERNESTO ALVES;;173;250;RS;4310207;55;0;;F;1;092012467000927;;;;4781400;5232;;;4781400;1;R;98700000;GRAZZIOTIN S A IJUI               
8;010;GRAZZIOTIN S/A;VIA - SANTO ANGELO 010;MARECHAL FLORIANO;;1494;176;RS;4317509;55;0;;F;1;092012467001060;;;;4781400;5232;;;4781400;1;R;98804340;GRAZZIOTIN S A SANTO ANGELO       
8;011;GRAZZIOTIN S/A;PRM - TUPANCIRETA 011;RUA VAZ FERREIRA;;776;3347;RS;4322202;55;0;;F;1;092012467001141;;;;4781400;5232;;;4781400;1;R;98170000;GRAZZIOTIN S A TUPANCIRETA        
8;012;GRAZZIOTIN S/A;VIA - SANTA MARIA 012;AVENIDA FERNANDO FERRARI;;1483;18;RS;4316907;55;0;;F;1;092012467001222;;;;4781400;5232;;;4781400;1;R;97050801;GRAZZIOTIN S A SANTA MARIA        
8;014;GRAZZIOTIN S/A;GRZ - SANTA ROSA 014;RIO BRANCO;;420;192;RS;4317202;55;0;;F;1;092012467001494;;;;4781400;5232;;;4781400;1;AV;98780100;GRAZZIOTIN S A SANTA ROSA         
8;015;GRAZZIOTIN S/A;GRZ - SANTO ANGELO 015;MARECHAL FLORIANO N;;1387;176;RS;4317509;55;0;;F;1;092012467001575;;;;4781400;5232;;;4781400;1;R;98801650;GRAZZIOTIN S A SANTO ANGELO       
8;016;GRAZZIOTIN S/A;PRM - ARROIO GRANDE 016;VISCONDE DE MAUA;;180;2819;RS;4301305;55;0;;F;1;092012467001656;;;;4781400;5232;;;4781400;1;R;96330000;GRAZZIOTIN S A ARROIO GRANDE      
8;018;GRAZZIOTIN S/A;TOT - ERECHIM 018;RUA BAHIA;;58;181;RS;4307005;55;0;;F;1;092012467001818;;;;4781400;5232;;;4781400;1;R;99700000;GRAZZIOTIN S A ERECHIM II         
8;019;GRAZZIOTIN S/A;GRZ - CACHOEIRA DO SUL 019;JULIO DE CASTILHOS;;527;89;RS;4303004;55;0;;F;1;092012467001907;;;;4781400;5232;;;4781400;1;R;96501001;GRAZZIOTIN S A CACHOEI. DO SUL    
8;020;GRAZZIOTIN S/A;PRM - FREDERICO WESTPHALEN 020;PIRACICABA;;;4219;RS;4308508;55;0;;F;1;092012467002032;;;;4781400;5232;;;4781400;1;R;98400000;GRAZZIOTIN S A FRED.WESTPHALEN    
8;021;GRAZZIOTIN S/A;ARZ - SAO GABRIEL 021;CORONEL SEZEFREDO;;801;160;RS;4318309;55;0;;F;1;092012467002113;;;;4781400;5232;;;4781400;1;R;97300000;GRAZZIOTIN S A SAO GABRIEL        
8;022;GRAZZIOTIN S/A;GRZ - CANOAS 022;QUINZE DE JANEIRO;loja 111;481;294;RS;4304606;55;0;;F;1;092012467002202;;;;4781400;5232;;;4781400;1;R;92010300;GRAZZIOTIN S A CANOAS             
8;023;GRAZZIOTIN S/A;PRM - SAO FRANCISCO DE ASSIS 023;SILVA JARDIM;;1499;3083;RS;4318101;55;0;;F;1;092012467002385;;;;4781400;5232;;;4781400;1;R;97610000;GRAZZIOTIN S A SAO FCO ASSIS      
8;024;GRAZZIOTIN S/A;PRM - TRES PASSOS 024;BENTO GONCALVES;;411;237;RS;4321907;55;0;;F;1;092012467002466;;;;4781400;5232;;;4781400;1;R;98600000;GRAZZIOTIN S A TRES PASSOS        
8;025;GRAZZIOTIN S/A;GRZ - SANTA MARIA 025;DO ACAMPAMENTO;;224;18;RS;4316907;55;0;;F;1;092012467002547;;;;4781400;5232;;;4781400;1;R;97050000;GRAZZIOTIN S A SANTA MARIA        
8;027;GRAZZIOTIN S/A;VIA - PASSO FUNDO 027;RUA BENTO GONCALVES;;708;2;RS;4314100;55;0;;F;1;092012467002709;;;;4781400;5232;;;4781400;1;R;99010012;GRAZZIOTIN S A VIA RAQUELLE       
8;028;GRAZZIOTIN S/A;PRM - NOVA PRATA 028;BORGES DE MEDEIROS;;1100;2233;RS;4313300;55;0;;F;1;092012467002890;;;;4781400;5232;;;4781400;1;AV;95320000;GRAZZIOTIN S A NOVA PRATA         
8;029;GRAZZIOTIN S/A;TOT - CHAPECO 029;RUA JOAO MARTINS;-D;681;4064;SC;4204202;55;0;;F;1;092012467002970;;;;4781400;5232;;;4781400;1;R;89803040;GRAZZIOTIN S A CHAPECO            
8;032;GRAZZIOTIN S/A;PRM - GUAPORE 032;JULIO CAMPOS;;01;3336;RS;4309407;55;0;;F;1;092012467003276;;;;4781400;5232;;;4781400;1;R;99200000;GRAZZIOTIN S A GUAPORE            
8;033;GRAZZIOTIN S/A;TOT - SANTO ANGELO 033;MARECHAL FLORIANO;SALA 01;1387;176;RS;4317509;55;0;;F;1;092012467003357;;;;4759899;5232;;;4759899;1;R;98801650;GRAZZIOTIN S A SANTO ANGELO       
8;034;GRAZZIOTIN S/A;GRZ - BAGE 034;SETE DE SETEMBRO;;879;256;RS;4301602;55;0;;F;1;092012467003438;;;;4781400;5232;;;4781400;1;AV;96400006;GRAZZIOTIN S A BAGE               
8;037;GRAZZIOTIN S/A;GRZ - SAO BORJA 037;GENERAL MARQUES;SALA 101;969;165;RS;4318002;55;0;;F;1;092012467003780;;;;4781400;5232;;;4781400;1;R;97670000;GRAZZIOTIN S A SAO BORJA          
8;038;GRAZZIOTIN S/A;TOT - BAGE 038;BENTO GONCALVES;D;361;256;RS;4301602;55;0;;F;1;092012467003861;;;;4759899;5232;;;4759899;1;R;96400201;GRAZZIOTIN S A BAGE               
8;039;GRAZZIOTIN S/A;TOT - SANTA MARIA 039;NOSSA SENHORA DAS DORES;;847;18;RS;4316907;55;0;;F;1;092012467003942;;;;4781400;5232;;;4781400;1;AV;97050530;GRAZZIOTIN S A SANTA MARIA        
8;040;GRAZZIOTIN S/A;PRM - PELOTAS 040;07 DE SETEMBRO;;263;330;RS;4314407;55;0;;F;1;092012467004086;;;;4781400;5232;;;4781400;1;R;96015300;GRAZZIOTIN S A PELOTAS            
8;041;GRAZZIOTIN S/A;GRZ - ESTEIO 041;PRESIDENTE VARGAS;sala 102;1698;189;RS;4307708;55;0;;F;1;092012467004167;;;;4781400;5232;;;4781400;1;AV;93260048;GRAZZIOTIN S A ESTEIO             
