codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;estrutura_cargo;codigo_cargo;motivo_alteracao
276;1;67563;01/01/1990;1;68;3
8;1;116131;24/07/2006;1;14;2
4;1;139106;01/08/1987;1;60;3
4;1;139106;01/06/1989;1;27;3
4;1;139106;01/09/1990;1;26;3
4;1;139106;01/09/1991;1;14;3
4;1;145459;01/12/1987;1;15;3
4;1;145459;01/07/1990;1;14;3
4;1;145459;01/09/1996;1;12;3
8;1;233005;01/12/2005;1;148;2
282;1;244309;01/01/1993;1;178;3
282;1;244309;01/06/1995;1;27;3
282;1;244309;15/01/1997;1;154;3
282;1;244309;19/12/1998;1;15;3
282;1;244309;01/05/2014;1;266;2
282;1;244309;01/02/2018;1;12;2
4;1;251453;01/10/1993;1;120;3
4;1;251453;01/07/1994;1;15;3
276;1;261564;01/08/1994;1;109;3
276;1;261564;01/01/1996;1;104;3
276;1;261564;01/08/1996;1;122;3
282;1;271951;01/05/1995;1;32;3
282;1;271951;01/12/1995;1;154;3
282;1;271951;23/11/1997;1;153;3
282;1;271951;01/10/2004;1;148;3
8;1;287351;02/05/2019;1;302;2
4;1;288969;01/10/1996;1;60;3
4;1;288969;01/09/1999;1;61;3
4;1;296333;14/04/1997;1;229;3
4;1;296333;17/06/1998;1;29;3
8;1;299685;14/11/1995;1;12;3
6;1;303968;06/10/1997;1;215;3
6;1;303968;02/12/1998;1;189;3
6;1;303968;16/10/2006;1;14;2
8;1;304913;12/11/1997;1;60;3
8;1;304921;12/11/1997;1;60;3
6;1;307416;02/02/1998;1;60;3
8;1;307416;02/02/1998;1;60;3
6;1;307416;01/07/1999;1;61;3
8;1;307416;01/07/1999;1;61;3
8;1;307416;01/03/2000;1;178;3
6;1;307416;01/03/2000;1;178;3
6;1;307416;01/07/2000;1;59;3
8;1;307416;01/07/2000;1;59;3
6;1;307416;02/08/2001;1;30;3
8;1;307416;02/08/2001;1;30;3
8;1;307416;01/05/2003;1;17;3
6;1;307416;01/05/2003;1;17;3
6;1;307416;12/08/2004;1;153;3
6;1;307416;10/10/2006;1;14;2
4;1;311960;01/09/1998;1;229;3
4;1;311960;07/06/2000;1;196;3
4;1;314331;03/12/1998;1;74;3
4;1;314331;01/01/2000;1;60;3
4;1;314331;01/03/2000;1;61;3
4;1;314331;06/09/2002;1;55;3
4;1;314331;01/09/2003;1;56;3
4;1;314331;14/06/2004;1;17;3
4;1;317241;24/12/1998;1;216;3
4;1;317241;25/12/1999;1;215;3
282;1;318124;18/02/1998;1;211;3
282;1;318124;01/03/1999;1;218;3
282;1;318124;05/04/1999;1;216;3
282;1;318124;01/01/2000;1;215;3
282;1;318124;16/10/2000;1;155;3
282;1;318124;01/05/2002;1;190;3
282;1;318124;08/09/2005;1;14;3
4;1;322806;17/09/1999;1;74;3
4;1;322806;22/10/1999;1;60;3
8;1;323144;23/09/1999;1;74;3
4;1;325210;25/11/1999;1;204;3
4;1;325210;01/12/1999;1;74;3
