codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;categoria_colaborador
8;1;27;28/02/1995;701
8;1;27;31/03/1995;701
8;1;27;30/04/1995;701
8;1;19;30/11/2003;701
8;1;19;31/01/2004;701
8;1;27;31/01/2004;701
8;1;27;29/02/2004;701
8;1;19;31/03/2004;701
8;1;35;31/03/2004;701
8;1;27;30/04/2004;701
8;1;35;30/04/2004;701
8;1;43;30/04/2004;701
8;1;78;30/09/2004;701
8;1;43;30/04/2005;701
8;1;27;31/07/2005;701
8;1;43;31/07/2005;701
8;1;27;30/09/2005;701
8;1;381122;02/05/2018;101
8;1;387543;03/05/2018;101
8;1;387725;31/05/2018;101
8;1;387776;31/05/2018;101
8;1;387791;31/05/2018;101
8;1;386056;31/05/2018;722
8;1;387205;31/05/2018;103
8;1;387392;31/05/2018;101
8;1;387395;31/05/2018;101
8;1;387409;31/05/2018;101
8;1;387418;31/05/2018;101
8;1;387443;31/05/2018;101
8;1;387512;31/05/2018;101
8;1;387517;31/05/2018;101
8;1;386575;31/05/2018;101
8;1;386617;31/05/2018;101
8;1;386661;31/05/2018;101
8;1;386690;31/05/2018;101
8;1;386768;31/05/2018;101
8;1;386864;31/05/2018;101
8;1;386893;31/05/2018;101
8;1;386902;31/05/2018;101
8;1;386918;31/05/2018;101
8;1;386924;31/05/2018;101
8;1;386951;31/05/2018;101
8;1;386953;31/05/2018;101
8;1;386964;31/05/2018;101
8;1;387268;31/05/2018;101
8;1;387269;31/05/2018;101
8;1;387056;31/05/2018;103
8;1;387061;31/05/2018;101
8;1;387072;31/05/2018;101
8;1;387084;31/05/2018;101
8;1;387087;31/05/2018;101
8;1;387099;31/05/2018;101
8;1;377648;31/05/2018;101
8;1;387282;31/05/2018;101
8;1;387345;31/05/2018;101
8;1;380994;31/05/2018;101
8;1;381085;31/05/2018;101
8;1;379901;31/05/2018;101
8;1;379961;31/05/2018;101
8;1;380185;31/05/2018;101
8;1;380404;31/05/2018;101
8;1;380478;31/05/2018;101
8;1;381333;31/05/2018;101
8;1;381611;31/05/2018;101
8;1;381765;31/05/2018;101
8;1;382066;31/05/2018;101
8;1;382274;31/05/2018;101
8;1;382294;31/05/2018;101
8;1;382395;31/05/2018;101
8;1;382607;31/05/2018;101
8;1;382748;31/05/2018;101
8;1;382998;31/05/2018;101
8;1;383072;31/05/2018;101
8;1;383195;31/05/2018;101
8;1;383312;31/05/2018;101
8;1;383349;31/05/2018;101
8;1;383434;31/05/2018;101
8;1;383452;31/05/2018;101
8;1;383841;31/05/2018;101
8;1;384823;31/05/2018;101
8;1;383947;31/05/2018;101
8;1;384017;31/05/2018;101
8;1;384049;31/05/2018;101
8;1;384069;31/05/2018;101
8;1;384076;31/05/2018;101
8;1;384113;31/05/2018;722
8;1;384202;31/05/2018;101
8;1;384256;31/05/2018;101
8;1;387573;31/05/2018;101
8;1;387589;31/05/2018;101
8;1;387808;31/05/2018;101
8;1;387810;31/05/2018;101
8;1;387823;31/05/2018;101
8;1;387826;31/05/2018;101
8;1;387715;31/05/2018;101
8;1;387264;31/05/2018;101
8;1;387265;31/05/2018;101
8;1;219380;31/05/2018;101
8;1;258351;31/05/2018;101
8;1;261581;31/05/2018;101
8;1;277304;31/05/2018;101
8;1;311030;31/05/2018;101
8;1;322962;31/05/2018;101
8;1;324400;31/05/2018;101
8;1;326828;31/05/2018;101
8;1;376786;31/05/2018;101
8;1;376999;31/05/2018;101
8;1;377171;31/05/2018;101
8;1;378197;31/05/2018;101
8;1;378443;31/05/2018;101
8;1;379067;31/05/2018;101
8;1;379129;31/05/2018;101
8;1;379457;31/05/2018;101
8;1;377904;31/05/2018;101
8;1;378155;31/05/2018;101
8;1;380957;31/05/2018;101
8;1;384260;31/05/2018;101
8;1;384262;31/05/2018;101
8;1;384335;31/05/2018;101
8;1;384381;31/05/2018;101
8;1;384586;31/05/2018;101
8;1;384626;31/05/2018;101
8;1;384681;31/05/2018;101
8;1;384763;31/05/2018;101
8;1;385000;31/05/2018;101
8;1;385339;31/05/2018;101
8;1;385352;31/05/2018;101
8;1;385471;31/05/2018;101
8;1;385584;31/05/2018;101
8;1;384872;31/05/2018;101
8;1;384915;31/05/2018;101
8;1;384928;31/05/2018;101
8;1;385813;31/05/2018;101
8;1;385851;31/05/2018;101
8;1;385863;31/05/2018;101
8;1;385943;31/05/2018;101
8;1;385958;31/05/2018;101
8;1;385667;31/05/2018;101
8;1;385745;31/05/2018;101
8;1;387590;31/05/2018;103
8;1;387620;31/05/2018;101
8;1;387629;31/05/2018;101
8;1;387637;31/05/2018;101
8;1;387646;31/05/2018;101
8;1;387679;31/05/2018;101
8;1;387690;31/05/2018;101
8;1;387563;31/05/2018;101
8;1;386179;31/05/2018;101
8;1;386193;31/05/2018;101
8;1;386223;31/05/2018;101
8;1;386229;31/05/2018;101
8;1;386280;31/05/2018;101
8;1;386133;31/05/2018;101
8;1;386149;31/05/2018;101
8;1;386442;31/05/2018;101
8;1;386708;31/05/2018;101
8;1;386740;31/05/2018;101
8;1;386495;31/05/2018;101
8;1;386537;31/05/2018;101
8;1;386940;31/05/2018;101
8;1;386966;31/05/2018;101
8;1;386978;31/05/2018;101
8;1;386997;31/05/2018;101
8;1;386998;31/05/2018;101
8;1;387267;31/05/2018;101
8;1;387060;31/05/2018;101
8;1;387092;31/05/2018;103
8;1;387102;31/05/2018;101
8;1;387119;31/05/2018;101
8;1;387140;31/05/2018;103
8;1;387151;31/05/2018;101
8;1;387163;31/05/2018;101
8;1;387170;31/05/2018;101
8;1;387190;31/05/2018;101
8;1;387193;31/05/2018;101
8;1;168769;31/05/2018;101
8;1;189600;31/05/2018;101
8;1;387285;31/05/2018;101
8;1;387356;31/05/2018;101
8;1;387410;31/05/2018;101
8;1;387431;31/05/2018;101
8;1;387436;31/05/2018;101
8;1;387438;31/05/2018;101
8;1;387442;31/05/2018;101
8;1;387477;31/05/2018;101
8;1;387486;31/05/2018;101
8;1;387493;31/05/2018;101
8;1;387504;31/05/2018;103
8;1;387507;31/05/2018;101
8;1;387510;31/05/2018;101
8;1;381281;31/05/2018;101
8;1;379810;31/05/2018;101
8;1;381786;31/05/2018;101
8;1;381836;31/05/2018;101
8;1;381918;31/05/2018;101
8;1;381960;31/05/2018;101
8;1;382047;31/05/2018;101
8;1;382214;31/05/2018;101
8;1;382256;31/05/2018;101
8;1;382340;31/05/2018;101
8;1;382380;31/05/2018;101
8;1;382478;31/05/2018;101
8;1;382818;31/05/2018;101
8;1;382925;31/05/2018;101
8;1;383105;31/05/2018;101
8;1;383161;31/05/2018;101
8;1;383210;31/05/2018;101
8;1;383237;31/05/2018;101
8;1;383249;31/05/2018;101
8;1;383495;31/05/2018;101
8;1;383638;31/05/2018;101
8;1;384012;31/05/2018;101
8;1;384053;31/05/2018;101
8;1;384110;31/05/2018;101
8;1;384123;31/05/2018;101
8;1;384173;31/05/2018;101
8;1;384258;31/05/2018;101
8;1;384302;31/05/2018;101
8;1;384305;31/05/2018;101
8;1;384343;31/05/2018;101
8;1;383591;31/05/2018;101
8;1;387103;31/05/2018;101
8;1;387136;31/05/2018;101
8;1;386099;31/05/2018;101
8;1;386106;31/05/2018;101
8;1;386218;31/05/2018;101
8;1;386256;31/05/2018;101
8;1;386267;31/05/2018;101
8;1;386306;31/05/2018;101
8;1;386132;31/05/2018;101
8;1;386369;31/05/2018;101
8;1;386378;31/05/2018;101
8;1;386379;31/05/2018;101
8;1;386384;31/05/2018;101
8;1;386389;31/05/2018;101
8;1;386392;31/05/2018;101
8;1;386425;31/05/2018;101
8;1;386504;31/05/2018;101
8;1;386516;31/05/2018;101
8;1;386588;31/05/2018;103
8;1;386590;31/05/2018;101
8;1;386601;31/05/2018;101
8;1;384412;31/05/2018;101
8;1;384695;31/05/2018;101
8;1;384956;31/05/2018;101
8;1;385034;31/05/2018;101
8;1;385195;31/05/2018;101
8;1;385421;31/05/2018;101
8;1;384856;31/05/2018;101
8;1;385773;31/05/2018;101
8;1;385788;31/05/2018;101
8;1;385791;31/05/2018;101
8;1;385835;31/05/2018;101
8;1;385845;31/05/2018;101
8;1;385887;31/05/2018;101
8;1;385940;31/05/2018;101
8;1;385967;31/05/2018;101
8;1;386063;31/05/2018;101
8;1;385636;31/05/2018;101
8;1;385699;31/05/2018;101
8;1;385724;31/05/2018;101
8;1;385752;31/05/2018;101
8;1;385759;31/05/2018;101
8;1;387592;31/05/2018;101
8;1;387606;31/05/2018;101
8;1;387608;31/05/2018;101
8;1;387611;31/05/2018;101
8;1;387661;31/05/2018;101
8;1;387707;31/05/2018;101
8;1;387539;31/05/2018;101
8;1;387559;31/05/2018;101
8;1;387578;31/05/2018;101
8;1;387829;31/05/2018;101
8;1;387764;31/05/2018;101
8;1;387768;31/05/2018;101
8;1;386622;31/05/2018;101
8;1;386648;31/05/2018;101
8;1;386676;31/05/2018;101
8;1;386688;31/05/2018;101
8;1;386689;31/05/2018;101
8;1;386812;31/05/2018;101
8;1;386853;31/05/2018;101
8;1;386854;31/05/2018;101
8;1;386875;31/05/2018;101
8;1;386909;31/05/2018;101
8;1;386915;31/05/2018;101
8;1;386925;31/05/2018;101
8;1;386173;31/05/2018;101
8;1;386104;31/05/2018;101
8;1;387663;31/05/2018;101
8;1;387667;31/05/2018;101
8;1;387687;31/05/2018;101
8;1;387698;31/05/2018;101
8;1;387529;31/05/2018;101
8;1;387549;31/05/2018;101
8;1;387566;31/05/2018;103
8;1;387574;31/05/2018;101
8;1;387585;31/05/2018;101
8;1;387814;31/05/2018;101
8;1;387825;31/05/2018;101
8;1;387714;31/05/2018;101
8;1;387728;31/05/2018;101
8;1;387748;31/05/2018;101
8;1;387754;31/05/2018;101
8;1;387792;31/05/2018;101
8;1;387275;31/05/2018;101
8;1;378658;31/05/2018;101
8;1;378934;31/05/2018;101
8;1;387405;31/05/2018;101
8;1;387468;31/05/2018;101
8;1;387475;31/05/2018;101
8;1;387496;31/05/2018;101
8;1;387506;31/05/2018;101
8;1;387642;31/05/2018;103
8;1;387644;31/05/2018;101
8;1;387306;31/05/2018;101
8;1;387354;31/05/2018;101
8;1;384481;31/05/2018;101
8;1;371386;31/05/2018;101
8;1;375780;31/05/2018;722
8;1;272116;31/05/2018;101
8;1;287351;31/05/2018;101
8;1;300845;31/05/2018;101
8;1;307351;31/05/2018;101
8;1;322407;31/05/2018;101
8;1;326461;31/05/2018;101
8;1;353728;31/05/2018;101
8;1;353906;31/05/2018;101
8;1;364150;31/05/2018;101
8;1;364649;31/05/2018;101
8;1;374938;31/05/2018;101
8;1;376426;31/05/2018;101
8;1;376528;31/05/2018;101
8;1;376578;31/05/2018;101
8;1;376741;31/05/2018;101
8;1;376948;31/05/2018;101
8;1;377132;31/05/2018;101
8;1;346209;31/05/2018;101
8;1;378503;31/05/2018;101
8;1;378700;31/05/2018;101
8;1;378702;31/05/2018;101
8;1;378809;31/05/2018;101
8;1;378865;31/05/2018;101
8;1;378985;31/05/2018;101
8;1;379307;31/05/2018;101
8;1;377379;31/05/2018;101
8;1;377450;31/05/2018;101
8;1;377614;31/05/2018;101
8;1;380841;31/05/2018;101
8;1;380959;31/05/2018;101
8;1;381248;31/05/2018;101
8;1;378611;31/05/2018;101
8;1;378616;31/05/2018;101
8;1;379141;31/05/2018;101
8;1;379259;31/05/2018;101
8;1;379392;31/05/2018;101
8;1;379401;31/05/2018;101
8;1;377397;31/05/2018;101
8;1;377444;31/05/2018;101
8;1;377460;31/05/2018;101
8;1;377598;31/05/2018;101
8;1;380805;31/05/2018;101
8;1;380981;31/05/2018;101
8;1;380988;31/05/2018;101
8;1;381119;31/05/2018;101
8;1;381138;31/05/2018;101
8;1;379515;31/05/2018;101
8;1;379721;31/05/2018;101
8;1;380096;31/05/2018;101
8;1;380241;31/05/2018;101
8;1;380410;31/05/2018;101
8;1;381687;31/05/2018;101
8;1;381929;31/05/2018;101
8;1;382127;31/05/2018;101
8;1;382152;31/05/2018;101
8;1;382210;31/05/2018;101
8;1;382248;31/05/2018;101
8;1;382494;31/05/2018;101
8;1;382625;31/05/2018;101
8;1;382705;31/05/2018;101
8;1;382923;31/05/2018;101
8;1;383076;31/05/2018;101
8;1;383184;31/05/2018;101
8;1;383579;31/05/2018;101
8;1;383694;31/05/2018;101
8;1;383844;31/05/2018;101
8;1;384820;31/05/2018;101
8;1;384833;31/05/2018;101
8;1;383958;31/05/2018;101
8;1;384522;31/05/2018;101
8;1;384551;31/05/2018;101
8;1;384706;31/05/2018;101
8;1;384943;31/05/2018;101
8;1;384971;31/05/2018;101
8;1;385068;31/05/2018;101
8;1;385094;31/05/2018;101
8;1;385291;31/05/2018;101
8;1;385362;31/05/2018;101
8;1;385399;31/05/2018;101
8;1;384859;31/05/2018;101
8;1;384868;31/05/2018;101
8;1;384875;31/05/2018;101
8;1;385780;31/05/2018;101
8;1;385829;31/05/2018;101
8;1;385861;31/05/2018;101
8;1;385903;31/05/2018;101
8;1;385985;31/05/2018;101
8;1;386032;31/05/2018;101
8;1;385615;31/05/2018;101
8;1;385660;31/05/2018;101
8;1;385682;31/05/2018;101
8;1;385716;31/05/2018;101
8;1;387610;31/05/2018;101
8;1;387618;31/05/2018;103
8;1;387631;31/05/2018;101
8;1;387583;31/05/2018;101
8;1;387584;31/05/2018;101
8;1;387805;31/05/2018;101
8;1;387815;31/05/2018;101
8;1;387737;31/05/2018;101
8;1;387780;31/05/2018;101
8;1;387286;31/05/2018;101
8;1;387288;31/05/2018;101
8;1;387296;31/05/2018;101
8;1;387364;31/05/2018;101
8;1;387374;31/05/2018;101
8;1;387388;31/05/2018;101
8;1;387393;31/05/2018;101
8;1;387412;31/05/2018;101
8;1;387452;31/05/2018;101
8;1;387466;31/05/2018;101
8;1;387516;31/05/2018;103
8;1;386011;31/05/2018;101
8;1;386783;31/05/2018;101
8;1;386222;31/05/2018;101
8;1;386258;31/05/2018;101
8;1;386324;31/05/2018;101
8;1;386396;31/05/2018;101
8;1;386410;31/05/2018;101
8;1;386423;31/05/2018;101
8;1;386428;31/05/2018;101
8;1;386452;31/05/2018;101
8;1;386709;31/05/2018;101
8;1;386536;31/05/2018;101
8;1;386591;31/05/2018;101
8;1;386614;31/05/2018;101
8;1;386653;31/05/2018;101
8;1;386668;31/05/2018;101
