codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;sequencia_alteracao;codigo_motivo_alteracao;valor_salario_atual;tipo_salario;percentual_reajuste_concedido
276;1;67563;14/06/1983;1;3;82,05;1;0
276;1;67563;01/08/1995;2;3;23958,36;1;0
276;1;67563;01/09/1995;3;3;101,66;1;0
276;1;67563;01/11/1995;4;3;102,99;1;0
276;1;67563;01/12/1995;5;3;114,45;1;0
276;1;67563;01/02/1996;6;3;118,71;1;0
276;1;67563;01/05/1996;7;3;120,56;1;0
276;1;67563;01/09/1996;8;3;124,27;1;0
276;1;67563;01/12/1996;9;7;128;1;1
276;1;67563;01/12/1997;10;8;133,5;1;4,29
276;1;67563;01/07/1999;11;7;137,48;1;2,98
276;1;67563;01/01/2000;12;8;146,95;1;6,88
276;1;67563;01/01/2001;13;7;155,99;1;6,15
276;1;67563;01/01/2002;14;7;168,72;1;8,16
276;1;67563;01/11/2002;15;8;171,59;1;1,7
276;1;67563;01/01/2003;16;7;186,03;1;8,41
276;1;67563;01/01/2004;17;7;216,07;1;16,14
276;1;67563;01/11/2004;18;8;233,36;1;8
276;1;67563;01/02/2006;19;7;246,01;1;0
276;1;67563;01/11/2006;20;8;260,77;1;0
276;1;67563;01/11/2007;21;8;276,42;1;0
8;1;116131;24/07/2006;1;2;1500;1;0
8;1;116131;24/10/2006;2;2;1600;1;0
8;1;116131;01/11/2006;3;2;1660;1;0
8;1;116131;01/04/2007;4;8;1859;1;0
8;1;116131;01/01/2008;5;12;1889;1;0
8;1;116131;01/04/2008;6;8;2120;1;0
8;1;116131;01/03/2009;7;12;2285;1;0
8;1;116131;01/04/2009;8;8;2540;1;0
8;1;116131;01/03/2010;9;12;2665;1;0
8;1;116131;01/04/2010;10;7;2942,5;1;0
8;1;116131;01/04/2011;11;7;3285,68;1;0
8;1;116131;01/03/2012;12;12;3390,59;1;0
8;1;116131;01/04/2012;13;7;3627,93;1;0
8;1;116131;01/04/2013;14;7;3936,3;1;0
8;1;116131;01/04/2014;15;7;4223,65;1;0
8;1;116131;01/04/2015;16;7;4579,28;1;0
8;1;116131;01/04/2016;17;7;5014,32;1;0
8;1;116131;01/10/2016;18;12;5200;1;0
8;1;116131;01/04/2017;19;7;5243,48;1;0
4;1;139106;17/08/1987;1;3;312,94;1;0
