codigo_empresa;tipo_colaborador;cadastro_colaborador;data_inicio_periodo_ferias;data_inicio_ferias;tipo_ferias;opcao_13_salario;data_pagamento_recibo;dias_ferias;dias_abono;salario_base
276;1;67563;24/06/1995;01/04/1997;N;S;01/04/1997;30;0;0
276;1;67563;24/06/1996;15/05/1998;N;S;01/05/1998;30;0;0
276;1;67563;24/06/1997;01/02/1999;N;S;01/02/1999;30;0;0
276;1;67563;24/06/1998;02/03/2000;N;S;01/03/2000;30;0;0
276;1;67563;24/06/1999;19/03/2001;N;S;01/03/2001;30;0;0
276;1;67563;24/06/2000;01/03/2002;N;S;01/03/2002;30;0;0
276;1;67563;24/06/2001;01/06/2004;N;S;01/06/2004;30;0;0
276;1;67563;24/06/2002;02/07/2004;N;S;01/07/2004;30;0;0
276;1;67563;16/03/2004;01/08/2005;N;S;01/08/2005;30;0;0
276;1;67563;16/03/2005;20/03/2006;N;S;16/03/2006;30;0;0
276;1;67563;16/03/2006;02/04/2007;N;S;29/03/2007;30;0;0
276;1;67563;16/03/2007;02/06/2008;N;S;29/05/2008;30;0;0
8;1;116131;19/05/2005;29/01/2007;N;S;26/01/2007;10;10;0
8;1;116131;19/05/2005;09/05/2007;N;S;07/05/2007;10;0;0
8;1;116131;19/05/2006;06/02/2008;N;S;04/02/2008;20;10;0
8;1;116131;19/05/2007;05/01/2009;N;S;31/12/2008;20;10;0
8;1;116131;19/05/2008;25/01/2010;N;S;21/01/2010;20;10;0
8;1;116131;19/05/2009;10/01/2011;N;S;06/01/2011;30;0;0
8;1;116131;19/05/2010;30/01/2012;N;S;27/01/2012;20;10;0
8;1;116131;19/05/2011;21/01/2013;N;S;18/01/2013;20;10;0
8;1;116131;19/05/2012;03/02/2014;N;S;31/01/2014;20;10;0
8;1;116131;19/05/2013;15/01/2015;N;S;13/01/2015;30;0;0
8;1;116131;19/05/2014;18/01/2016;N;S;15/01/2016;20;10;0
8;1;116131;19/05/2015;23/01/2017;N;S;20/01/2017;20;10;0
8;1;116131;19/05/2016;12/03/2018;N;S;09/03/2018;20;10;0
4;1;139106;17/08/1995;03/02/1997;N;S;01/02/1997;20;10;0
4;1;139106;17/08/1996;02/02/1998;N;S;01/02/1998;20;0;0
4;1;139106;17/08/1996;30/12/1998;N;S;01/12/1998;10;0;0
4;1;139106;17/08/1997;11/01/1999;N;S;01/01/1999;20;10;0
4;1;145459;10/11/1995;03/02/1997;N;S;01/02/1997;30;0;0
4;1;145459;10/11/1996;05/02/1998;N;S;01/02/1998;20;0;0
4;1;145459;10/11/1996;17/08/1998;N;S;01/08/1998;10;0;0
4;1;145459;10/11/1997;11/01/1999;N;S;01/01/1999;20;0;0
4;1;145459;10/11/1997;01/11/1999;N;S;01/11/1999;10;0;0
4;1;145459;10/11/1998;07/02/2000;N;S;01/02/2000;20;0;0
4;1;145459;10/11/1998;01/08/2000;N;S;01/08/2000;10;0;0
4;1;145459;10/11/1999;22/01/2001;N;S;01/01/2001;20;0;0
4;1;145459;10/11/1999;22/10/2001;N;S;01/10/2001;10;0;0
4;1;145459;10/11/2000;04/02/2002;N;S;01/02/2002;20;0;0
4;1;145459;10/11/2000;21/10/2002;N;S;01/10/2002;10;0;0
4;1;145459;10/11/2001;13/01/2003;N;S;01/01/2003;20;0;0
4;1;145459;10/11/2001;06/10/2003;N;S;01/10/2003;10;0;0
4;1;145459;10/11/2002;26/01/2004;N;S;01/01/2004;20;0;0
8;1;233005;23/11/2004;13/02/2006;N;S;09/02/2006;20;0;0
8;1;233005;23/11/2004;24/07/2006;N;S;20/07/2006;10;0;0
8;1;233005;23/11/2005;12/02/2007;N;S;09/02/2007;20;0;0
8;1;233005;23/11/2005;17/09/2007;N;S;13/09/2007;10;0;0
8;1;233005;23/11/2006;11/02/2008;N;S;07/02/2008;20;0;0
282;1;244309;06/01/1995;02/01/1997;N;S;01/01/1997;20;10;0
282;1;244309;06/01/1996;15/12/1997;N;S;01/12/1997;20;10;0
282;1;244309;06/01/1997;17/12/1998;N;S;01/12/1998;20;10;0
282;1;244309;06/01/1998;17/12/1999;N;S;01/12/1999;20;10;0
282;1;244309;06/01/1999;15/12/2000;N;S;01/12/2000;20;10;0
282;1;244309;06/01/2000;17/12/2001;N;S;01/12/2001;20;10;0
282;1;244309;06/01/2001;06/05/2002;N;S;01/05/2002;20;0;0
282;1;244309;06/01/2001;26/12/2002;N;S;01/12/2002;10;0;0
282;1;244309;06/01/2002;17/02/2003;N;S;01/02/2003;20;10;0
282;1;244309;06/01/2003;02/02/2004;N;S;01/02/2004;20;10;0
282;1;244309;06/01/2004;31/01/2005;N;S;01/01/2005;20;10;0
282;1;244309;06/01/2005;23/01/2006;N;S;19/01/2006;20;10;0
282;1;244309;06/01/2006;15/01/2007;N;S;11/01/2007;20;10;0
282;1;244309;06/01/2007;14/01/2008;N;S;10/01/2008;20;10;0
282;1;244309;06/01/2008;12/01/2009;N;S;08/01/2009;20;10;0
282;1;244309;06/01/2009;11/01/2010;N;S;07/01/2010;30;0;0
282;1;244309;06/01/2010;10/01/2011;N;S;06/01/2011;30;0;0
282;1;244309;06/01/2011;09/01/2012;N;S;06/01/2012;30;0;0
282;1;244309;06/01/2012;07/01/2013;N;S;04/01/2013;30;0;0
282;1;244309;06/01/2013;07/01/2014;N;S;03/01/2014;30;0;0
282;1;244309;06/01/2014;08/01/2015;N;S;06/01/2015;30;0;0
282;1;244309;06/01/2015;11/01/2016;N;S;08/01/2016;30;0;0
282;1;244309;06/01/2016;09/01/2017;N;S;06/01/2017;30;0;0
282;1;244309;06/01/2017;29/01/2018;N;S;26/01/2018;15;0;0
282;1;244309;06/01/2017;17/12/2018;N;S;14/12/2018;15;0;0
282;1;244309;06/01/2018;04/02/2019;N;S;01/02/2019;15;0;0
282;1;244309;06/01/2018;16/12/2019;N;S;13/12/2019;15;0;0
282;1;244309;06/01/2019;03/02/2020;N;S;31/01/2020;20;0;0
282;1;244309;06/01/2019;21/12/2020;N;S;18/12/2020;10;0;0
282;1;244309;06/01/2020;08/02/2021;N;S;05/02/2021;8;0;0
4;1;251453;04/10/1995;03/02/1997;N;S;01/02/1997;20;10;0
4;1;251453;04/10/1996;22/12/1997;N;S;01/12/1997;10;0;0
4;1;251453;04/10/1996;11/02/1998;N;S;01/02/1998;20;0;0
276;1;261564;15/08/1995;02/01/1997;N;S;01/01/1997;30;0;0
276;1;261564;15/08/1996;02/02/1998;N;S;01/02/1998;30;0;0
276;1;261564;15/08/1997;02/01/1999;N;S;01/01/1999;30;0;0
276;1;261564;15/08/1998;10/04/2000;N;S;01/04/2000;30;0;0
276;1;261564;15/08/1999;05/02/2001;N;S;01/02/2001;30;0;0
276;1;261564;15/08/2000;02/01/2002;N;S;01/01/2002;30;0;0
276;1;261564;15/08/2001;02/01/2003;N;S;01/01/2003;30;0;0
276;1;261564;15/08/2002;12/07/2004;N;S;01/07/2004;30;0;0
282;1;271951;25/05/1995;03/02/1997;N;S;01/02/1997;30;0;0
282;1;271951;25/05/1996;02/02/1998;N;S;01/02/1998;30;0;0
282;1;271951;25/05/1997;01/02/1999;N;S;01/02/1999;30;0;0
282;1;271951;25/05/1998;01/02/2000;N;S;01/02/2000;30;0;0
282;1;271951;25/05/1999;26/12/2000;N;S;01/12/2000;10;0;0
282;1;271951;25/05/1999;07/02/2001;N;S;01/02/2001;20;0;0
282;1;271951;25/05/2000;26/12/2001;N;S;01/12/2001;10;0;0
282;1;271951;25/05/2000;04/02/2002;N;S;01/02/2002;20;0;0
282;1;271951;25/05/2001;26/12/2002;N;S;01/12/2002;10;0;0
282;1;271951;25/05/2001;12/02/2003;N;S;01/02/2003;20;0;0
282;1;271951;25/05/2002;05/01/2004;N;S;01/01/2004;20;0;0
282;1;271951;25/05/2002;10/05/2004;N;S;01/05/2004;10;0;0
8;1;287351;05/08/2018;03/02/2020;N;S;31/01/2020;20;10;0
8;1;287351;05/08/2019;06/07/2020;N;S;05/08/2020;10;0;0
8;1;287351;05/08/2019;04/01/2021;N;S;31/12/2020;20;0;0
8;1;287351;05/08/2020;03/02/2022;N;S;01/02/2022;20;10;0
8;1;287351;05/08/2023;06/03/2025;N;S;03/03/2025;20;10;0
4;1;288969;01/10/1996;02/03/1998;N;S;01/03/1998;20;10;0
4;1;288969;01/10/1997;10/05/1999;N;S;01/05/1999;20;10;0
4;1;288969;01/10/1998;10/02/2000;N;S;01/02/2000;30;0;0
4;1;288969;01/10/1999;18/12/2000;N;S;01/12/2000;20;10;0
4;1;288969;01/10/2000;21/01/2002;N;S;01/01/2002;20;10;0
4;1;288969;01/10/2001;07/10/2002;N;S;01/10/2002;20;10;0
4;1;288969;01/10/2002;05/01/2004;N;S;01/01/2004;20;10;0
4;1;288969;01/10/2003;20/12/2004;N;S;01/12/2004;20;10;0
4;1;288969;01/10/2004;20/02/2006;N;S;16/02/2006;20;10;0
4;1;288969;01/10/2005;08/01/2007;N;S;05/01/2007;20;10;0
4;1;296333;14/04/1997;04/01/1999;N;S;01/01/1999;30;0;0
4;1;296333;14/04/1998;03/01/2000;N;S;01/01/2000;30;0;0
4;1;296333;14/04/1999;02/01/2001;N;S;01/01/2001;30;0;0
8;1;299685;14/11/1996;14/11/1997;N;S;01/11/1997;30;0;0
8;1;299685;14/11/1997;15/01/1999;N;S;01/01/1999;30;0;0
8;1;299685;14/11/1998;16/11/1999;N;S;01/11/1999;10;0;0
8;1;299685;14/11/1998;21/12/1999;N;S;01/12/1999;20;0;0
8;1;299685;14/11/1999;19/12/2000;N;S;01/12/2000;20;0;0
8;1;299685;14/11/1999;17/09/2001;N;S;01/09/2001;10;0;0
8;1;299685;14/11/2000;18/12/2001;N;S;01/12/2001;20;0;0
8;1;299685;14/11/2000;24/05/2002;N;S;01/05/2002;10;0;0
8;1;299685;14/11/2001;14/03/2003;N;S;01/03/2003;30;0;0
8;1;299685;14/11/2002;16/12/2003;N;S;01/12/2003;30;0;0
6;1;303968;06/10/1997;12/07/1999;N;S;01/07/1999;20;10;0
6;1;303968;06/10/1998;03/01/2000;N;S;01/01/2000;20;10;0
6;1;303968;06/10/1999;02/01/2001;N;S;01/01/2001;30;0;0
6;1;303968;06/10/2000;04/02/2002;N;S;01/02/2002;20;10;0
6;1;303968;06/10/2001;02/01/2003;N;S;01/01/2003;30;0;0
6;1;303968;06/10/2002;02/01/2004;N;S;01/01/2004;20;10;0
6;1;303968;06/10/2003;03/01/2005;N;S;01/01/2005;20;10;0
6;1;303968;06/10/2004;02/01/2006;N;S;29/12/2005;30;0;0
6;1;303968;06/10/2005;02/01/2007;N;S;28/12/2006;20;10;0
6;1;303968;06/10/2006;02/01/2008;N;S;28/12/2007;20;10;0
6;1;303968;06/10/2007;05/01/2009;N;S;31/12/2009;20;10;0
6;1;303968;06/10/2008;08/02/2010;N;S;04/02/2010;20;10;0
6;1;303968;06/10/2009;10/01/2011;N;S;06/01/2011;20;10;0
6;1;303968;06/10/2010;02/01/2012;N;S;30/12/2011;20;10;0
6;1;303968;06/10/2011;11/02/2013;N;S;08/02/2013;20;10;0
6;1;303968;06/10/2012;10/02/2014;N;S;07/02/2014;20;10;0
6;1;303968;06/10/2013;09/02/2015;N;S;06/02/2015;20;10;0
6;1;303968;06/10/2014;01/02/2016;N;S;29/01/2016;30;0;0
6;1;303968;06/10/2015;20/02/2017;N;S;17/02/2017;10;0;0
6;1;307416;02/02/1998;21/12/1999;N;S;01/12/1999;20;0;0
6;1;307416;02/02/1998;10/01/2000;N;S;01/01/2000;10;0;0
6;1;307416;02/02/1999;19/12/2000;N;S;01/12/2000;20;0;0
6;1;307416;02/02/1999;08/01/2001;N;S;01/01/2001;10;0;0
6;1;307416;02/02/2000;18/12/2001;N;S;01/12/2001;30;0;0
6;1;307416;02/02/2001;17/12/2002;N;S;01/12/2002;20;0;0
6;1;307416;02/02/2001;21/01/2003;N;S;01/01/2003;10;0;0
6;1;307416;02/02/2002;16/12/2003;N;S;01/12/2003;30;0;0
6;1;307416;02/02/2003;03/01/2005;N;S;01/01/2005;30;0;0
6;1;307416;02/02/2004;26/12/2005;N;S;23/12/2005;20;10;0
6;1;307416;02/02/2005;12/01/2007;N;S;10/01/2007;20;10;0
6;1;307416;02/02/2006;07/01/2008;N;S;03/01/2008;20;10;0
6;1;307416;02/02/2007;12/01/2009;N;S;08/01/2009;20;10;0
6;1;307416;02/02/2008;11/01/2010;N;S;07/01/2010;20;10;0
6;1;307416;02/02/2009;10/01/2011;N;S;06/01/2011;20;10;0
6;1;307416;02/02/2010;09/01/2012;N;S;06/01/2012;20;10;0
6;1;307416;02/02/2011;07/01/2013;N;S;04/01/2013;20;10;0
8;1;307416;02/02/1998;21/12/1999;N;S;01/12/1999;20;0;0
8;1;307416;02/02/1998;10/01/2000;N;S;01/01/2000;10;0;0
8;1;307416;02/02/1999;19/12/2000;N;S;01/12/2000;20;0;0
8;1;307416;02/02/1999;08/01/2001;N;S;01/01/2001;10;0;0
8;1;307416;02/02/2000;18/12/2001;N;S;01/12/2001;30;0;0
8;1;307416;02/02/2001;17/12/2002;N;S;01/12/2002;20;0;0
8;1;307416;02/02/2001;21/01/2003;N;S;01/01/2003;10;0;0
8;1;307416;02/02/2002;16/12/2003;N;S;01/12/2003;30;0;0
4;1;311960;03/08/1998;10/01/2000;N;S;01/01/2000;30;0;0
4;1;311960;03/08/1999;15/01/2001;N;S;01/01/2001;30;0;0
4;1;311960;03/08/2000;07/01/2002;N;S;01/01/2002;20;10;0
4;1;314331;03/12/1998;01/03/2000;N;S;01/03/2000;30;0;0
4;1;314331;03/12/1999;01/08/2001;N;S;01/08/2001;30;0;0
4;1;314331;03/12/2000;14/01/2002;N;S;01/01/2002;20;10;0
4;1;314331;03/12/2001;17/03/2003;N;S;01/03/2003;20;10;0
4;1;314331;03/12/2002;01/03/2004;N;S;01/03/2004;20;10;0
4;1;317241;24/12/1998;07/02/2000;N;S;01/02/2000;30;0;0
4;1;317241;24/12/1999;01/02/2001;N;S;01/02/2001;30;0;0
282;1;318124;18/02/1999;13/03/2000;N;S;01/03/2000;20;10;0
282;1;318124;19/02/2000;19/02/2001;N;S;01/02/2001;20;10;0
282;1;318124;19/02/2001;25/02/2002;N;S;01/02/2002;20;10;0
282;1;318124;19/02/2002;05/01/2004;N;S;03/01/2004;20;10;0
282;1;318124;19/02/2003;10/01/2005;N;S;;20;10;0
282;1;318124;19/02/2004;16/01/2006;N;S;12/01/2006;20;10;0
4;1;325210;25/11/1999;02/04/2001;N;S;01/04/2001;30;0;0
4;1;325210;25/11/2000;01/02/2002;N;S;01/02/2002;30;0;0
4;1;325210;25/11/2001;01/02/2003;N;S;01/02/2003;30;0;0
4;1;325210;25/11/2002;15/12/2003;N;S;01/12/2003;20;10;0
4;1;325210;25/11/2003;20/12/2004;N;S;01/12/2004;30;0;0
4;1;325210;25/11/2004;02/01/2006;N;S;29/12/2005;20;10;0
4;1;328979;19/12/2001;02/01/2003;N;S;;30;0;0
4;1;328979;19/12/2002;22/12/2003;N;S;;20;10;0
8;1;331120;19/12/2000;18/12/2001;N;S;01/12/2001;20;0;0
4;1;335339;22/11/2000;11/06/2002;N;S;01/06/2002;20;10;0
4;1;335339;22/11/2001;06/01/2003;N;S;01/01/2003;30;0;0
4;1;335339;22/11/2002;11/02/2004;N;S;01/02/2004;20;10;0
4;1;337773;04/04/2001;01/08/2002;N;S;01/08/2002;30;0;0
4;1;337773;04/04/2002;15/07/2003;N;S;01/07/2003;30;0;0
4;1;337773;04/04/2003;03/01/2005;N;S;01/01/2005;30;0;0
4;1;337773;04/04/2004;01/02/2006;N;S;30/01/2006;30;0;0
4;1;337773;04/04/2005;02/01/2007;N;S;28/12/2006;30;0;0
4;1;347515;02/09/2002;02/02/2004;N;S;01/02/2004;30;0;0
