codigo_empresa;tipo_colaborador;cadastro_colaborador;data_inicio_periodo_ferias;data_inicio_ferias;codigo_tabela_eventos;codigo_evento;referencia_evento;valor_evento
8;1;6970;06/01/1996;05/03/1997;1;204;30,00;252,74
8;1;6970;06/01/1996;05/03/1997;1;558;0,00;84,25
8;1;6970;06/01/1996;05/03/1997;1;2000;0,00;30,33
8;1;6970;06/01/1997;04/03/1998;1;204;20,00;189,31
8;1;6970;06/01/1997;04/03/1998;1;558;0,00;63,10
8;1;6970;06/01/1997;04/03/1998;1;600;10,00;94,66
8;1;6970;06/01/1997;04/03/1998;1;615;0,00;31,55
8;1;6970;06/01/1997;04/03/1998;1;2000;0,00;34,08
8;1;6970;06/01/1998;24/02/1999;1;204;30,00;296,89
8;1;6970;06/01/1998;24/02/1999;1;558;0,00;98,96
8;1;6970;06/01/1998;24/02/1999;1;2000;0,00;35,63
8;1;6970;06/01/1999;28/02/2000;1;204;30,00;311,63
8;1;6970;06/01/1999;28/02/2000;1;558;0,00;103,88
8;1;6970;06/01/1999;28/02/2000;1;2000;0,00;37,40
8;1;6970;06/01/2000;26/02/2001;1;204;30,00;349,14
8;1;6970;06/01/2000;26/02/2001;1;558;0,00;116,38
8;1;6970;06/01/2000;26/02/2001;1;2000;0,00;41,90
8;1;6970;06/01/2001;08/03/2002;1;204;30,00;445,85
8;1;6970;06/01/2001;08/03/2002;1;558;0,00;148,62
8;1;6970;06/01/2001;08/03/2002;1;2000;0,00;53,50
8;1;6970;06/01/2002;03/03/2003;1;204;30,00;541,77
8;1;6970;06/01/2002;03/03/2003;1;558;0,00;180,59
8;1;6970;06/01/2002;03/03/2003;1;2000;0,00;65,01
8;1;6970;06/01/2003;03/03/2004;1;204;30,00;566,50
8;1;6970;06/01/2003;03/03/2004;1;558;0,00;188,83
8;1;6970;06/01/2003;03/03/2004;1;2000;0,00;67,98
8;1;6970;06/01/2004;28/02/2005;1;204;30,00;700,70
8;1;6970;06/01/2004;28/02/2005;1;558;0,00;233,57
8;1;6970;06/01/2004;28/02/2005;1;2000;0,00;84,08
8;1;6970;06/01/2005;09/02/2006;1;204;30,00;763,84
8;1;6970;06/01/2005;09/02/2006;1;558;0,00;254,61
8;1;6970;06/01/2005;09/02/2006;1;2000;9,00;91,66
8;1;6970;06/01/2006;08/01/2007;1;204;30,00;809,76
8;1;6970;06/01/2006;08/01/2007;1;558;0,00;269,92
8;1;6970;06/01/2006;08/01/2007;1;2000;9,00;97,17
8;1;6970;06/01/2007;15/02/2008;1;204;30,00;892,24
8;1;6970;06/01/2007;15/02/2008;1;558;0,00;297,41
8;1;6970;06/01/2007;15/02/2008;1;2000;9,00;107,06
8;1;6970;06/01/2008;02/02/2009;1;204;30,00;948,26
8;1;6970;06/01/2008;02/02/2009;1;558;0,00;316,09
8;1;6970;06/01/2008;02/02/2009;1;2000;9,00;113,79
8;1;6970;06/01/2009;01/02/2010;1;204;30,00;1005,16
8;1;6970;06/01/2009;01/02/2010;1;558;0,00;335,05
8;1;6970;06/01/2009;01/02/2010;1;2000;9,00;120,61
8;1;6970;06/01/2010;04/03/2011;1;204;30,00;1051,84
8;1;6970;06/01/2010;04/03/2011;1;558;0,00;350,61
8;1;6970;06/01/2010;04/03/2011;1;2000;9,00;126,22
8;1;6970;06/01/2011;06/02/2012;1;204;30,00;1208,64
8;1;6970;06/01/2011;06/02/2012;1;558;0,00;402,88
8;1;6970;06/01/2011;06/02/2012;1;2000;9,00;145,03
8;1;6970;06/01/2012;11/02/2013;1;204;30,00;1316,59
8;1;6970;06/01/2012;11/02/2013;1;558;0,00;438,86
8;1;6970;06/01/2012;11/02/2013;1;2000;9,00;157,99
8;1;6970;06/01/2013;27/01/2014;1;204;30,00;1455,32
8;1;6970;06/01/2013;27/01/2014;1;558;0,00;485,11
8;1;6970;06/01/2013;27/01/2014;1;2000;9,00;174,63
8;1;6970;06/01/2014;26/01/2015;1;204;30,00;1693,59
8;1;6970;06/01/2014;26/01/2015;1;558;0,00;564,53
8;1;6970;06/01/2014;26/01/2015;1;2000;9,00;203,23
8;1;6970;06/01/2014;26/01/2015;1;2014;7,50;20,04
8;1;6970;06/01/2015;10/02/2016;1;204;30,00;1812,84
