codigo_empresa;tipo_colaborador;cadastro_colaborador;data_inicio_periodo_ferias;data_inicio_ferias;codigo_tabela_eventos;codigo_evento;referencia_evento;valor_evento
276;1;67563;24/06/1995;01/04/1997;1;204;30,00;135,68
276;1;67563;24/06/1995;01/04/1997;1;558;0,00;45,23
276;1;67563;24/06/1995;01/04/1997;1;2000;0,00;14,15
276;1;67563;24/06/1996;15/05/1998;1;204;30,00;189,86
276;1;67563;24/06/1996;15/05/1998;1;558;0,00;63,29
276;1;67563;24/06/1996;15/05/1998;1;2000;0,00;19,80
276;1;67563;24/06/1997;01/02/1999;1;204;30,00;145,52
276;1;67563;24/06/1997;01/02/1999;1;558;0,00;48,51
276;1;67563;24/06/1997;01/02/1999;1;2000;0,00;15,17
276;1;67563;24/06/1998;02/03/2000;1;204;30,00;160,18
276;1;67563;24/06/1998;02/03/2000;1;558;0,00;53,39
276;1;67563;24/06/1998;02/03/2000;1;2000;0,00;16,34
276;1;67563;24/06/1999;19/03/2001;1;204;30,00;170,03
276;1;67563;24/06/1999;19/03/2001;1;558;0,00;56,68
276;1;67563;24/06/1999;19/03/2001;1;2000;0,00;17,50
276;1;67563;24/06/2000;01/03/2002;1;204;30,00;187,03
276;1;67563;24/06/2000;01/03/2002;1;558;0,00;62,34
276;1;67563;24/06/2000;01/03/2002;1;2000;0,00;19,08
276;1;67563;24/06/2001;01/06/2004;1;204;30,00;242,00
276;1;67563;24/06/2001;01/06/2004;1;558;0,00;80,67
276;1;67563;24/06/2001;01/06/2004;1;2000;0,00;24,68
276;1;67563;24/06/2002;02/07/2004;1;204;30,00;242,00
276;1;67563;24/06/2002;02/07/2004;1;558;0,00;80,67
276;1;67563;24/06/2002;02/07/2004;1;2000;0,00;24,68
276;1;67563;16/03/2004;01/08/2005;1;204;30,00;261,36
276;1;67563;16/03/2004;01/08/2005;1;558;0,00;87,12
276;1;67563;16/03/2004;01/08/2005;1;2000;0,00;26,66
276;1;67563;16/03/2005;20/03/2006;1;204;30,00;275,53
276;1;67563;16/03/2005;20/03/2006;1;558;0,00;91,84
276;1;67563;16/03/2005;20/03/2006;1;2000;7,65;28,10
276;1;67563;16/03/2006;02/04/2007;1;204;30,00;309,59
276;1;67563;16/03/2006;02/04/2007;1;558;0,00;103,20
276;1;67563;16/03/2006;02/04/2007;1;2000;7,65;31,57
276;1;67563;16/03/2007;02/06/2008;1;204;30,00;351,74
276;1;67563;16/03/2007;02/06/2008;1;558;0,00;117,25
276;1;67563;16/03/2007;02/06/2008;1;2000;8,00;37,51
276;1;67563;16/03/2008;18/05/2009;1;204;30,00;400,53
276;1;67563;16/03/2008;18/05/2009;1;558;0,00;133,51
276;1;67563;16/03/2008;18/05/2009;1;2000;8,00;42,72
8;1;116131;19/05/2007;05/01/2009;1;204;20,00;2927,69
8;1;116131;19/05/2007;05/01/2009;1;558;0,00;975,90
8;1;116131;19/05/2007;05/01/2009;1;600;10,00;1463,84
8;1;116131;19/05/2007;05/01/2009;1;615;0,00;487,95
8;1;116131;19/05/2007;05/01/2009;1;2000;11,00;334,28
8;1;116131;19/05/2007;05/01/2009;1;2014;27,50;394,79
8;1;116131;19/05/2008;25/01/2010;1;204;20,00;3181,02
8;1;116131;19/05/2008;25/01/2010;1;558;0,00;1060,34
8;1;116131;19/05/2008;25/01/2010;1;600;10,00;1590,51
8;1;116131;19/05/2008;25/01/2010;1;615;0,00;530,17
8;1;116131;19/05/2008;25/01/2010;1;2000;11,00;375,81
8;1;116131;19/05/2008;25/01/2010;1;2014;22,50;330,22
8;1;116131;19/05/2009;10/01/2011;1;204;30,00;5026,30
8;1;116131;19/05/2009;10/01/2011;1;558;0,00;1675,43
8;1;116131;19/05/2009;10/01/2011;1;2000;11,00;405,86
