codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;codigo_tabela_eventos;codigo_evento;referencia_evento;valor_evento
8;1;19;07/10/2006;1;850;0,00;0,00
8;1;19;07/10/2006;1;1600;7,00;3196,67
8;1;19;07/10/2006;1;2000;0,00;308,20
8;1;19;07/10/2006;1;2004;0,00;257,00
8;1;19;07/10/2006;1;2505;0,00;0,00
2;1;35;18/04/2006;1;650;0,00;0,00
2;1;35;18/04/2006;1;651;0,00;0,00
2;1;35;18/04/2006;1;659;0,00;0,00
2;1;35;18/04/2006;1;850;0,00;0,00
2;1;35;18/04/2006;1;1600;11,00;47,67
2;1;35;18/04/2006;1;2000;0,00;5,24
2;1;35;18/04/2006;1;2505;0,00;0,00
2;1;43;18/04/2006;1;650;0,00;0,00
2;1;43;18/04/2006;1;651;0,00;0,00
2;1;43;18/04/2006;1;659;0,00;0,00
2;1;43;18/04/2006;1;850;0,00;0,00
2;1;43;18/04/2006;1;1600;11,00;47,67
2;1;43;18/04/2006;1;2000;0,00;5,24
2;1;43;18/04/2006;1;2505;0,00;0,00
8;1;78;08/03/2011;1;850;0,00;0,00
8;1;78;08/03/2011;1;1600;8,00;8000,00
8;1;78;08/03/2011;1;2000;0,00;405,86
8;1;78;08/03/2011;1;2004;0,00;1321,13
8;1;78;08/03/2011;1;2467;0,00;10,90
8;1;6947;01/06/2007;1;850;0,00;0,00
8;1;6947;01/06/2007;1;1600;0,00;0,00
8;1;6970;01/02/2023;1;200;1,00;77,06
8;1;6970;01/02/2023;1;222;9,00;20,81
8;1;6970;01/02/2023;1;305;0,00;2,67
8;1;6970;01/02/2023;1;650;12,00;2935,86
8;1;6970;01/02/2023;1;651;1,00;244,66
8;1;6970;01/02/2023;1;659;0,00;1060,17
8;1;6970;01/02/2023;1;850;1,00;244,66
8;1;6970;01/02/2023;1;2000;7,50;7,34
8;1;6970;01/02/2023;1;2003;7,50;18,34
8;1;6970;01/02/2023;1;2500;8,00;7,82
8;1;6970;01/02/2023;1;2505;0,00;244,66
8;1;6970;01/02/2023;1;9030;8,00;19,57
8;1;21563;02/04/2009;1;200;2,00;47,21
8;1;21563;02/04/2009;1;222;6,00;14,16
8;1;21563;02/04/2009;1;368;0,00;0,00
8;1;21563;02/04/2009;1;651;11,00;843,86
8;1;21563;02/04/2009;1;659;0,00;281,29
8;1;21563;02/04/2009;1;850;3,00;230,14
8;1;21563;02/04/2009;1;900;1,00;76,71
8;1;21563;02/04/2009;1;950;30,00;920,57
8;1;21563;02/04/2009;1;1650;3,00;5,13
8;1;21563;02/04/2009;1;2000;8,00;4,90
8;1;21563;02/04/2009;1;2003;8,00;18,41
8;1;21563;02/04/2009;1;2505;0,00;306,85
8;1;21831;17/08/2018;1;200;1,00;106,45
8;1;21831;17/08/2018;1;220;0,00;44,87
8;1;21831;17/08/2018;1;222;0,00;25,95
8;1;21831;17/08/2018;1;650;12,00;5318,54
8;1;21831;17/08/2018;1;659;0,00;1772,85
8;1;21831;17/08/2018;1;2000;8,00;14,18
8;1;21831;17/08/2018;1;2055;4,00;127,74
8;1;21831;17/08/2018;1;2500;8,00;14,18
8;1;24775;27/07/2020;1;222;0,00;0,00
8;1;24775;27/07/2020;1;850;0,00;0,00
8;1;24775;27/07/2020;1;900;0,00;0,00
8;1;24775;27/07/2020;1;950;0,00;0,00
8;1;24775;27/07/2020;1;1600;21,00;8969,80
8;1;24775;27/07/2020;1;2000;7,48;671,11
8;1;24775;27/07/2020;1;2004;27,50;1412,78
276;1;67563;23/08/2019;1;4;0,00;0,00
276;1;67563;23/08/2019;1;200;20,00;485,79
276;1;67563;23/08/2019;1;305;0,00;42,00
276;1;67563;23/08/2019;1;650;12,00;983,72
276;1;67563;23/08/2019;1;651;8,00;655,81
276;1;67563;23/08/2019;1;659;0,00;546,51
276;1;67563;23/08/2019;1;850;8,00;655,81
276;1;67563;23/08/2019;1;900;3,00;245,93
276;1;67563;23/08/2019;1;950;90,00;2951,16
276;1;67563;23/08/2019;1;1967;35,00;170,03
276;1;67563;23/08/2019;1;2000;8,00;52,46
276;1;67563;23/08/2019;1;2003;8,00;72,13
276;1;67563;23/08/2019;1;2457;0,00;0,00
276;1;67563;23/08/2019;1;2500;8,00;288,55
276;1;67563;23/08/2019;1;2505;0,00;901,74
276;1;67563;23/08/2019;1;9030;8,00;72,13
8;1;71617;27/09/2012;1;200;27,00;1947,23
8;1;71617;27/09/2012;1;220;0,00;628,20
8;1;71617;27/09/2012;1;222;14,00;360,56
8;1;71617;27/09/2012;1;305;0,00;40,00
8;1;71617;27/09/2012;1;368;0,00;0,00
8;1;71617;27/09/2012;1;650;12,00;3262,21
8;1;71617;27/09/2012;1;651;3,00;815,55
8;1;71617;27/09/2012;1;659;0,00;1359,25
8;1;71617;27/09/2012;1;850;8,00;2174,81
8;1;71617;27/09/2012;1;900;3,00;815,55
8;1;71617;27/09/2012;1;950;90,00;9786,63
8;1;71617;27/09/2012;1;2000;11,00;322,95
8;1;71617;27/09/2012;1;2003;11,00;239,22
8;1;71617;27/09/2012;1;2004;7,50;60,86
8;1;71617;27/09/2012;1;2005;7,50;10,05
8;1;71617;27/09/2012;1;2055;3,33;95,29
8;1;71617;27/09/2012;1;2505;0,00;2990,36
8;1;81329;03/04/2014;1;225;0,00;549,00
8;1;81329;03/04/2014;1;850;0,00;0,00
8;1;81329;03/04/2014;1;1600;3,00;201,30
8;1;84069;21/03/2016;1;200;14,00;627,90
8;1;84069;21/03/2016;1;222;6,00;113,02
8;1;84069;21/03/2016;1;265;0,00;0,76
8;1;84069;21/03/2016;1;286;0,36;3,82
8;1;84069;21/03/2016;1;306;19,00;26,60
8;1;84069;21/03/2016;1;311;0,13;0,80
8;1;84069;21/03/2016;1;650;12,00;1589,34
8;1;84069;21/03/2016;1;659;0,00;529,78
8;1;84069;21/03/2016;1;850;2,00;266,90
8;1;84069;21/03/2016;1;900;3,00;396,91
8;1;84069;21/03/2016;1;950;90,00;4673,04
8;1;84069;21/03/2016;1;2000;8,00;59,57
8;1;84069;21/03/2016;1;2003;8,00;21,35
8;1;84069;21/03/2016;1;2053;0,00;44,85
8;1;84069;21/03/2016;1;2453;0,00;80,72
8;1;84069;21/03/2016;1;2505;0,00;663,81
8;1;92207;11/07/2011;1;200;4,00;108,62
8;1;92207;11/07/2011;1;222;5,00;27,15
8;1;92207;11/07/2011;1;650;12,00;1072,55
8;1;92207;11/07/2011;1;651;7,00;646,50
8;1;92207;11/07/2011;1;659;0,00;573,02
8;1;92207;11/07/2011;1;850;6,00;536,28
8;1;92207;11/07/2011;1;900;1,00;89,38
8;1;92207;11/07/2011;1;950;30,00;1093,59
8;1;92207;11/07/2011;1;1650;1,00;3,92
8;1;92207;11/07/2011;1;2000;8,00;10,86
8;1;92207;11/07/2011;1;2003;8,00;42,90
8;1;92207;11/07/2011;1;2459;0,00;814,64
8;1;92207;11/07/2011;1;2505;0,00;625,66
8;1;97896;27/05/2019;1;200;21,00;2494,01
8;1;97896;27/05/2019;1;220;0,00;1214,00
8;1;97896;27/05/2019;1;305;0,00;44,10
8;1;97896;27/05/2019;1;650;12,00;5297,16
8;1;97896;27/05/2019;1;651;3,00;1324,29
8;1;97896;27/05/2019;1;659;0,00;2207,15
8;1;97896;27/05/2019;1;850;5,00;2207,15
8;1;97896;27/05/2019;1;900;3,00;1324,29
8;1;97896;27/05/2019;1;950;90,00;15891,48
