codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;codigo_tabela_eventos;codigo_evento;referencia_evento;valor_evento
8;1;140686;25/11/2005;1;1955;0,00;14522,00
8;1;140686;25/11/2005;1;2004;0,00;3528,20
8;1;152790;14/05/2019;1;1955;0,00;684,63
8;1;250538;29/12/2020;1;368;2,00;2706,06
8;1;252409;08/09/2009;1;200;18,00;3,44
8;1;252409;08/09/2009;1;222;0,00;0,21
8;1;252409;08/09/2009;1;365;0,00;1,32
8;1;252409;08/09/2009;1;366;0,00;21,13
8;1;252409;08/09/2009;1;403;0,00;2,25
8;1;252409;08/09/2009;1;659;0,00;1,43
8;1;252409;08/09/2009;1;850;8,00;3,82
8;1;252409;08/09/2009;1;2000;8,00;2,26
8;1;252409;08/09/2009;1;2003;8,00;0,30
8;1;252409;08/09/2009;1;2500;8,00;2,26
8;1;252409;08/09/2009;1;2505;0,00;3,82
8;1;252409;08/09/2009;1;9030;8,00;0,30
8;1;258211;09/11/2009;1;200;22,00;5,67
8;1;258211;09/11/2009;1;366;0,00;7,73
8;1;258211;09/11/2009;1;367;0,00;1,16
8;1;258211;09/11/2009;1;650;12,00;7,73
8;1;258211;09/11/2009;1;651;6,00;3,86
8;1;258211;09/11/2009;1;659;0,00;3,86
8;1;258211;09/11/2009;1;850;7,00;4,50
8;1;258211;09/11/2009;1;900;0,00;0,64
8;1;258211;09/11/2009;1;950;0,00;7,73
8;1;258211;09/11/2009;1;1967;0,00;0,85
8;1;258211;09/11/2009;1;2000;8,00;1,23
8;1;258211;09/11/2009;1;2003;8,00;0,36
8;1;258211;09/11/2009;1;2505;0,00;5,14
8;1;260096;21/05/2010;1;248;0,00;61,80
8;1;260321;19/02/2015;1;1966;0,00;262,25
8;1;260495;28/06/2021;1;200;67,00;3028,00
8;1;260495;28/06/2021;1;222;0,00;757,00
8;1;260495;28/06/2021;1;651;2,00;245,80
8;1;260495;28/06/2021;1;659;0,00;81,93
8;1;260495;28/06/2021;1;850;3,00;368,70
8;1;260495;28/06/2021;1;2000;10,07;381,17
8;1;260495;28/06/2021;1;2003;7,50;27,65
8;1;260495;28/06/2021;1;2004;15,00;155,77
8;1;260495;28/06/2021;1;2500;8,00;302,80
8;1;260495;28/06/2021;1;2505;0,00;368,70
8;1;260495;28/06/2021;1;9030;8,00;29,49
8;1;263664;01/12/2015;1;200;16,00;2,29
8;1;263664;01/12/2015;1;222;0,00;0,35
8;1;263664;01/12/2015;1;363;0,00;4,65
8;1;263664;01/12/2015;1;364;0,00;40,00
8;1;263664;01/12/2015;1;365;0,00;3,30
8;1;263664;01/12/2015;1;366;0,00;21,45
8;1;263664;01/12/2015;1;650;12,00;4,95
8;1;263664;01/12/2015;1;651;4,00;1,65
8;1;263664;01/12/2015;1;659;0,00;2,20
8;1;263664;01/12/2015;1;850;8,00;3,30
8;1;263664;01/12/2015;1;900;3,00;1,23
8;1;263664;01/12/2015;1;950;90,00;14,85
8;1;263664;01/12/2015;1;1972;0,00;10,00
8;1;263664;01/12/2015;1;2000;8,00;6,56
8;1;263664;01/12/2015;1;2003;8,00;0,26
8;1;263664;01/12/2015;1;2505;0,00;4,53
8;1;268313;08/09/2009;1;200;1,00;0,19
8;1;268313;08/09/2009;1;222;0,00;0,01
8;1;268313;08/09/2009;1;363;0,00;1,08
8;1;268313;08/09/2009;1;365;0,00;0,61
8;1;268313;08/09/2009;1;366;0,00;14,38
8;1;268313;08/09/2009;1;651;7,00;3,35
8;1;268313;08/09/2009;1;659;0,00;1,12
8;1;268313;08/09/2009;1;850;6,00;2,86
8;1;268313;08/09/2009;1;900;0,00;0,48
8;1;268313;08/09/2009;1;950;0,00;5,73
8;1;268313;08/09/2009;1;2000;8,00;1,30
8;1;268313;08/09/2009;1;2003;8,00;0,22
8;1;268313;08/09/2009;1;2505;0,00;3,34
8;1;273015;09/02/2012;1;200;15,00;4,91
8;1;273015;09/02/2012;1;222;0,00;0,45
8;1;273015;09/02/2012;1;280;0,00;0,99
8;1;273015;09/02/2012;1;365;0,00;1,78
8;1;273015;09/02/2012;1;366;0,00;19,68
8;1;273015;09/02/2012;1;650;12,00;10,72
8;1;273015;09/02/2012;1;651;2,00;1,79
8;1;273015;09/02/2012;1;659;0,00;4,17
8;1;273015;09/02/2012;1;850;8,00;7,15
8;1;273015;09/02/2012;1;950;30,00;10,72
8;1;273015;09/02/2012;1;2000;8,00;2,22
8;1;273015;09/02/2012;1;2003;8,00;0,57
8;1;273015;09/02/2012;1;2505;0,00;7,15
8;1;279617;12/12/2005;1;222;0,00;0,55
8;1;279617;12/12/2005;1;223;0,00;1,65
8;1;279617;12/12/2005;1;366;0,00;29,28
8;1;279617;12/12/2005;1;650;0,00;1,65
8;1;279617;12/12/2005;1;651;0,00;0,41
8;1;279617;12/12/2005;1;659;0,00;0,68
8;1;279617;12/12/2005;1;850;0,00;0,13
8;1;279617;12/12/2005;1;900;0,00;0,13
8;1;279617;12/12/2005;1;950;0,00;1,65
8;1;279617;12/12/2005;1;2000;7,65;2,41
8;1;279617;12/12/2005;1;2003;7,65;0,01
8;1;279617;12/12/2005;1;2500;8,50;2,82
8;1;279617;12/12/2005;1;2505;0,00;0,26
8;1;279617;12/12/2005;1;9030;8,50;0,02
8;1;280348;02/12/2011;1;200;1,00;1,98
8;1;280348;02/12/2011;1;247;0,00;359,00
8;1;280348;02/12/2011;1;364;0,00;6,96
8;1;280348;02/12/2011;1;366;0,00;22,29
8;1;280348;02/12/2011;1;367;0,00;3,30
8;1;280348;02/12/2011;1;651;9,00;44,58
8;1;280348;02/12/2011;1;659;0,00;14,86
8;1;280348;02/12/2011;1;850;8,00;39,63
8;1;280348;02/12/2011;1;900;0,00;4,95
8;1;280348;02/12/2011;1;950;30,00;59,44
8;1;280348;02/12/2011;1;2000;8,00;2,76
8;1;280348;02/12/2011;1;2003;8,00;3,17
8;1;280348;02/12/2011;1;2505;0,00;44,58
8;1;283380;23/02/2017;1;222;0,00;29,08
8;1;283380;23/02/2017;1;223;0,00;2144,21
8;1;283380;23/02/2017;1;651;12,00;67,11
8;1;283380;23/02/2017;1;659;0,00;22,37
8;1;283380;23/02/2017;1;850;1,00;5,59
8;1;283380;23/02/2017;1;900;2,00;11,18
8;1;283380;23/02/2017;1;950;90,00;201,33
8;1;283380;23/02/2017;1;2000;9,00;195,59
8;1;283380;23/02/2017;1;2003;8,00;0,44
8;1;283380;23/02/2017;1;2505;0,00;16,77
8;1;284262;14/05/2019;1;1955;0,00;416,18
8;1;284432;09/01/2006;1;368;0,00;115,68
8;1;284556;01/12/2014;1;222;0,00;7,10
8;1;284556;01/12/2014;1;650;12,00;31,05
8;1;284556;01/12/2014;1;651;2,00;5,12
8;1;284556;01/12/2014;1;659;0,00;12,06
8;1;284556;01/12/2014;1;850;3,00;7,75
8;1;284556;01/12/2014;1;950;81,00;83,84
8;1;284556;01/12/2014;1;2000;8,00;0,56
8;1;284556;01/12/2014;1;2003;8,00;0,62
8;1;284556;01/12/2014;1;2505;0,00;7,75
8;1;284939;01/06/2006;1;257;2,00;10,91
8;1;284939;01/06/2006;1;259;5,00;36,37
8;1;284939;01/06/2006;1;265;0,00;11,82
8;1;284939;01/06/2006;1;2000;7,65;4,52
8;1;289280;29/12/2009;1;200;22,00;2,03
8;1;289280;29/12/2009;1;222;0,00;0,07
8;1;289280;29/12/2009;1;247;0,00;276,00
8;1;289280;29/12/2009;1;257;4,54;0,14
8;1;289280;29/12/2009;1;265;0,00;0,03
8;1;289280;29/12/2009;1;364;0,00;1,33
8;1;289280;29/12/2009;1;365;0,00;0,20
8;1;289280;29/12/2009;1;366;0,00;8,39
8;1;289280;29/12/2009;1;650;12,00;2,86
8;1;289280;29/12/2009;1;651;1,00;0,24
8;1;289280;29/12/2009;1;659;0,00;1,03
8;1;289280;29/12/2009;1;850;7,00;1,67
8;1;289280;29/12/2009;1;900;0,00;0,24
8;1;289280;29/12/2009;1;950;0,00;2,86
8;1;289280;29/12/2009;1;2000;8,00;0,97
8;1;289280;29/12/2009;1;2003;8,00;0,13
8;1;289280;29/12/2009;1;2505;0,00;1,91
8;1;292796;12/01/2012;1;200;1,00;0,13
8;1;292796;12/01/2012;1;651;5,00;1,68
8;1;292796;12/01/2012;1;659;0,00;0,56
8;1;292796;12/01/2012;1;850;3,00;1,01
8;1;292796;12/01/2012;1;900;0,00;0,33
8;1;292796;12/01/2012;1;950;1,00;4,07
8;1;292796;12/01/2012;1;2000;8,00;0,01
8;1;292796;12/01/2012;1;2003;8,00;0,08
8;1;292796;12/01/2012;1;2505;0,00;1,34
8;1;294500;02/02/2022;1;365;0,00;26,40
8;1;294500;02/02/2022;1;366;0,00;222,30
8;1;294500;02/02/2022;1;2000;7,50;18,65
8;1;294500;02/02/2022;1;2500;8,00;19,89
8;1;298026;15/11/2010;1;394;0,00;297,50
8;1;298220;03/01/2013;1;361;0,00;47,20
4;1;299774;30/04/2010;1;1955;0,00;961,00
8;1;301337;21/09/2009;1;200;0,00;0,39
8;1;301337;21/09/2009;1;222;0,00;0,02
8;1;301337;21/09/2009;1;364;0,00;14,10
8;1;301337;21/09/2009;1;365;0,00;1,74
8;1;301337;21/09/2009;1;366;0,00;35,19
8;1;301337;21/09/2009;1;368;24,00;13,59
8;1;301337;21/09/2009;1;650;12,00;17,01
8;1;301337;21/09/2009;1;651;3,00;4,25
8;1;301337;21/09/2009;1;659;0,00;7,09
8;1;301337;21/09/2009;1;850;8,00;11,33
8;1;301337;21/09/2009;1;900;0,00;1,42
8;1;301337;21/09/2009;1;950;0,00;17,01
8;1;301337;21/09/2009;1;1957;0,00;0,15
8;1;301337;21/09/2009;1;2000;8,00;4,12
8;1;301337;21/09/2009;1;2003;8,00;0,90
8;1;301337;21/09/2009;1;2505;0,00;12,75
8;1;302171;01/12/2014;1;204;1,00;2,80
8;1;302171;01/12/2014;1;222;0,00;2,81
8;1;302171;01/12/2014;1;558;0,00;0,93
8;1;302171;01/12/2014;1;651;10,00;70,18
8;1;302171;01/12/2014;1;659;0,00;23,39
8;1;302171;01/12/2014;1;850;3,00;21,05
8;1;302171;01/12/2014;1;900;3,00;21,05
8;1;302171;01/12/2014;1;950;78,00;218,99
8;1;302171;01/12/2014;1;2000;8,00;0,52
8;1;302171;01/12/2014;1;2003;8,00;1,68
8;1;302171;01/12/2014;1;2505;0,00;42,10
8;1;303810;01/12/2010;1;247;0,00;296,00
8;1;304883;17/12/2005;1;1972;0,00;35,72
8;1;304883;17/12/2005;1;2000;7,65;2,73
8;1;304883;17/12/2005;1;2500;8,50;3,04
8;1;307475;12/01/2012;1;200;13,00;1,42
8;1;307475;12/01/2012;1;365;0,00;0,13
8;1;307475;12/01/2012;1;366;0,00;3,26
8;1;307475;12/01/2012;1;651;4,00;1,09
8;1;307475;12/01/2012;1;659;0,00;0,36
8;1;307475;12/01/2012;1;850;4,00;1,09
8;1;307475;12/01/2012;1;900;0,00;0,27
8;1;307475;12/01/2012;1;950;1,00;3,27
8;1;307475;12/01/2012;1;2000;8,00;0,38
8;1;307475;12/01/2012;1;2003;8,00;0,08
8;1;307475;12/01/2012;1;2505;0,00;1,36
8;1;308900;18/08/2009;1;368;10,00;286,40
8;1;308960;12/12/2005;1;222;0,00;1,86
8;1;308960;12/12/2005;1;223;0,00;4,21
8;1;308960;12/12/2005;1;366;0,00;29,28
8;1;308960;12/12/2005;1;651;0,00;0,55
8;1;308960;12/12/2005;1;659;0,00;0,18
8;1;308960;12/12/2005;1;850;0,00;0,93
8;1;308960;12/12/2005;1;900;0,00;0,18
8;1;308960;12/12/2005;1;950;0,00;2,24
8;1;308960;12/12/2005;1;2000;7,65;2,70
8;1;308960;12/12/2005;1;2003;7,65;0,07
8;1;308960;12/12/2005;1;2500;8,50;3,20
8;1;308960;12/12/2005;1;2505;0,00;1,11
8;1;308960;12/12/2005;1;9030;8,50;0,09
8;1;310425;09/11/2009;1;200;1,00;0,07
8;1;310425;09/11/2009;1;364;0,00;4,05
8;1;310425;09/11/2009;1;365;0,00;0,36
8;1;310425;09/11/2009;1;366;0,00;6,99
8;1;310425;09/11/2009;1;650;12,00;2,33
8;1;310425;09/11/2009;1;651;1,00;0,20
8;1;310425;09/11/2009;1;659;0,00;0,84
8;1;310425;09/11/2009;1;850;5,00;0,97
8;1;310425;09/11/2009;1;900;0,00;0,20
8;1;310425;09/11/2009;1;950;0,00;2,33
8;1;310425;09/11/2009;1;2000;8,00;0,91
8;1;310425;09/11/2009;1;2003;8,00;0,07
8;1;310425;09/11/2009;1;2505;0,00;1,17
8;1;310824;21/12/2009;1;200;6,00;0,65
8;1;310824;21/12/2009;1;222;0,00;0,03
8;1;310824;21/12/2009;1;651;11,00;3,13
8;1;310824;21/12/2009;1;659;0,00;1,04
8;1;310824;21/12/2009;1;850;3,00;0,85
8;1;310824;21/12/2009;1;900;0,00;0,28
8;1;310824;21/12/2009;1;950;0,00;3,41
8;1;310824;21/12/2009;1;2000;8,00;0,05
8;1;310824;21/12/2009;1;2003;8,00;0,06
8;1;310824;21/12/2009;1;2505;0,00;1,13
8;1;313270;01/05/2007;1;1972;0,00;45,00
8;1;313270;01/05/2007;1;2000;7,65;3,44
8;1;313270;01/05/2007;1;2500;8,00;3,60
8;1;313505;02/05/2019;1;1955;0,00;672,48
4;1;314331;30/04/2025;1;1955;0,00;34646,00
4;1;314331;30/04/2025;1;2012;0,00;6403,87
4;1;317837;25/04/2019;1;1955;0,00;27133,46
4;1;317837;25/04/2019;1;2012;0,00;4410,17
8;1;319589;12/01/2012;1;200;16,00;2,24
8;1;319589;12/01/2012;1;365;0,00;0,16
8;1;319589;12/01/2012;1;366;0,00;4,20
8;1;319589;12/01/2012;1;651;12,00;4,20
8;1;319589;12/01/2012;1;659;0,00;1,40
8;1;319589;12/01/2012;1;850;5,00;1,75
8;1;319589;12/01/2012;1;2000;8,00;0,52
8;1;319589;12/01/2012;1;2003;8,00;0,14
8;1;319589;12/01/2012;1;2500;8,00;0,52
8;1;319589;12/01/2012;1;2505;0,00;1,75
8;1;319589;12/01/2012;1;9030;8,00;0,14
8;1;320722;08/09/2009;1;200;3,00;0,57
8;1;320722;08/09/2009;1;222;0,00;0,01
8;1;320722;08/09/2009;1;650;1,00;5,73
8;1;320722;08/09/2009;1;651;9,00;4,30
8;1;320722;08/09/2009;1;659;0,00;1,43
8;1;320722;08/09/2009;1;900;0,00;0,47
