codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;19;01/07/1950;2;1;1;;01/07/1950;19;;722;N;1
2;1;27;01/06/2001;2;1;1;;01/06/2001;27;;722;N;1
2;1;35;01/06/2001;2;1;1;;01/06/2001;35;;722;N;1
2;1;43;01/06/2001;2;1;1;;01/06/2001;43;;722;N;1
8;1;78;15/04/1966;2;1;1;;15/04/1966;78;;722;N;1
8;1;141;01/11/1967;2;1;1;;01/11/1967;141;;101;N;1
8;1;2968;04/12/1974;2;1;1;;04/12/1974;2968;;101;N;1
8;1;6947;20/01/1976;2;1;1;;20/01/1976;6947;;722;N;1
8;1;6970;06/01/1976;2;1;1;;06/01/1976;6970;;101;N;1
8;1;8150;04/03/1976;2;1;1;;04/03/1976;8150;;722;N;1
8;1;14290;01/06/1977;2;1;1;;01/06/1977;14290;;101;N;1
8;1;19940;06/03/1978;2;1;1;;06/03/1978;19940;;101;N;1
8;1;21563;22/05/1978;2;1;1;;22/05/1978;21563;;101;N;1
8;1;21831;19/06/1978;2;1;1;;19/06/1978;21831;;101;N;1
8;1;22501;07/08/1978;2;1;1;;07/08/1978;22501;;101;N;1
8;1;24554;03/10/1978;2;1;1;;03/10/1978;24554;;101;N;1
8;1;24775;01/08/1950;2;1;1;;01/08/1950;24775;;722;N;1
8;1;33588;18/12/1979;2;1;1;;18/12/1979;33588;;101;N;1
8;1;36200;16/02/1980;2;1;1;;16/02/1980;36200;;101;N;1
8;1;44105;18/11/1980;2;1;1;;18/11/1980;44105;;101;N;1
8;1;48127;16/07/1981;2;1;1;;16/07/1981;48127;;101;N;1
8;1;53970;18/01/1982;2;1;1;;18/01/1982;53970;;101;N;1
8;1;57240;03/04/1982;2;1;1;;03/04/1982;57240;;101;N;1
8;1;57941;18/05/1982;2;1;1;;18/05/1982;57941;;101;N;1
8;1;58416;04/06/1982;2;1;1;;04/06/1982;58416;;101;N;1
8;1;59323;13/07/1982;2;1;1;;13/07/1982;59323;;101;N;1
8;1;59986;05/08/1982;2;1;1;;05/08/1982;59986;;101;N;1
8;1;60160;02/08/1982;2;1;1;;02/08/1982;60160;;101;N;1
8;1;61905;01/11/1982;2;1;1;;01/11/1982;61905;;101;N;1
8;1;62227;16/11/1982;2;1;1;;16/11/1982;62227;;101;N;1
8;1;65950;24/03/1983;2;1;1;;24/03/1983;65950;;101;N;1
8;1;67563;14/06/1983;1;1;1;92012467000170;14/06/1983;67563;;101;N;1
276;1;67563;14/06/1983;2;1;1;92012467000170;02/08/2008;67563;;101;N;1
8;1;69965;05/08/1983;2;1;1;;05/08/1983;69965;;101;N;1
8;1;70734;17/09/1983;2;1;1;;17/09/1983;70734;;101;N;1
8;1;71617;01/10/1983;2;1;1;;01/10/1983;71617;;101;N;1
8;1;71749;14/10/1983;2;1;1;;14/10/1983;71749;;101;N;1
8;1;71838;10/10/1983;2;1;1;;10/10/1983;71838;;101;N;1
8;1;77630;26/12/1983;2;1;1;;26/12/1983;77630;;101;N;1
8;1;79952;01/03/1984;2;1;1;;01/03/1984;79952;;101;N;1
8;1;80000;05/01/1999;2;1;1;;05/01/1999;80000;;101;N;1
8;1;80001;13/01/1999;2;1;1;;13/01/1999;80001;;101;N;1
8;1;80002;11/01/1999;2;1;1;;11/01/1999;80002;;101;N;1
8;1;80003;21/10/1998;2;1;1;;21/10/1998;80003;;101;N;1
8;1;80004;01/10/1998;2;1;1;;01/10/1998;80004;;101;N;1
8;1;80005;13/10/1998;2;1;1;;13/10/1998;80005;;101;N;1
8;1;80006;21/10/1998;2;1;1;;21/10/1998;80006;;101;N;1
8;1;80007;21/10/1998;2;1;1;;21/10/1998;80007;;101;N;1
8;1;80008;02/10/1998;2;1;1;;02/10/1998;80008;;101;N;1
8;1;80009;02/10/1998;2;1;1;;02/10/1998;80009;;101;N;1
8;1;80010;23/10/1998;2;1;1;;23/10/1998;80010;;101;N;1
8;1;80011;01/10/1998;2;1;1;;01/10/1998;80011;;101;N;1
8;1;80012;01/03/1984;2;1;1;;01/03/1984;80012;;101;N;1
8;1;80013;02/10/1998;2;1;1;;02/10/1998;80013;;101;N;1
8;1;80014;15/10/1998;2;1;1;;15/10/1998;80014;;101;N;1
8;1;80015;10/11/1998;2;1;1;;10/11/1998;80015;;101;N;1
8;1;80016;19/10/1998;2;1;1;;19/10/1998;80016;;101;N;1
8;1;80017;20/10/1998;2;1;1;;20/10/1998;80017;;101;N;1
8;1;80018;02/01/1999;2;1;1;;02/01/1999;80018;;101;N;1
8;1;80019;23/10/2000;2;1;1;;23/10/2000;80019;;101;N;1
8;1;80020;03/11/1998;2;1;1;;03/11/1998;80020;;101;N;1
8;1;80021;05/11/1998;2;1;1;;05/11/1998;80021;;101;N;1
8;1;80022;12/12/1998;2;1;1;;12/12/1998;80022;;101;N;1
4;1;80023;13/11/1998;2;1;1;;13/11/1998;80023;;101;N;1
8;1;80024;03/11/1998;2;1;1;;03/11/1998;80024;;101;N;1
8;1;80025;15/10/1998;2;1;1;;15/10/1998;80025;;101;N;1
8;1;80026;23/11/1998;2;1;1;;23/11/1998;80026;;101;N;1
8;1;80027;02/12/1998;2;1;1;;02/12/1998;80027;;101;N;1
8;1;80028;06/11/1998;2;1;1;;06/11/1998;80028;;101;N;1
8;1;80029;16/11/1998;2;1;1;;16/11/1998;80029;;101;N;1
8;1;80030;21/12/1998;2;1;1;;21/12/1998;80030;;101;N;1
8;1;80031;24/11/1998;2;1;1;;24/11/1998;80031;;101;N;1
8;1;80032;16/11/1998;2;1;1;;16/11/1998;80032;;101;N;1
8;1;80033;04/12/1998;2;1;1;;04/12/1998;80033;;101;N;1
8;1;80034;01/12/1998;2;1;1;;01/12/1998;80034;;101;N;1
8;1;80035;05/11/1998;2;1;1;;05/11/1998;80035;;101;N;1
8;1;80036;23/12/1998;2;1;1;;23/12/1998;80036;;101;N;1
8;1;80037;05/11/1998;2;1;1;;05/11/1998;80037;;101;N;1
